rank_date,trade_date,n_pool,n_q1,n_q5,r_q1,r_q5,r_pool,ls,to_q1,to_q5,to_pool,spy,xlk
2009-02-27,2009-03-02,238,48,48,0.16701983787570787,0.24902463539347486,0.20618555343881081,-0.08200479751776699,0.5,0.5,0.5,0.15637655716870036,0.17133269711009702
2009-03-31,2009-04-01,318,64,64,0.18539413868810845,0.18813639260716197,0.1858570965553889,-0.0027422539190535278,0.25,0.3128298873455238,0.2518514393539931,0.08425897045974984,0.08841865942311555
2009-04-30,2009-05-01,330,66,66,0.07498786957816786,0.10052087578188713,0.09524249396239799,-0.025533006203719275,0.12115908410261848,0.088679975452336,0.08586081449691034,0.07827952989531095,0.038329558324283974
2009-05-29,2009-06-01,333,67,67,-0.03212732035642362,-0.039303596656201235,-0.024100380038286368,0.007176276299777615,0.040709259698892705,0.05643286498162898,0.05191953980398557,-0.020243072034968557,0.012273203217946893
2009-06-30,2009-07-01,340,68,68,0.09170459074615515,0.12750673162343867,0.12045732794340769,-0.03580214087728352,0.04360182775834332,0.055559714594150406,0.04954317921440492,0.0878371486131535,0.091853662807166
2009-07-31,2009-08-03,349,70,70,-0.0005502173037652483,0.07456098799998129,0.020713599851139894,-0.07511120530374654,0.0663514202504312,0.06193373721462781,0.05480164002739714,-0.0023897694057080088,-0.018026827358686215
2009-08-31,2009-09-01,369,74,74,0.05380170004739509,0.046626016396297924,0.0460185650242823,0.0071756836510971644,0.07632383949048242,0.07469512432977732,0.06358360185937195,0.03253947314177341,0.03646629831161485
2009-09-30,2009-10-01,373,75,75,0.0021748975282852,-0.014792635724015207,-0.0077715536886335404,0.016967533252300406,0.03590596141791857,0.038178939337355736,0.0363119096650843,0.013110713713916367,0.023703339129001355
2009-10-30,2009-11-02,379,76,76,0.06663301047415154,0.06957089348838139,0.06800151557868254,-0.0029378830142298418,0.051346087251886094,0.04710942175358202,0.041246604122047205,0.06690950055143552,0.06608749067715047
2009-11-30,2009-12-01,403,81,81,0.06332108862092867,0.05720672481509421,0.05682225101888198,0.006114363805834459,0.07858809814487154,0.07011483218372631,0.06707877022125185,0.023720848754505974,0.056722590761857816
2009-12-31,2010-01-04,413,83,83,-0.03605099268496355,-0.005107267315213964,-0.024747287805296187,-0.030943725369749583,0.061379583225086506,0.039602718600914355,0.0385790357462645,-0.03767751200401959,-0.0889558791430749
2010-01-29,2010-02-01,412,83,83,0.04999417115257459,0.03226559417659165,0.04514454747834293,0.017728576975982936,0.039180645586937124,0.04739917867464427,0.031186557567573502,0.02594884489222249,0.03632099818602863
2010-02-26,2010-03-01,415,83,83,0.06453264032701812,0.0729245176222516,0.06788016122643277,-0.008391877295233482,0.3568541748030672,0.47158666038804425,0.033373367069265004,0.05715545779816167,0.05295493106733362
