rank_date,trade_date,n_pool,n_q1,n_q5,r_q1,r_q5,r_pool,ls,to_q1,to_q5,to_pool,spy,xlk
2009-02-27,2009-03-02,236,48,47,0.160820435500813,0.2556713996731339,0.2064398711986436,-0.09485096417232089,0.5,0.5,0.5,0.15637655716870036,0.17133269711009702
2009-03-31,2009-04-01,315,63,63,0.1860857662071729,0.2559872413851217,0.18769547694110167,-0.06990147517794879,0.27049965549196303,0.254303414944059,0.25108300510077913,0.08425897045974984,0.08841865942311555
2009-04-30,2009-05-01,327,66,66,0.082951486891922,0.1066871276930424,0.09614959483064459,-0.023735640801120395,0.09594044571305664,0.11208522881885027,0.08601131881965562,0.07827952989531095,0.038329558324283974
2009-05-29,2009-06-01,330,66,66,-0.030356817435431588,-0.04286014300346819,-0.024773952811171937,0.0125033255680366,0.05565162769035947,0.052084795579941584,0.05204549649395937,-0.020243072034968557,0.012273203217946893
2009-06-30,2009-07-01,337,68,68,0.1139521888371039,0.13597459562684883,0.12091572485574165,-0.02202240678974493,0.05073323598907227,0.061484305525120256,0.0496737836510316,0.0878371486131535,0.091853662807166
2009-07-31,2009-08-03,346,70,69,0.013876989055303981,0.07882072534453072,0.021206271001647046,-0.06494373628922674,0.08401211022184916,0.05430541730622816,0.055159348591172754,-0.0023897694057080088,-0.018026827358686215
2009-08-31,2009-09-01,366,74,73,0.042140838499868015,0.03711524698974193,0.04620392564210294,0.005025591510126083,0.11483751312076759,0.07787718951788153,0.0640377519316501,0.03253947314177341,0.03646629831161485
2009-09-30,2009-10-01,370,74,74,0.003170360200614016,-0.028445088531839864,-0.007673502209801708,0.03161544873245388,0.04153915774998656,0.03858746141258774,0.036549017955466376,0.013110713713916367,0.023703339129001355
2009-10-30,2009-11-02,376,76,75,0.05971531349961606,0.06222842679730462,0.06813268673940144,-0.0025131132976885587,0.048035627323476,0.051454419220024514,0.041507824073490726,0.06690950055143552,0.06608749067715047
2009-11-30,2009-12-01,400,80,80,0.05767829089052525,0.053797573965211024,0.05671315320049705,0.0038807169253142274,0.12184619307111275,0.07204049886662707,0.06751726572931852,0.023720848754505974,0.056722590761857816
2009-12-31,2010-01-04,410,82,82,-0.028444880589685792,-0.009712160753006495,-0.024562998029110474,-0.018732719836679297,0.04819517830375254,0.04086633518063003,0.038754278946080446,-0.03767751200401959,-0.0889558791430749
2010-01-29,2010-02-01,409,82,82,0.04897206319590734,0.028745012088576254,0.04525640748097294,0.020227051107331088,0.03683729634909209,0.048237329123249774,0.03125857376564319,0.02594884489222249,0.03632099818602863
2010-02-26,2010-03-01,413,83,83,0.06434852855516428,0.0773858791625471,0.06810738018358788,-0.013037350607382828,0.38684061246792306,0.42240777368895494,0.03468474225790715,0.05715545779816167,0.05295493106733362
2010-03-31,2010-04-01,417,84,84,0.05180210886970219,0.07822279258962941,0.051816889148628406,-0.026420683719927222,0.13911011935522974,0.1022164552819505,0.032822778927561996,0.021647064070103417,0.02818688041500028
2010-04-30,2010-05-03,417,84,84,-0.10310783244454183,-0.11316169704440918,-0.10730572465407284,0.010053864599867346,0.037461824703178465,0.049132572386405705,0.033247005075105536,-0.10652273128137146,-0.09616165893893669
2010-05-28,2010-06-01,417,84,84,-0.04151098790047984,-0.052224050531345684,-0.04535469768638635,0.010713062630865841,0.02644608113919441,0.032143647266375655,0.031779263565224175,-0.03981296810639434,-0.04844193159005161
2010-06-30,2010-07-01,417,84,84,0.09670520872611357,0.11131930234243737,0.10286514464866754,-0.014614093616323792,0.03653802123332366,0.09882447971457992,0.028700361914466642,0.09731409182043738,0.1013775883558885
2010-07-30,2010-08-02,417,84,84,-0.022470726250261926,-0.04563342472535548,-0.03777824574501846,0.023162698475093557,0.04430230911454786,0.03120924778594979,0.02777031142006289,-0.038134179805021984,-0.0518318818788559
2010-08-31,2010-09-01,417,84,84,0.08873429557722792,0.06119493153096232,0.07651191670250798,0.027539364046265606,0.06513071824461847,0.06342844373337739,0.029178700531271185,0.06236036587154592,0.08921995416974582
2010-09-30,2010-10-01,417,84,84,0.03688068893385377,0.02234786767544201,0.038207115448007416,0.014532821258411759,0.03273379255131515,0.021806330559078838,0.023807890129293643,0.03420240827770593,0.05818507019218555
2010-10-29,2010-11-01,418,84,84,0.05344752689902768,0.019247208104304067,0.03499575317176539,0.034200318794723614,0.04220038319291565,0.03844552198295144,0.027963048560923815,0.020922866619542013,0.0036930134466328646
2010-11-30,2010-12-01,418,84,84,0.055444344696394164,0.07317390131055232,0.06602411997478155,-0.017729556614158155,0.0716892154088036,0.061209418498536006,0.025668450775611036,0.05543549871526321,0.04503586251004599
2010-12-31,2011-01-03,418,84,84,0.030449492920056248,0.04188338552262983,0.0364382616231944,-0.011433892602573582,0.03586666990468631,0.055639608107559524,0.028282308199973752,0.029043015395920913,0.03769147727809541
2011-01-31,2011-02-01,416,84,83,0.02259107683771838,-0.01559329378544936,0.0040457261576045,0.038184370623167735,0.03774049226935214,0.05610019292307973,0.031260462067535175,0.001453608864874445,-0.014378152018923007
2011-02-28,2011-03-01,411,83,82,0.05812742052860652,0.03224390833720356,0.04001154201134622,0.02588351219140296,0.37020306608294623,0.5064213082275177,0.04527566671178609,0.021373446520897454,0.0018392607370030234
2011-03-31,2011-04-01,425,85,85,0.025976289415718473,0.011815289131361262,0.023542994707639195,0.014161000284357211,0.12840828154721023,0.10497606736491813,0.04449409982140396,0.023056706733559196,0.02422153072697708
2011-04-29,2011-05-02,425,85,85,-0.021017879915062973,-0.0391039909337577,-0.031132989542734146,0.018086111018694728,0.033928451638432194,0.03427785342669708,0.023025587092099422,-0.03193368626378734,-0.027402696043512864
2011-05-31,2011-06-01,426,86,85,0.03560695055200073,0.01027894435322151,0.025229426532605227,0.02532800619877922,0.05486672690400591,0.025258776260057528,0.025689160813686482,0.020580165976699538,0.012142412306597405
2011-06-30,2011-07-01,426,86,85,-0.05700981966517245,-0.07522845937726877,-0.06358571576926121,0.01821863971209632,0.03510302997944965,0.032562675651881985,0.02200910894747311,-0.03838101314778164,-0.012634150616271822
2011-07-29,2011-08-01,426,86,85,-0.06512735807698176,-0.08914078162614004,-0.0627491226567622,0.02401342354915828,0.04018706822871477,0.02931454250531597,0.029309121461940216,-0.06087891402078305,-0.06281509905435101
2011-08-31,2011-09-01,426,86,85,-0.10771665100182604,-0.12654232975355606,-0.11423560128980446,0.018825678751730024,0.06740098151509329,0.08039583261628384,0.04038713440973739,-0.08633420117884405,-0.0418791064073748
2011-09-30,2011-10-03,426,86,85,0.1681542987643603,0.16832802016990359,0.15856905005160055,-0.0001737214055432812,0.05894532935907885,0.04371428069210344,0.04011467991269955,0.10979712889256699,0.0962291167443392
2011-10-31,2011-11-01,426,86,85,0.02904607380353585,0.027295189399347306,0.02857189252874132,0.001750884404188545,0.047626447324012125,0.049540759294405136,0.03752817681255886,0.024344222371249558,0.01858399407513467
2011-11-30,2011-12-01,426,86,85,0.005853380785002472,0.0380449621229881,0.019200295668450437,-0.03219158133798563,0.08246920945724538,0.05317451174561013,0.025335824167428113,0.026715270030343685,0.006325025199920065
2011-12-30,2012-01-03,426,86,85,0.09001933894495164,0.08765516182593214,0.0828781449988268,0.0023641771190194977,0.046294512127515716,0.022674662641036045,0.02402440587895805,0.03898071713397799,0.05772934201754665
2012-01-31,2012-02-01,425,85,85,0.04963701722985525,0.04698996975152912,0.03658008143551858,0.0026470474783261283,0.04286836848395664,0.04539099177481975,0.035601622467265115,0.03970656446332543,0.06666700932179226
2012-02-29,2012-03-01,431,87,86,0.03820515834167095,0.03327427347271812,0.029144657697847475,0.00493088486895283,0.30951083115560724,0.5452705345315261,0.039093439997907445,0.03435446373167883,0.05006471519193578
2012-03-30,2012-04-02,430,86,86,-0.0032064086667742964,-0.014722411339643244,-0.007623464848232969,0.011516002672868947,0.09104261507919943,0.06989835575712511,0.02230139810754157,-0.007755129669655858,-0.018372764817837783
2012-04-30,2012-05-01,430,86,86,-0.0975501747672369,-0.08447743323292586,-0.09761941858986344,-0.013072741534311039,0.025240810945604566,0.03758584315938786,0.02771566313190595,-0.0893848395381428,-0.09090902820773206
2012-05-31,2012-06-01,431,87,86,0.05935472574171914,0.06780455224437362,0.0673712905750057,-0.008449826502654481,0.05239334348051595,0.05017887861315064,0.03676362046510804,0.07067194527434473,0.0662565039444527
2012-06-29,2012-07-02,431,87,86,0.032979354970349505,-0.011268759034847085,-0.0014434938287455562,0.04424811400519659,0.03333583015219322,0.04128185622445139,0.026157329099358646,0.007911933346491429,0.009345789220358558
2012-07-31,2012-08-01,431,87,86,0.056346590621908076,0.02923683571622183,0.04197731385737143,0.027109754905686245,0.06156152499149937,0.048292359774926755,0.03194482005863738,0.02500175145165473,0.04561035091422716
2012-08-31,2012-09-04,431,87,86,0.013603814440829034,0.03903394250554656,0.02726987587712694,-0.025430128064717526,0.0934786342378817,0.03789442650982693,0.026117702670934217,0.029004345037602075,0.013022682514834516
2012-09-28,2012-10-01,431,87,86,0.03641653054031984,0.02008499329320051,0.01864568794341679,0.01633153724711933,0.03013570309736667,0.021646892231415134,0.022126978226499273,-0.010529367231907227,-0.046163502683663205
2012-10-31,2012-11-01,431,87,86,0.008713512004827992,-0.0023862469889542105,0.0015598217169280678,0.011099758993782202,0.044746693780315226,0.04383328217237548,0.029464219698768817,-0.009662245128894353,-0.008521034885152434
2012-11-30,2012-12-03,431,87,86,0.057334783921916384,0.06336325871974556,0.05717694517374797,-0.006028474797829177,0.06430685141079213,0.05828676092013718,0.022579368760992386,0.03991485014369478,0.030646212869146483
2012-12-31,2013-01-02,431,87,86,0.04646317290608762,0.04522139243090738,0.051865633978962815,0.0012417804751802403,0.033620258607148894,0.05934379210445392,0.023850806155592194,0.035464515817557496,-0.002683699671147566
2013-01-31,2013-02-01,431,87,86,0.009976096783516625,0.010128227172663457,0.007387930932080827,-0.0001521303891468314,0.027842934329550508,0.033606786661162714,0.019481820550380464,0.00575286020025656,-0.0016817402279991622
2013-02-28,2013-03-01,428,86,86,0.023184550224573615,0.06765431517203219,0.04471899409434365,-0.04446976494745857,0.3865202530358765,0.4183854490077376,0.04683610556062917,0.030464716191686003,0.017282668372550658
