fallback,cadence,層,格數,有效格,平原,山脊,孤峰,普通,無效,無鄰,最優,最優參數,鄰域平均最高,層平均,高地格數
cash,monthly,fallback=cash、cadence=monthly,15,15,0,3,2,10,0,0,0.04171260263407328,lookback_months=7、fallback=cash、cadence=monthly,0.03619610469638834,0.011217598298336743,4
cash,quarterly,fallback=cash、cadence=quarterly,15,15,0,0,1,14,0,0,0.022277210068563758,lookback_months=9、fallback=cash、cadence=quarterly,0.02061889491499791,0.0026802690719908372,1
equal,monthly,fallback=equal、cadence=monthly,15,15,0,0,2,13,0,0,0.02411379922107182,lookback_months=3、fallback=equal、cadence=monthly,0.01730971424386089,0.005020646712269909,1
equal,quarterly,fallback=equal、cadence=quarterly,15,15,0,0,1,14,0,0,0.009045590512870794,lookback_months=3、fallback=equal、cadence=quarterly,0.0023592318726606276,-0.005423742139216762,0
