名稱,類別,段,起,訖,交易日,年化,SPY年化,年化超額,最大回撤,run_id
因子動量排名·加密最優,加密最優,2015–2019,2015-01-02,2019-12-31,1258,0.13947018298436054,0.11601479123413205,0.023455391750228483,-0.17942692539944116,run-35c3f7e9979fe553
因子動量排名·加密最優,加密最優,2020–2022,2020-01-02,2022-12-30,756,0.03367724470823097,0.0729504983196545,-0.03927325361142353,-0.33761623917313643,run-35c3f7e9979fe553
因子動量排名·加密最優,加密最優,2023–2026,2023-01-03,2026-08-26,915,0.3520194108826864,0.22760389922736812,0.12441551165531828,-0.13251133017152528,run-35c3f7e9979fe553
因子動量排名·加密鄰域最高,加密鄰域最高,2015–2019,2015-01-02,2019-12-31,1258,0.14695163897839092,0.11601479123413205,0.030936847744258866,-0.1228157079234995,run-3205dd16a0a4a1d1
因子動量排名·加密鄰域最高,加密鄰域最高,2020–2022,2020-01-02,2022-12-30,756,0.09688694097816719,0.0729504983196545,0.02393644265851269,-0.34082271654343377,run-3205dd16a0a4a1d1
因子動量排名·加密鄰域最高,加密鄰域最高,2023–2026,2023-01-03,2026-08-26,915,0.2449614844443604,0.22760389922736812,0.017357585216992266,-0.1978321998076077,run-3205dd16a0a4a1d1
因子動量排名·成本後最優,成本後最優,2015–2019,2015-01-02,2019-12-31,1258,0.13947018298436054,0.11601479123413205,0.023455391750228483,-0.17942692539944116,run-35c3f7e9979fe553
因子動量排名·成本後最優,成本後最優,2020–2022,2020-01-02,2022-12-30,756,0.03367724470823097,0.0729504983196545,-0.03927325361142353,-0.33761623917313643,run-35c3f7e9979fe553
因子動量排名·成本後最優,成本後最優,2023–2026,2023-01-03,2026-08-26,915,0.3520194108826864,0.22760389922736812,0.12441551165531828,-0.13251133017152528,run-35c3f7e9979fe553
