horizon,ticker,max_multiple,min_t0_price
3y,CAR,48.0,0.3800429105758667
3y,CPWR,116.66666162200296,0.0003000000142492354
3y,EP,61.999997168779416,0.20000000298023224
3y,FMCC,40.42857102715239,0.20000000298023224
3y,FNMA,43.742859086698445,0.20000000298023224
3y,MARA,169.0888852301938,0.44999998807907104
3y,NVDA,13.685900136850229,0.44029778242111206
3y,NXE,11.8438813538126,0.2370000034570694
3y,PLUG,64.43750406289482,0.1599999964237213
3y,PR,45.49366438971719,0.22798344492912292
3y,QBTS,90.10059956634923,0.4970000088214874
3y,QUBT,119.99999821186069,0.20000000298023224
3y,RGTI,119.87234105422735,0.4699999988079071
3y,UEC,15.586956404839665,0.46000000834465027
5y,CAR,119.7249989099855,0.3800429105758667
5y,CPWR,96.55629564082079,0.12686899304389954
5y,EP,123.99999433755883,0.20000000298023224
5y,FMCC,27.599999493360528,0.20000000298023224
5y,FNMA,29.10000042468309,0.20000000298023224
5y,MARA,169.0888852301938,0.44999998807907104
5y,NVDA,21.91294357420461,0.27425727248191833
5y,NXE,13.510547915689106,0.2370000034570694
5y,PLUG,64.43750406289482,0.1599999964237213
5y,PR,71.99795133371809,0.22798344492912292
5y,QUBT,119.99999821186069,0.20000000298023224
5y,UEC,15.586956404839665,0.46000000834465027
