arm,bar,rsi_kind,style,params,n_periods,start,end,years,cagr_pct,maxdd_pct,exc_spy,t_spy,exc_ew9,t_ew9,ann_turnover,pct_in_mkt,n_rebal,exc_spy_h1,exc_spy_h2,N,H,E,X
-,1D,-,基線,spy,6513,2000-10-02,2026-08-27,25.9,8.5787,-55.423,,,,,,,,,,,,,
-,1D,-,基線,ew9,6513,2000-10-02,2026-08-27,25.9,9.4559,-52.702,,,,,,,,,,,,,
mult,1D,wilder,甲,"N=1,H=1",6513,2000-10-02,2026-08-27,25.9,-3.2062,-83.631,-11.7849,-3.232,-12.6622,-3.641,139.21,100.0,3606.0,-4.6179,-19.2121,1.0,1.0,,
price,1D,wilder,甲,"N=1,H=1",6513,2000-10-02,2026-08-27,25.9,-4.7329,-82.933,-13.3116,-3.342,-14.1888,-3.727,144.07,100.0,3732.0,-6.0547,-20.825,1.0,1.0,,
mult,1D,wilder,甲,"N=2,H=1",6513,2000-10-02,2026-08-27,25.9,1.0281,-62.604,-7.5506,-3.004,-8.4279,-3.691,116.1,100.0,6513.0,-1.5816,-13.8068,2.0,1.0,,
price,1D,wilder,甲,"N=2,H=1",6513,2000-10-02,2026-08-27,25.9,0.8321,-62.207,-7.7466,-2.837,-8.6238,-3.455,122.16,100.0,6513.0,-1.7171,-14.0625,2.0,1.0,,
mult,1D,wilder,甲,"N=3,H=1",6513,2000-10-02,2026-08-27,25.9,1.4734,-52.341,-7.1053,-3.681,-7.9826,-4.802,95.85,100.0,6513.0,-3.3366,-11.1348,3.0,1.0,,
price,1D,wilder,甲,"N=3,H=1",6513,2000-10-02,2026-08-27,25.9,1.0606,-56.62,-7.5181,-3.58,-8.3953,-4.625,100.89,100.0,6513.0,-3.0675,-12.248,3.0,1.0,,
mult,1D,wilder,乙,"E=5,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,5.0694,-49.293,-3.5093,-1.232,-4.3865,-1.547,35.95,42.61,1933.0,3.645,-10.9264,,1.0,5.0,50.0
price,1D,wilder,乙,"E=5,X=50,H=1",6513,2000-10-02,2026-08-27,25.9,6.5522,-47.479,-2.0265,-0.755,-2.9037,-1.036,32.44,34.41,1715.0,6.0941,-10.372,,1.0,5.0,50.0
mult,1D,wilder,乙,"E=5,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,6.3305,-47.088,-2.2482,-0.832,-3.1254,-1.131,35.51,44.34,1929.0,5.0591,-9.8137,,1.0,5.0,55.0
price,1D,wilder,乙,"E=5,X=55,H=1",6513,2000-10-02,2026-08-27,25.9,8.0133,-45.71,-0.5654,-0.307,-1.4426,-0.571,32.15,35.94,1718.0,7.2144,-8.5862,,1.0,5.0,55.0
mult,1D,wilder,乙,"E=5,X=60,H=1",6513,2000-10-02,2026-08-27,25.9,6.361,-48.141,-2.2177,-0.821,-3.095,-1.121,34.89,46.41,1910.0,5.5142,-10.1919,,1.0,5.0,60.0
