驅動器,代號,格數,連續軸,選擇軸,層數,舊平原,舊孤峰,新平原,新山脊,新孤峰,改判格數,最優格,最優格年化超額,最優格舊裁決,最優格新裁決,最優格舊鄰域平均,最優格新鄰域平均,高地門檻
VIX 水平開關,vix_level,30,threshold、tilt,cadence,2,0,2,0,0,3,1,threshold=16、tilt=1、cadence=monthly,0.0105495169226399,孤峰,孤峰,-0.00395675274298025,0.0010936600918299254,0.001604643727776071
VIX 期限結構開關,vix_term,30,threshold、tilt,cadence,2,1,2,0,1,1,4,threshold=1.05、tilt=1、cadence=monthly,0.0064088110009135,普通,普通,0.0002884818489380334,0.001715421597866,0.003093260561637122
信用利差變化方向,credit_trend,30,lookback_days、tilt,cadence,2,0,2,0,2,4,5,lookback_days=20、tilt=1、cadence=monthly,0.0015851684138403,山脊,山脊,-0.0174755199092556,-0.0016544055996927333,-0.0024161113175766693
曲線斜度變化方向,curve_trend,30,lookback_days、tilt,cadence,2,0,1,0,0,2,1,lookback_days=20、tilt=1、cadence=monthly,0.0537118666463736,孤峰,孤峰,0.015877244766602527,0.0288680841637456,0.033849283087798276
10 年息率趨勢,rate_trend,30,lookback_days、tilt,cadence,2,0,2,0,1,4,3,lookback_days=20、tilt=1、cadence=monthly,0.0306925537129025,孤峰,孤峰,-0.0064569398562319925,0.006814358986597084,0.006228128543424513
聯邦基金利率預期方向,fed_expectation,30,lookback_days、tilt,cadence,2,0,2,0,0,4,2,lookback_days=10、tilt=1、cadence=quarterly,0.02788070007779,孤峰,孤峰,-0.009274207427536775,-0.007808281702962575,0.006560234770687301
