group,holding_month,picks,retreat_to_spy,momentum_top3,gross_ret_pct,net_ret_pct,spy_ret_pct,ew9_ret_pct,turnover,hits_in_top3
main_12_1,2000-01,XLK|XLE|XLI,False,43.06|17.13|12.73,-5.693846093241976,-5.7438460932419755,-5.833563669721597,-5.650176722175408,0.5,1
main_12_1,2000-02,XLK|XLB|XLE,False,42.48|27.65|26.23,-0.9555462880675251,-0.9888796214008584,-1.5205642504048655,-5.80850279433909,0.3333333333333333,2
main_12_1,2000-03,XLK|XLE|XLI,False,48.44|28.35|12.11,11.619687776707565,11.586354443374232,9.35980493776254,11.556908675940711,0.3333333333333333,1
main_12_1,2000-04,XLK|XLE|XLI,False,52.69|7.69|3.74,-2.1025025568773352,-2.1025025568773352,-2.3729485615035406,-1.3746090353814109,0.0,1
main_12_1,2000-05,XLK|XLV|XLE,False,64.52|6.38|5.48,-0.856682212193168,-0.8900155455265013,-1.9616461472429236,0.2487314109498811,0.3333333333333333,1
main_12_1,2000-06,XLK|XLV|XLI,False,48.90|8.47|6.30,0.9561195684952247,0.9227862351618914,1.456238474450422,-1.6749111438909434,0.3333333333333333,1
main_12_1,2000-07,XLK|XLE|XLV,False,21.73|16.29|1.12,-2.811539541824333,-2.844872875157667,-1.2462509511091957,0.10951115676426124,0.3333333333333333,0
main_12_1,2000-08,XLK|XLE|XLV,False,35.42|7.85|4.45,8.128410910840733,8.128410910840733,6.701532983076808,4.786686130990134,0.0,1
main_12_1,2000-09,XLK|XLF|XLV,False,23.88|11.91|7.75,-6.042973496549687,-6.076306829883019,-5.6158440236747875,-1.580821203773423,0.3333333333333333,0
main_12_1,2000-10,XLK|XLF|XLE,False,37.05|30.07|19.31,-4.06195325598702,-4.095286589320353,-1.4079152069633283,1.85801211891522,0.3333333333333333,0
main_12_1,2000-11,XLE|XLF|XLU,False,23.10|15.02|11.07,-3.425138579370527,-3.4584719127038603,-6.370773593339507,-4.488706639427889,0.3333333333333333,1
main_12_1,2000-12,XLU|XLE|XLF,False,21.51|19.96|19.28,6.11184722271025,6.11184722271025,-0.5876104419242245,3.8377525981957623,0.0,2
main_12_1,2001-01,XLU|XLP|XLF,False,24.17|21.14|15.96,-3.8894360525569014,-3.9227693858902346,3.863617707438549,2.243306873119107,0.3333333333333333,0
main_12_1,2001-02,XLF|XLU|XLP,False,29.69|24.69|24.44,-2.198489267017112,-2.198489267017112,-9.518596633757316,-5.605954354066638,0.0,2
main_12_1,2001-03,XLF|XLU|XLP,False,44.90|33.96|30.66,-3.6184036750861313,-3.6184036750861313,-5.995016704883039,-4.915708037883197,0.0,1
main_12_1,2001-04,XLP|XLU|XLF,False,26.69|23.27|14.28,3.9668925186821338,3.9668925186821338,7.540850294849788,7.680558562344691,0.0,0
main_12_1,2001-05,XLU|XLP|XLF,False,14.04|11.96|9.79,1.465271308719407,1.465271308719407,0.903423585796026,1.688819232362251,0.0,1
main_12_1,2001-06,XLU|XLF|XLB,False,19.81|11.28|6.69,-2.9711061904348317,-3.0044395237681654,-2.417384166865999,-3.192220864582359,0.3333333333333333,1
main_12_1,2001-07,XLU|XLF|XLB,False,24.89|22.10|21.16,-0.5420564095093838,-0.5420564095093838,-0.6758691089874369,-0.06301474815832986,0.0,1
main_12_1,2001-08,XLU|XLB|XLF,False,16.81|15.96|11.41,-3.995912088736738,-3.995912088736738,-6.657370591660539,-5.663652318289266,0.0,2
main_12_1,2001-09,XLY|XLB|XLU,False,17.03|13.06|11.42,-8.363249211894146,-8.39658254522748,-8.397109961559735,-9.335906094566742,0.3333333333333333,1
main_12_1,2001-10,XLB|XLY|XLP,False,24.84|6.66|1.66,2.7226005750136157,2.689267241680282,2.5986072150763206,2.4336817961656836,0.3333333333333333,1
main_12_1,2001-11,XLB|XLP|XLY,False,1.18|-5.06|-5.63,8.549650130831761,8.549650130831761,6.613528486571307,6.20634456742945,0.0,1
main_12_1,2001-12,XLB|XLY|XLP,False,6.61|1.86|-8.81,0.8866028813151609,0.8866028813151609,1.6330388031293497,2.650456953523202,0.0,1
main_12_1,2002-01,XLY|XLB|XLV,False,7.83|5.29|-3.17,1.5355378984958237,1.5022045651624905,-1.7548359308440675,-1.1376846021026892,0.3333333333333333,2
main_12_1,2002-02,XLB|XLY|XLP,False,4.94|0.99|-2.84,2.1309528006714746,2.097619467338141,-1.2114628614127376,0.6846620483798188,0.3333333333333333,1
main_12_1,2002-03,XLY|XLB|XLF,False,12.33|6.02|-3.78,2.1662615766511335,2.1329282433178,2.5395970141207425,2.876995848456919,0.3333333333333333,1
main_12_1,2002-04,XLB|XLY|XLP,False,17.51|14.61|5.24,-2.4566788804432123,-2.4900122137765455,-5.480179200454483,-3.9775768049815676,0.3333333333333333,1
main_12_1,2002-05,XLY|XLB|XLP,False,10.92|9.45|4.90,0.9799251089898727,0.9799251089898727,-0.815069227610643,-0.05742976363995764,0.0,1
main_12_1,2002-06,XLY|XLB|XLP,False,5.31|0.42|-0.46,-5.701311170342879,-5.701311170342879,-7.062150204697881,-6.573587177467406,0.0,1
main_12_1,2002-07,XLB|XLY|XLP,False,9.17|5.60|3.21,-9.344549282842307,-9.344549282842307,-8.36864799971071,-9.569220672036616,0.0,1
main_12_1,2002-08,XLB|XLV|XLY,False,7.60|-4.14|-4.22,-0.06885440435728438,-0.1021877376906177,-0.1650319207318951,-0.01529876424501728,0.3333333333333333,1
main_12_1,2002-09,SPY,True,-1.94|-4.21|-7.56,-8.740737005402766,-8.840737005402765,-8.740737005402766,-8.469620943186024,1.0,0
main_12_1,2002-10,XLV|XLY|XLB,False,15.77|8.99|8.08,4.400986707083673,4.3009867070836725,7.181886823295902,5.2807104330130805,1.0,1
main_12_1,2002-11,XLV|XLY|XLB,False,8.05|-5.69|-8.43,9.147261163913074,9.147261163913074,8.058905820662755,7.491341170628201,0.0,2
main_12_1,2002-12,XLV|XLY|XLF,False,2.47|-11.16|-11.39,-6.743595642155493,-6.776928975488827,-6.476857265482439,-4.415150484492672,0.3333333333333333,0
main_12_1,2003-01,XLV|XLB|XLF,False,3.14|-0.78|-9.85,-2.933084976549642,-2.9664183098829753,-3.0500763518345186,-3.4346181330661425,0.3333333333333333,2
main_12_1,2003-02,XLV|XLB|XLE,False,0.00|-7.49|-11.53,-0.6680473709597605,-0.7013807042930937,-1.0215772834292203,-1.3081744379722315,0.3333333333333333,1
main_12_1,2003-03,SPY,True,-4.72|-13.35|-16.52,0.391382391403039,0.291382391403039,0.391382391403039,0.8473210202659639,1.0,0
