a,b,n_both_computable,cut_a,cut_b,cut_both,jaccard
T1,T1,35491,29316,29316,29316,1.0
T1,T2,31221,25754,2073,1874,0.0722
T1,T3,35429,29254,24927,20710,0.6187
T2,T1,31221,2073,25754,1874,0.0722
T2,T2,38897,2602,2602,2602,1.0
T2,T3,37722,2348,27749,832,0.0284
T3,T1,35429,24927,29254,20710,0.6187
T3,T2,37722,27749,2348,832,0.0284
T3,T3,45110,30388,30388,30388,1.0
