feature,label,arm,n_cells,n_10x,median_10x,median_non10x,p25_10x,p75_10x,AUC_full,AUC_year_weighted,separation,verdict,note
s1_net_cash_to_mcap,S1 淨現金對市值,安全邊際,35491,436,-0.0406,-0.1577,-0.2315,0.0429,0.6534,0.6483,0.1483,存在,數值大的一邊才是十倍股
s2_runway_yrs,"S2 現金跑道(年,自由現金流口徑)",安全邊際,38897,549,99.0,99.0,2.8524,99.0,0.3826,0.3457,0.1543,存在,數值細的一邊才是十倍股
s3_tangible_nav_to_mcap,S3 有形資產淨值對市值,安全邊際,45110,528,0.0993,0.1245,0.0115,0.3409,0.5026,0.5559,0.0559,存在,數值大的一邊才是十倍股
s2b_runway_cfo_yrs,"S2b 現金跑道(年,只看經營現金流)",安全邊際,42328,599,99.0,99.0,6.0349,99.0,0.3586,0.3434,0.1566,存在,數值細的一邊才是十倍股
s3b_book_nav_to_mcap,S3b 帳面淨值對市值(不扣無形),安全邊際,45110,528,0.2273,0.3674,0.0827,0.6686,0.4174,0.4706,0.0294,不存在,偏離 0.029 < 0.05
log_mcap,對照 起點市值(log10 美元),對照,45266,528,9.4025,10.0788,9.0659,9.9785,0.2543,0.2178,0.2822,存在,數值細的一邊才是十倍股
in_index,對照 起點時為標普成分,對照,47251,643,0.0,1.0,0.0,0.0,0.2438,0.2678,0.2322,存在,數值細的一邊才是十倍股
shares_chg_12m,對照 前 12 個月股數變化,對照,41032,476,0.0092,-0.0077,-0.0133,0.0511,0.6617,0.6658,0.1658,存在,數值大的一邊才是十倍股
