group,n_cells,death_rate,drop90_rate,delisted_rate,ten_x_rate,n_10x
有安全邊際(T-實務過),472,0.0148,0.0148,0.0,0.1356,64
無安全邊際(T-實務不過),1804,0.0382,0.0382,0.0,0.0937,169
全體細而不在指數,2276,0.0334,0.0334,0.0,0.1024,233
