win,0,1,4
m1,-1.083,-0.138,-2.025
m2,0.631,1.057,1.424
m3,0.384,-0.094,0.523
w1,-0.592,,
w10,0.6,0.529,0.968
w11,0.732,0.999,0.719
w12,1.144,1.025,0.506
w13,0.232,0.336,1.294
w2,0.136,-0.387,
w3,-0.484,-0.005,
w4,-0.606,0.081,
w5,-0.975,-0.141,-0.882
w6,0.403,0.524,-0.459
w7,0.506,0.154,0.865
w8,0.707,1.064,0.968
w9,0.497,0.796,1.06
