date,SP500TR,SPY,XLK,GSPC
1985-01-02,,,,165.3699951171875
1985-01-03,,,,164.57000732421875
1985-01-04,,,,163.67999267578125
1985-01-07,,,,164.24000549316406
1985-01-08,,,,163.99000549316406
1985-01-09,,,,165.17999267578125
1985-01-10,,,,168.30999755859375
1985-01-11,,,,167.91000366210938
1985-01-14,,,,170.50999450683594
1985-01-15,,,,170.80999755859375
1985-01-16,,,,171.19000244140625
1985-01-17,,,,170.72999572753906
1985-01-18,,,,171.32000732421875
1985-01-21,,,,175.22999572753906
1985-01-22,,,,175.47999572753906
1985-01-23,,,,177.3000030517578
1985-01-24,,,,176.7100067138672
1985-01-25,,,,177.35000610351562
1985-01-28,,,,177.39999389648438
1985-01-29,,,,179.17999267578125
1985-01-30,,,,179.38999938964844
1985-01-31,,,,179.6300048828125
1985-02-01,,,,178.6300048828125
1985-02-04,,,,180.35000610351562
1985-02-05,,,,180.61000061035156
1985-02-06,,,,180.42999267578125
1985-02-07,,,,181.82000732421875
1985-02-08,,,,182.19000244140625
1985-02-11,,,,180.50999450683594
1985-02-12,,,,180.55999755859375
1985-02-13,,,,183.35000610351562
1985-02-14,,,,182.41000366210938
1985-02-15,,,,181.60000610351562
1985-02-19,,,,181.3300018310547
1985-02-20,,,,181.17999267578125
1985-02-21,,,,180.19000244140625
1985-02-22,,,,179.36000061035156
1985-02-25,,,,179.22999572753906
1985-02-26,,,,181.1699981689453
1985-02-27,,,,180.7100067138672
1985-02-28,,,,181.17999267578125
1985-03-01,,,,183.22999572753906
1985-03-04,,,,182.05999755859375
1985-03-05,,,,182.22999572753906
1985-03-06,,,,180.64999389648438
1985-03-07,,,,179.50999450683594
1985-03-08,,,,179.10000610351562
1985-03-11,,,,178.7899932861328
1985-03-12,,,,179.66000366210938
1985-03-13,,,,178.19000244140625
1985-03-14,,,,177.83999633789062
1985-03-15,,,,176.52999877929688
1985-03-18,,,,176.8800048828125
1985-03-19,,,,179.5399932861328
1985-03-20,,,,179.0800018310547
