event_id,t1,signal_q_end,n_rows,revenue_ok,revenue_bad,revenue_leak,revenue_coinc,revenue_sigtext,revenue_post,revenue_postcells,gross_profit_ok,gross_profit_bad,gross_profit_leak,gross_profit_sigtext,gross_profit_post,gross_profit_postcells,operating_income_ok,operating_income_bad,operating_income_leak,operating_income_sigtext,operating_income_post,operating_income_postcells,ocf_ok,ocf_bad,ocf_leak,ocf_sigtext,ocf_post,ocf_postcells,revenue_nopack,gross_profit_nopack,operating_income_nopack,ocf_nopack,revenue_types,revenue_leakcells,sig_rev_eq_ex991,sig_rev_vs_ex991_pp,sig_rev_in_text,sig_rev_in_text_loose,has_sig_sources,n_sig_sources_fields,label_violations,label_violations_detail,label_bare_only,label_bare_only_detail
E001,2015-11-05,2015-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,7,0,0,,,1,0.0,1,1,0,0,0,,0,
E002,2015-11-04,2015-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.01,1,1,0,0,0,,0,
E003,2015-05-01,2015-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,6,0,0,0,0,,8,0,0,0,0,,0,8,2,0,,,1,0.0,1,1,0,0,0,,0,
E004,2015-11-06,2015-09-30,8,8,0,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,0.05,1,1,0,0,0,,0,
E005,2015-08-05,2015-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.04,1,1,0,0,0,,0,
E006,2015-04-30,2015-04-05,8,8,0,0,1,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E007,2015-02-27,2014-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,8,0,,,1,-0.43,1,1,0,0,0,,0,
E008,2015-07-30,2015-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.01,1,1,0,0,0,,0,
E009,2016-11-08,2016-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,-0.0,1,1,0,0,0,,0,
E010,2016-05-03,2016-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,-0.02,1,1,0,0,0,,0,
E011,2016-11-04,2016-09-30,8,8,0,0,0,0,2,2014-12-31(值首見於 2017-03-13); 2015-12-31(值首見於 2017-03-13),8,0,0,0,2,2014-12-31(值首見於 2017-03-13); 2015-12-31(值首見於 2017-03-13),7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,-0.06,1,1,0,0,0,,0,
E012,2016-04-20,2016-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,-0.03,1,1,0,0,0,,0,
E013,2016-11-03,2016-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.01,1,1,0,0,0,,0,
E014,2016-05-19,2016-04-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E015,2016-02-23,2015-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.23,1,1,0,0,0,,0,
E016,2016-05-24,2016-04-30,8,8,0,0,0,0,0,,8,0,0,0,1,2016-01-31(值首見於 2016-12-15),8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.09,1,1,0,0,0,,0,
E017,2017-02-09,2016-12-31,8,7,0,0,0,1,0,,7,0,0,1,0,,7,0,0,1,0,,7,0,0,0,0,,0,0,0,1,,,1,0.0,1,1,1,4,0,,1,gross_profit:只在裸數(表格)中命中
E018,2017-02-16,2016-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,0.0,1,1,0,0,0,,0,
E019,2017-11-02,2017-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,0.01,1,1,0,0,0,,0,
E020,2017-08-01,2017-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.01,1,1,0,0,0,,0,
E021,2017-05-03,2017-03-31,8,7,0,0,0,1,0,,8,0,0,0,0,,7,0,0,1,0,,7,0,0,0,0,,0,8,0,1,,,1,0.0,1,1,1,4,0,,0,
E022,2017-03-01,2016-12-31,8,7,0,0,0,1,0,,8,0,0,0,0,,7,0,0,1,0,,7,0,0,0,0,,0,8,0,1,,,1,0.0,1,1,1,4,0,,1,operating_income:只在裸數(表格)中命中
E023,2017-05-05,2017-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.19,1,1,0,0,0,,0,
E024,2017-11-06,2017-09-30,8,7,0,0,0,1,0,,7,0,0,1,0,,7,0,0,1,0,,7,0,0,0,0,,0,0,0,1,,,1,0.0,1,1,1,4,0,,0,
E025,2018-05-01,2018-03-31,8,5,2,0,0,1,0,,7,0,0,1,0,,7,0,0,1,0,,7,0,0,0,0,,0,0,0,1,other,,1,0.0,1,1,1,4,0,,1,operating_income:只在裸數(表格)中命中
E026,2018-03-16,2017-12-31,8,8,0,0,1,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E027,2018-08-01,2018-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.02,1,1,0,0,0,,0,
E028,2018-11-01,2018-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,8,1,0,,,1,-0.01,1,1,0,0,0,,0,
E029,2018-10-23,2018-09-30,8,8,0,0,1,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,0,1,0,0,0,,0,
E030,2018-02-06,2017-12-30,8,8,0,0,1,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.28,1,1,0,0,0,,0,
E031,2018-08-08,2018-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E032,2018-09-06,2018-07-28,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.06,1,1,0,0,0,,0,
E033,2019-07-24,2019-06-30,8,6,2,0,1,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,other,,1,0.0,1,1,0,0,0,,0,
E034,2019-05-08,2019-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.04,1,1,0,0,0,,0,
E035,2019-11-06,2019-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,6,0,0,0,0,,8,0,0,0,0,,0,0,2,0,,,1,0.0,1,1,0,0,0,,0,
E036,2019-02-08,2018-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.01,1,1,0,0,0,,0,
E037,2019-08-08,2019-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.06,1,1,0,0,0,,0,
E038,2019-02-21,2018-12-31,8,6,2,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,8,0,other,,1,0.0,0,1,0,0,0,,0,
E039,2019-10-31,2019-09-30,8,5,3,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,other,,1,0.0,1,1,0,0,0,,0,
E040,2019-07-30,2019-06-29,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.02,1,1,0,0,0,,0,
E041,2020-02-14,2019-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,8,0,,,1,0.0,1,1,0,0,0,,0,
E042,2020-10-21,2020-08-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.04,1,1,0,0,0,,0,
E043,2020-11-06,2020-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,-0.03,1,1,0,0,0,,0,
E044,2020-05-06,2020-04-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.4,1,1,0,0,0,,0,
E045,2020-05-22,2020-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,-0.28,1,1,0,0,0,,0,
E046,2020-05-28,2020-05-02,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.05,1,1,0,0,0,,0,
E047,2020-10-27,2020-09-30,8,7,0,0,0,1,0,,6,1,0,1,0,,7,0,0,1,0,,7,0,0,0,0,,0,0,0,1,,,1,0.0,1,1,1,4,0,,1,operating_income:只在裸數(表格)中命中
E048,2020-11-05,2020-09-30,8,8,0,0,0,0,0,,8,0,0,0,6,2019-03-31(值首見於 2021-03-01); 2019-06-30(值首見於 2021-03-01); 2019-09-30(值首見於 2021-03-01); 2019-12-31(值首見於 2021-03-01); 2020-03-31(值首見於 2021-03-01); 2020-06-30(值首見於 2021-03-01),8,0,0,0,0,,8,0,0,0,0,,0,1,0,0,,,1,0.0,1,1,0,0,0,,0,
E049,2021-08-05,2021-06-30,8,8,0,0,1,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.01,1,1,0,0,0,,0,
E050,2021-02-12,2021-01-03,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E051,2021-11-10,2021-09-30,8,8,0,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,0.04,1,1,0,0,0,,0,
E052,2021-08-04,2021-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.01,1,1,0,0,0,,0,
E053,2021-02-22,2020-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,0.0,1,1,0,0,0,,0,
E054,2021-08-03,2021-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E055,2021-08-06,2021-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.01,1,1,0,0,0,,0,
B028,2021-08-24,2021-07-31,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,0.0,1,1,0,0,0,,0,
E057,2022-07-29,2022-06-30,8,7,0,0,0,1,0,,8,0,0,0,0,,8,0,0,0,0,,7,0,0,1,0,,0,8,8,0,,,1,0.0,1,1,1,4,0,,0,
E058,2022-01-28,2021-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.04,1,1,0,0,0,,0,
E059,2022-02-24,2021-12-31,8,8,0,0,1,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,0.31,1,1,0,0,0,,0,
E060,2022-05-05,2022-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,-0.02,1,1,0,0,0,,0,
E061,2022-05-17,2022-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E062,2022-11-02,2022-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,0.02,1,1,0,0,0,,0,
E063,2022-05-25,2022-04-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,8,0,,,1,0.0,1,1,0,0,0,,0,
E064,2022-11-15,2022-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,-0.31,1,1,0,0,0,,0,
E065,2023-10-20,2023-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,-0.15,1,1,0,0,0,,0,
E066,2023-04-20,2023-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
B033,2023-02-16,2022-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,6,0,0,0,0,,8,0,0,0,0,,0,0,2,0,,,1,0.02,1,1,0,0,0,,0,
E068,2023-07-25,2023-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,-0.01,1,1,0,0,0,,0,
E069,2023-10-27,2023-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,-0.3,1,1,0,0,0,,0,
