event_id,t1,signal_q_end,n_rows,revenue_ok,revenue_bad,revenue_leak,revenue_coinc,revenue_sigtext,revenue_post,revenue_postcells,gross_profit_ok,gross_profit_bad,gross_profit_leak,gross_profit_sigtext,gross_profit_post,gross_profit_postcells,operating_income_ok,operating_income_bad,operating_income_leak,operating_income_sigtext,operating_income_post,operating_income_postcells,ocf_ok,ocf_bad,ocf_leak,ocf_sigtext,ocf_post,ocf_postcells,revenue_nopack,gross_profit_nopack,operating_income_nopack,ocf_nopack,revenue_types,revenue_leakcells,sig_rev_eq_ex991,sig_rev_vs_ex991_pp,sig_rev_in_text,sig_rev_in_text_loose,has_sig_sources,n_sig_sources_fields,label_violations,label_violations_detail,label_bare_only,label_bare_only_detail
B034,2023-05-11,2023-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,6,0,0,0,0,,8,0,0,0,0,,0,0,2,0,,,1,0.07,1,1,0,0,0,,0,
E071,2023-11-30,2023-10-28,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E072,2023-05-04,2023-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,8,0,,,1,0.0,1,1,0,0,0,,0,
E073,2024-11-22,2024-09-30,8,7,0,0,0,1,0,,8,0,0,0,0,,7,0,0,0,0,,7,0,0,0,0,,0,8,1,1,,,1,0.0,1,1,1,4,0,,0,
E074,2024-05-03,2024-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,8,1,0,,,1,0.05,1,1,0,0,0,,0,
E075,2024-03-01,2023-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,8,1,0,,,1,-0.01,1,1,0,0,0,,0,
E076,2024-12-13,2024-11-03,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E077,2024-11-08,2024-09-30,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,-0.0,1,1,0,0,0,,0,
E078,2024-10-31,2024-09-30,8,8,0,0,1,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,0,0,0,,,1,0.0,1,1,0,0,0,,0,
E079,2024-10-25,2024-09-30,8,8,0,0,1,0,0,,8,0,0,0,0,,7,0,0,0,0,,8,0,0,0,0,,0,0,1,0,,,1,0.0,1,1,0,0,0,,0,
E080,2024-08-09,2024-06-30,8,8,0,0,0,0,0,,8,0,0,0,0,,6,0,0,0,1,2024-03-31(值首見於 2025-05-09),8,0,0,0,0,,0,8,6,0,,,1,0.0,1,1,0,0,0,,0,
E081,2025-05-07,2025-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,8,0,0,0,0,,0,8,0,0,,,1,-0.05,1,1,0,0,0,,0,
E082,2025-02-27,2024-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,6,0,0,0,0,,8,0,0,0,0,,0,8,2,0,,,1,-0.02,1,1,0,0,0,,0,
E083,2025-05-08,2025-03-31,8,8,0,0,0,0,0,,8,0,0,0,0,,6,0,0,0,0,,8,0,0,0,0,,0,0,2,0,,,1,0.01,1,1,0,0,0,,0,
E084,2025-02-28,2024-12-31,8,8,0,0,0,0,0,,8,0,0,0,0,,6,0,0,0,0,,8,0,0,0,0,,0,0,2,0,,,1,0.0,1,1,0,0,0,,0,
