family,param,base,direction,label,n_periods,cagr_pct,excess_spy_pp,excess_ew9_pp,paired_t_spy,paired_t_ew9,hit_rate_pct,avg_turnover,vbt_cagr_pct,vbt_minus_hand_pp
B,rsi14,abs,高,B-rsi14-abs-高,211,12.217,-2.597,-1.509,-1.176,-0.83,31.91,0.1517,12.15,-0.067
B,rsi18,abs,高,B-rsi18-abs-高,211,11.875,-2.939,-1.851,-1.377,-1.027,33.65,0.1343,11.81,-0.065
B,rsi24,abs,高,B-rsi24-abs-高,211,12.92,-1.894,-0.806,-0.847,-0.385,35.07,0.1264,12.847,-0.072
C,trd1,abs,高,C-trd1-abs-高,211,12.992,-1.822,-0.734,-0.789,-0.336,33.33,0.6382,12.918,-0.075
C,trd3,abs,高,C-trd3-abs-高,211,11.844,-2.97,-1.882,-1.445,-1.088,33.81,0.316,11.777,-0.067
C,trd6,abs,高,C-trd6-abs-高,211,10.561,-4.253,-3.165,-1.948,-1.78,33.18,0.2322,10.501,-0.06
C,trd9,abs,高,C-trd9-abs-高,211,11.99,-2.824,-1.736,-1.352,-0.98,33.97,0.1769,11.922,-0.068
C,trd12,abs,高,C-trd12-abs-高,211,13.167,-1.647,-0.559,-0.695,-0.228,33.81,0.1422,13.092,-0.075
C,trd18,abs,高,C-trd18-abs-高,211,11.93,-2.884,-1.796,-1.328,-0.972,34.12,0.1453,11.863,-0.067
C,trd24,abs,高,C-trd24-abs-高,211,12.376,-2.438,-1.35,-1.02,-0.644,33.49,0.1438,12.307,-0.069
E,水平,rel,低,E-水平-rel-低,211,13.148,-1.667,-0.578,-0.643,-0.183,34.6,0.0806,13.072,-0.075
A,z12,rel,低,A-z12-rel-低,211,11.712,-3.102,-2.014,-1.679,-1.035,33.18,0.2433,11.647,-0.066
A,p12,rel,低,A-p12-rel-低,211,12.572,-2.242,-1.154,-1.181,-0.508,33.81,0.278,12.501,-0.071
A,z24,rel,低,A-z24-rel-低,211,12.03,-2.785,-1.696,-1.707,-1.008,31.28,0.1532,11.961,-0.069
A,p24,rel,低,A-p24-rel-低,211,13.13,-1.684,-0.596,-0.989,-0.297,32.07,0.2054,13.053,-0.077
A,z36,rel,低,A-z36-rel-低,211,15.05,0.236,1.324,0.026,0.779,32.7,0.139,14.964,-0.086
A,p36,rel,低,A-p36-rel-低,211,14.679,-0.135,0.953,-0.13,0.604,33.18,0.1975,14.594,-0.085
A,z48,rel,低,A-z48-rel-低,211,14.955,0.141,1.229,-0.009,0.724,32.39,0.1327,14.871,-0.085
A,p48,rel,低,A-p48-rel-低,211,14.888,0.074,1.162,-0.019,0.735,32.86,0.1927,14.802,-0.087
A,z60,rel,低,A-z60-rel-低,211,15.357,0.543,1.631,0.208,0.997,33.18,0.1469,15.27,-0.087
A,p60,rel,低,A-p60-rel-低,211,14.505,-0.309,0.779,-0.241,0.473,33.02,0.1722,14.422,-0.083
A,z84,rel,低,A-z84-rel-低,211,14.713,-0.101,0.987,-0.199,0.591,34.28,0.1027,14.629,-0.084
A,p84,rel,低,A-p84-rel-低,211,14.334,-0.48,0.608,-0.383,0.347,33.49,0.1343,14.252,-0.082
A,z120,rel,低,A-z120-rel-低,211,14.365,-0.45,0.639,-0.408,0.189,35.07,0.09,14.284,-0.081
A,p120,rel,低,A-p120-rel-低,211,13.58,-1.234,-0.146,-0.804,-0.272,34.76,0.1058,13.503,-0.077
B,rsi3,rel,低,B-rsi3-rel-低,211,13.848,-0.966,0.122,-0.464,0.188,34.92,0.3318,13.766,-0.082
B,rsi6,rel,低,B-rsi6-rel-低,211,14.365,-0.449,0.639,-0.126,0.562,33.97,0.2338,14.282,-0.083
B,rsi9,rel,低,B-rsi9-rel-低,211,14.61,-0.205,0.884,-0.058,0.639,34.44,0.2133,14.524,-0.085
B,rsi12,rel,低,B-rsi12-rel-低,211,11.771,-3.043,-1.955,-1.711,-1.035,31.91,0.1943,11.704,-0.068
B,rsi14,rel,低,B-rsi14-rel-低,211,12.122,-2.692,-1.604,-1.431,-0.859,32.86,0.169,12.053,-0.07
B,rsi18,rel,低,B-rsi18-rel-低,211,14.599,-0.215,0.873,-0.14,0.553,34.44,0.1485,14.513,-0.086
B,rsi24,rel,低,B-rsi24-rel-低,211,15.482,0.668,1.756,0.335,1.074,34.44,0.1517,15.393,-0.089
C,trd1,rel,低,C-trd1-rel-低,211,11.967,-2.847,-1.759,-1.406,-0.891,34.12,0.643,11.898,-0.069
C,trd3,rel,低,C-trd3-rel-低,211,13.327,-1.487,-0.399,-0.766,-0.111,33.33,0.2923,13.25,-0.078
C,trd6,rel,低,C-trd6-rel-低,211,12.196,-2.618,-1.53,-1.298,-0.709,33.02,0.2212,12.126,-0.07
C,trd9,rel,低,C-trd9-rel-低,211,14.055,-0.759,0.329,-0.381,0.276,34.12,0.2038,13.974,-0.081
C,trd12,rel,低,C-trd12-rel-低,211,10.721,-4.093,-3.005,-2.353,-1.703,31.28,0.1706,10.66,-0.061
C,trd18,rel,低,C-trd18-rel-低,211,14.753,-0.061,1.027,-0.041,0.626,34.44,0.1627,14.665,-0.088
C,trd24,rel,低,C-trd24-rel-低,211,14.269,-0.545,0.543,-0.254,0.409,33.49,0.1453,14.188,-0.081
E,水平,rel,高,E-水平-rel-高,211,11.943,-2.871,-1.783,-1.758,-0.905,33.81,0.1248,11.876,-0.067
A,z12,rel,高,A-z12-rel-高,211,11.425,-3.39,-2.301,-1.631,-1.327,32.54,0.2338,11.36,-0.064
A,p12,rel,高,A-p12-rel-高,211,12.619,-2.196,-1.107,-0.982,-0.547,33.81,0.2717,12.548,-0.07
A,z24,rel,高,A-z24-rel-高,211,12.466,-2.348,-1.26,-1.025,-0.637,34.6,0.1422,12.397,-0.069
A,p24,rel,高,A-p24-rel-高,211,12.44,-2.375,-1.286,-1.03,-0.653,33.65,0.1769,12.37,-0.07
A,z36,rel,高,A-z36-rel-高,211,14.028,-0.786,0.302,-0.415,0.158,35.55,0.1311,13.948,-0.08
A,p36,rel,高,A-p36-rel-高,211,12.452,-2.362,-1.274,-1.163,-0.762,33.81,0.1659,12.382,-0.07
A,z48,rel,高,A-z48-rel-高,211,13.959,-0.855,0.233,-0.5,0.095,36.18,0.1185,13.882,-0.077
A,p48,rel,高,A-p48-rel-高,211,14.614,-0.2,0.888,-0.146,0.525,36.65,0.1485,14.532,-0.082
A,z60,rel,高,A-z60-rel-高,211,13.941,-0.873,0.215,-0.608,0.051,37.12,0.1232,13.864,-0.078
A,p60,rel,高,A-p60-rel-高,211,13.938,-0.876,0.212,-0.58,0.1,35.86,0.1295,13.859,-0.078
A,z84,rel,高,A-z84-rel-高,211,13.427,-1.387,-0.299,-0.938,-0.235,35.39,0.0932,13.351,-0.076
A,p84,rel,高,A-p84-rel-高,211,12.906,-1.908,-0.82,-1.156,-0.531,34.6,0.1201,12.832,-0.074
A,z120,rel,高,A-z120-rel-高,211,13.912,-0.902,0.186,-0.665,0.054,36.18,0.1027,13.833,-0.08
A,p120,rel,高,A-p120-rel-高,211,14.732,-0.082,1.006,-0.083,0.561,36.49,0.0821,14.648,-0.084
B,rsi3,rel,高,B-rsi3-rel-高,211,11.743,-3.071,-1.983,-1.547,-1.209,33.02,0.4534,11.677,-0.066
B,rsi6,rel,高,B-rsi6-rel-高,211,10.772,-4.043,-2.954,-1.842,-1.616,33.65,0.2875,10.71,-0.062
B,rsi9,rel,高,B-rsi9-rel-高,211,12.492,-2.322,-1.234,-1.139,-0.694,33.97,0.1927,12.421,-0.071
B,rsi12,rel,高,B-rsi12-rel-高,211,13.081,-1.733,-0.645,-0.799,-0.326,33.33,0.1675,13.008,-0.073
B,rsi14,rel,高,B-rsi14-rel-高,211,11.697,-3.117,-2.029,-1.449,-1.163,33.18,0.158,11.632,-0.064
B,rsi18,rel,高,B-rsi18-rel-高,211,11.19,-3.624,-2.536,-1.763,-1.454,33.33,0.1438,11.128,-0.062
B,rsi24,rel,高,B-rsi24-rel-高,211,11.168,-3.646,-2.558,-1.714,-1.418,33.02,0.1564,11.105,-0.063
C,trd1,rel,高,C-trd1-rel-高,211,12.992,-1.822,-0.734,-0.789,-0.336,33.33,0.6382,12.918,-0.075
C,trd3,rel,高,C-trd3-rel-高,211,11.844,-2.97,-1.882,-1.445,-1.088,33.81,0.316,11.777,-0.067
C,trd6,rel,高,C-trd6-rel-高,211,10.561,-4.253,-3.165,-1.948,-1.78,33.18,0.2322,10.501,-0.06
C,trd9,rel,高,C-trd9-rel-高,211,11.99,-2.824,-1.736,-1.352,-0.98,33.97,0.1769,11.922,-0.068
C,trd12,rel,高,C-trd12-rel-高,211,13.167,-1.647,-0.559,-0.695,-0.228,33.81,0.1422,13.092,-0.075
C,trd18,rel,高,C-trd18-rel-高,211,11.93,-2.884,-1.796,-1.328,-0.972,34.12,0.1453,11.863,-0.067
C,trd24,rel,高,C-trd24-rel-高,211,12.376,-2.438,-1.35,-1.02,-0.644,33.49,0.1438,12.307,-0.069
