ticker,delisted,index_joined,index_left,cik,cik_source,cells,median_mcap_usd_m,median_shares_m,median_rev_ttm_usd_m,cik_note
ITT,True,1996-01-02,2011-11-01,0000216228,submissions_window_overlap,27,3086.7,185.3,10983.5,候選 CIK 0000216228(ITT INC.);申報期 1994-03-23~2026-08-10;成分期 1996-01-02~2011-11-01;曾用名:ITT CORP; ITT Corp; ITT INDUSTRIES I
BKNG,False,2009-11-06,,0001075531,anchors,193,3259.47,49.954,10743.01,今日對照
R,True,1996-01-02,2017-06-19,0000085961,anchors,71,3517.84,52.974,6467.01,今日對照·已核實
LRCX,False,2012-06-05,,0000707549,anchors,171,3562.86,171.363,9653.56,今日對照
PARA,True,2022-02-17,2025-08-08,0001826011,anchors,16,3750.24,17.356,4.56,今日對照·已核實
ATI,True,1996-01-02,2015-07-02,0001018963,anchors,59,3755.16,108.0,4375.8,人手辨明
DXC,True,1996-01-02,2023-10-02,0000023082,anchors,71,3808.71,148.251,14993.0,人手辨明
FAST,False,2008-09-15,,0000815556,anchors,194,3976.47,297.652,4390.5,今日對照
ANF,True,2007-03-29,2013-12-23,0001018840,submissions_window_overlap,39,4121.14,89.386,4242.6,候選 CIK 0001018840(ABERCROMBIE & FITCH CO /DE/);申報期 1996-07-17~2026-08-28;成分期 2007-03-29~2013-12-23;曾用名:ABERCROMBIE & FIT
PBI,True,1996-01-02,2017-03-01,0000078814,anchors,79,4144.97,202.766,4551.26,今日對照·已核實
COO,False,2016-09-23,,0000711404,anchors,120,4214.31,49.75,2845.0,今日對照
OI,True,1997-08-04,2016-12-02,0000812074,anchors,88,4243.43,165.798,6948.0,同一實體改名·非回收
XRX,True,1996-01-02,2021-03-22,0001770450,anchors,16,4428.55,212.949,7948.0,今日對照·已核實
NAVI,True,2014-05-01,2018-06-05,0001593538,anchors,49,4716.64,343.0,,今日對照·已核實
JBL,False,2001-01-30,,0000898293,anchors,79,4757.17,205.251,18336.89,今日對照
URBN,True,2010-02-08,2017-03-20,0000912615,anchors,78,4858.13,146.285,3037.58,今日對照·已核實
GNW,True,2005-12-02,2015-11-18,0001276520,anchors,76,5018.12,494.2,9756.0,今日對照·已核實
NDAQ,False,2008-10-22,,0001120193,anchors,181,5148.64,171.283,4199.0,今日對照
THC,True,1996-01-02,2016-04-18,0000070318,anchors,68,5154.94,104.103,,今日對照·已核實
BHF,True,2017-08-07,2019-04-02,0001685040,anchors,17,5201.75,119.773,7369.0,今日對照·已核實
RIG,True,1999-12-31,2017-07-26,0001451505,anchors,45,5310.54,363.0,8434.0,今日對照·已核實
HRB,True,1996-01-02,2020-09-21,0000012659,anchors,126,5330.15,272.311,3076.58,今日對照·已核實
FOSL,True,2012-04-04,2016-01-05,0000883569,anchors,45,5456.91,56.704,3259.97,今日對照·已核實
VNT,True,2020-10-12,2021-03-22,0001786842,anchors,5,5461.21,168.4,2704.6,今日對照·已核實
AN,True,1996-01-02,2017-08-08,0000350698,anchors,84,5491.35,123.0,17784.7,今日對照·已核實
LEG,True,1999-10-18,2021-12-20,0000058492,anchors,136,5565.61,141.4,4256.7,今日對照·已核實
CTAS,False,2001-03-01,,0000723254,anchors,179,5674.99,109.818,6674.93,今日對照
AIZ,False,2007-04-10,,0001267238,anchors,205,5783.97,62.723,9874.41,今日對照
ZION,True,2001-06-25,2024-03-18,0000109380,anchors,163,5826.02,183.383,608.0,今日對照·已核實
FLS,True,2008-10-02,2021-03-22,0000030625,anchors,116,5871.19,131.275,4357.66,今日對照·已核實
PWR,False,2009-07-01,,0001050915,anchors,205,6011.7,155.168,16580.82,今日對照
SIG,True,2015-07-29,2018-03-19,0000832988,anchors,32,6301.06,76.95,6408.4,今日對照·已核實
GT,True,1996-01-02,2019-02-27,0000042582,anchors,103,6330.9,266.0,18832.0,今日對照·已核實
HP,True,1996-01-02,2020-05-22,0000046765,anchors,122,6510.17,108.57,2596.7,今日對照·已核實
EQT,False,2008-12-19,,0000033213,anchors,159,6521.95,152.939,7857.56,今日對照·已核實
RHI,True,2000-12-05,2024-06-24,0000315213,anchors,166,6636.96,126.418,6018.7,今日對照·已核實
APH,False,2008-09-30,,0000820313,anchors,205,6755.9,315.4,6718.5,今日對照
CNX,True,2006-06-28,2016-03-04,0001070412,anchors,79,6786.18,229.164,5055.37,同一實體改名·非回收
JEF,True,2007-08-27,2019-09-26,0000096223,anchors,109,7017.43,367.687,10528.07,同一實體改名·非回收
CLF,True,2009-12-21,2014-04-02,0000764065,submissions_window_overlap,52,7029.29,142.351,5711.5,候選 CIK 0000764065(CLEVELAND-CLIFFS INC.);申報期 1994-02-08~2026-08-07;成分期 2009-12-21~2014-04-02;曾用名:CLIFFS NATURAL RESOURCE
TDC,True,2007-10-01,2017-06-19,0000816761,anchors,82,7058.38,166.4,2572.0,同一實體改名·非回收
CPRI,True,2016-01-04,2020-05-12,0001530721,anchors,52,7242.39,154.253,4672.28,今日對照·已核實
OGN,True,2021-06-04,2023-10-18,0001821825,anchors,28,7391.97,255.06,6292.0,今日對照·已核實
ALK,True,2016-05-13,2023-12-18,0000766421,anchors,91,7466.02,124.299,6254.5,今日對照·已核實
TRIP,True,2011-12-21,2019-12-23,0001526520,anchors,93,7787.78,144.717,1410.0,今日對照·已核實
RRC,True,2007-12-21,2018-06-18,0000315852,anchors,107,7819.95,161.407,1495.0,今日對照·已核實
BWA,True,2011-12-19,2025-03-24,0000908255,anchors,159,7877.9,215.328,9881.0,今日對照·已核實
FTI,True,2009-06-05,2021-02-12,0001681459,anchors,49,7885.67,453.3,13005.3,今日對照·已核實
ETR,False,1996-01-02,,0000065984,anchors,204,7897.61,191.284,10786.84,今日對照
XRAY,True,2008-11-14,2024-04-02,0000818479,anchors,177,7903.88,212.0,2953.01,今日對照·已核實
UNM,True,1996-01-02,2021-09-20,0000005513,anchors,133,7937.05,246.324,10731.3,今日對照·已核實
UA,True,2016-04-08,2022-06-21,0001336917,submissions_window_overlap,74,8245.66,451.05,4877.08,"候選 CIK 0001336917(Under Armour, Inc.);申報期 2005-08-26~2026-08-31;成分期 2016-04-08~2022-06-21"
CF,False,2000-06-19,,0001324404,anchors,205,8280.07,192.9,4853.0,今日對照
MKC,False,2003-03-21,,0000063754,anchors,191,8298.28,134.3,5327.9,今日對照
PVH,True,2013-02-14,2022-09-19,0000078239,anchors,115,8412.38,78.5,8224.62,今日對照·已核實
PHM,False,1996-01-02,,0000822416,anchors,193,8420.9,284.672,8573.25,今日對照
PNR,False,2012-10-01,,0000077360,anchors,167,8435.61,168.6,4855.65,今日對照
FLR,True,2000-12-22,2019-06-03,0001124198,anchors,121,8481.68,162.36,20970.83,今日對照·已核實
PNW,False,1999-10-04,,0000764622,anchors,193,8504.57,112.493,3516.41,今日對照
FMC,True,1996-01-02,2025-03-24,0000037785,anchors,163,8530.57,132.269,4060.5,今日對照·已核實
IPGP,True,2018-03-07,2022-06-21,0001111928,anchors,51,8582.6,53.874,1351.61,今日對照·已核實
NI,False,2000-11-02,,0001111711,anchors,193,8734.75,355.161,5006.1,今日對照
NWL,True,1996-01-02,2023-09-18,0000814453,anchors,157,8755.89,414.6,7838.35,今日對照·已核實
COTY,True,2016-10-03,2020-09-21,0001024305,anchors,47,8757.71,751.1,8393.8,今日對照·已核實
NRG,False,2010-01-29,,0001013871,anchors,200,8766.6,249.0,12351.0,今日對照
AYI,True,2016-05-03,2018-06-18,0001144215,anchors,25,8774.75,43.8,3432.9,同一實體改名·非回收
CPRT,False,2018-07-02,,0000900075,anchors,98,8790.78,243.893,3584.16,今日對照
FSLR,False,2009-10-16,,0001274494,anchors,134,8852.13,101.728,3308.99,今日對照·已核實
PENN,True,2021-03-22,2022-09-19,0000921738,anchors,18,8983.21,172.8,5359.9,今日對照·已核實
HII,False,2018-01-03,,0001501585,anchors,104,9075.38,40.15,9822.0,今日對照
UAA,True,2014-05-01,2022-06-21,0001336917,anchors,97,9092.6,443.26,4646.45,今日對照·已核實
NCLH,False,2017-10-13,,0001513761,anchors,107,9106.22,370.016,6165.35,今日對照
FFIV,False,2010-12-20,,0001048695,anchors,189,9128.98,62.158,2112.33,今日對照
HSIC,False,2015-03-18,,0001000228,anchors,138,9141.87,132.457,12236.22,今日對照
MAT,True,1996-01-02,2019-06-07,0000063276,anchors,119,9232.09,344.996,5926.29,今日對照·已核實
ALLE,False,2013-12-02,,0001579241,anchors,149,9302.01,93.3,2408.2,今日對照
MUR,True,2005-08-15,2017-07-26,0000717423,anchors,95,9319.96,191.765,20747.0,同一實體改名·非回收
AMG,True,2014-07-01,2019-12-23,0001004434,anchors,65,9344.58,57.0,2309.0,今日對照·已核實
SNA,False,1996-01-02,,0000091440,anchors,194,9373.94,57.3,3998.5,今日對照
AVY,False,1996-01-02,,0000008818,anchors,193,9383.15,89.0,6753.5,今日對照
TECH,False,2021-08-30,,0000842023,anchors,61,9417.5,158.944,1145.0,今日對照
BBWI,True,2021-08-03,2024-10-01,0000701985,anchors,38,9504.65,230.0,7630.0,今日對照·已核實
ANET,False,2018-08-28,,0001596532,anchors,97,9538.14,316.459,3930.22,今日對照
CZR,True,2021-03-22,2025-09-22,0001590895,anchors,54,9567.72,215.0,11245.0,今日對照·已核實
HOG,True,2000-01-31,2020-06-22,0000793952,anchors,112,9648.95,203.686,5722.03,今日對照·已核實
WU,True,2006-10-02,2021-12-20,0001365135,anchors,151,9651.38,519.8,5463.7,今日對照·已核實
QRVO,True,2015-06-12,2024-12-23,0001604778,anchors,114,9748.68,118.455,3173.25,今日對照·已核實
GNRC,False,2021-03-22,,0001474735,anchors,66,9757.17,62.091,4124.7,今日對照
AOS,False,2017-07-26,,0000091142,anchors,110,9836.22,160.628,3557.7,今日對照
TPL,False,2024-11-26,,0001811074,anchors,22,9920.03,23.014,742.87,今日對照
HAS,False,1996-01-02,,0000046080,anchors,182,9966.8,132.3,4759.6,今日對照
MCHP,False,2007-09-07,,0000827054,anchors,205,9999.75,244.6,3721.31,今日對照
AES,False,1998-10-02,,0000874761,anchors,193,10060.26,711.0,12514.0,今日對照
MHK,True,2013-12-23,2025-12-22,0000851968,anchors,144,10113.55,72.301,9953.07,今日對照·已核實
ARES,False,2025-12-11,,0001176948,anchors,9,10333.82,80.676,4755.62,今日對照
WHR,True,1996-01-02,2024-03-18,0000106640,anchors,164,10371.87,75.1,20387.0,今日對照·已核實
RL,False,2007-02-02,,0001037038,anchors,193,10371.9,82.3,6652.8,今日對照
APA,False,1997-07-28,,0001841666,anchors,64,10394.8,354.0,,今日對照
LW,True,2018-12-03,2026-03-23,0001679273,anchors,87,10397.43,145.9,4240.3,今日對照·已核實
GL,False,2019-08-08,,0000320335,anchors,85,10473.58,98.148,5214.91,今日對照
CRL,False,2021-05-14,,0001100682,anchors,64,10742.87,51.334,4023.7,今日對照
LKQ,True,2016-05-23,2025-12-22,0001065696,anchors,115,10755.22,304.19,12506.11,同一實體改名·非回收
PRGO,True,2011-12-19,2021-09-20,0001585364,anchors,91,10912.3,137.5,4731.7,今日對照·已核實
CHRW,False,2007-03-02,,0001043277,anchors,205,11064.99,141.022,14324.57,今日對照
