top_n,interval,smooth,total_return
1,1,1,1.5586210288939317
2,1,1,3.0805937597216544
3,1,1,5.185468408561589
4,1,1,6.585779416928704
5,1,1,8.491175875692237
6,1,1,7.356177945919915
7,1,1,6.543721649863377
8,1,1,6.222585837646801
9,1,1,6.14122336515196
10,1,1,5.564863303630591
11,1,1,5.850781998874963
12,1,1,5.287342411142106
13,1,1,5.217605029450052
14,1,1,5.614879407487248
15,1,1,5.314987623815042
16,1,1,5.6822744154422615
17,1,1,5.690305937258885
18,1,1,6.130571035618635
19,1,1,6.372255858822545
20,1,1,6.347306900577801
21,1,1,5.835129876989326
22,1,1,5.572665915010156
23,1,1,5.58493234797453
24,1,1,5.8496838288498685
25,1,1,5.778005684027042
26,1,1,5.852518730058401
27,1,1,5.76456443481525
28,1,1,5.880772789502728
29,1,1,5.982626066280062
30,1,1,5.944418653188808
31,1,1,5.932861351335224
32,1,1,5.587260795970065
33,1,1,5.433565600425649
34,1,1,5.555150225768017
35,1,1,5.726131924788158
36,1,1,5.445373284776652
37,1,1,5.453265158299721
38,1,1,5.526158124989859
39,1,1,5.464353161477637
40,1,1,5.408348866247779
1,2,1,2.257593693398204
2,2,1,0.99810176847954
3,2,1,1.573936756455233
4,2,1,2.320526920568663
5,2,1,4.476643717803245
6,2,1,4.660035155980375
7,2,1,4.634312616427666
8,2,1,4.917717435526147
9,2,1,5.061066539458934
10,2,1,5.060480855267358
