項目,vectorbt_1.1.0,pybroker_2.0.0,倍數(pb/vbt),量度方式
讀資料並轉成引擎要的形狀(秒),0.32,0.08,0.25,長格式 parquet 讀入;vectorbt 另需 pivot 成寬表
單次回測(秒;熱身後),0.332,13.49,40.6,vbt=3 次中位數;pb=20 次中位數
單次回測(秒;首次含編譯),10.02,15.08,1.5,vbt 首次需編譯 numba 核心,之後磁碟快取降至 0.83
1000 組參數掃描(秒),677.2,13572.6,20.0,vbt=實跑全部 1000 組(batch=25);pb=20 組實測平均 13.57 秒外推
1000 組參數掃描(可讀時間),11 分 17 秒,3 小時 46 分(外推),20.0,同上
每組參數平均(秒),0.677,13.57,20.0,同上
