month_end,n_pool,n_long,n_short,long_ret,short_ret,pool_ret,ls_ret,long_only_ret,spy,xlk
2010-01-31,239,237,1,0.03307729842441067,0.06539602361456676,0.032035743414405016,-0.032318725190156085,0.03157729842441067,0.031194715875296986,0.03482835158431219
2010-02-28,240,237,1,0.06401766116837276,0.14847070015532005,0.06422389375582047,-0.08445936810087133,0.06401133205444871,0.06087956088514601,0.06839798735389979
2010-03-31,240,236,1,0.03226662430259633,0.11102076974103658,0.03215724083140937,-0.0787604745523643,0.03226029518867228,0.015469894791140693,0.012553951465660296
2010-04-30,243,239,1,-0.07783234614739304,-0.016124199519139015,-0.07722795316489658,-0.06172697508013687,-0.07785117459927589,-0.07945429638850032,-0.07481800131694494
2010-05-31,245,239,2,-0.0572034678348823,-0.005538004599005331,-0.05623543131743842,-0.0509280155371322,-0.05721602013613753,-0.051740906547077636,-0.053966366601922
2010-06-30,247,241,2,0.06916401024327269,0.04015148275438418,0.06884524162202521,0.029000079356108432,0.06915156211049261,0.06830069382394788,0.07451011966790788
2010-07-31,258,248,5,-0.0478356369743595,-0.03302240158479626,-0.04745868739781241,-0.013979767647627754,-0.04790216923242401,-0.04498076957535935,-0.056113526663917
2010-08-31,282,252,19,0.10274774008611064,0.07886642924186889,0.10120588999641085,0.024843716859279344,0.1026048829432535,0.08955496165108179,0.11663625212470552
2010-09-30,290,258,21,0.03473307233262956,0.024236590823760437,0.03318225336420935,0.01059282702381929,0.034686560704722584,0.038202056282484964,0.057776265348612466
2010-10-31,295,260,25,0.009269471606099837,-0.008658140911534612,0.00644863925866618,0.018132997133019066,0.009234856221484452,0.0,-0.016427207736740224
2010-11-30,299,252,36,0.07273978924249837,0.08277597807907387,0.076533249350489,-0.009647086272472932,0.0726705584732676,0.06685209307737816,0.05555604505337963
2010-12-31,300,252,37,0.0231522439794731,0.033962602768137375,0.024308702638004616,-0.010775770629076115,0.02314629159852072,0.02330010514053238,0.03175904722951062
