tier,entities,shares_outstanding,cash_and_equivalents,short_term_investments,lt_debt,st_debt,total_debt,liabilities,assets,equity,revenue,operating_cash_flow,net_income,core_four
5-50 億,1379,0.9884,0.9681,0.2524,0.4851,0.3546,0.4851,0.8796,0.9949,0.9739,0.802,0.9833,0.9949,0.4242
<5 億,1809,0.9807,0.9397,0.1852,0.3035,0.267,0.3035,0.9215,0.9923,0.9773,0.7667,0.9757,0.99,0.2598
>50 億,1177,0.9907,0.9796,0.2727,0.5149,0.4579,0.5149,0.7867,0.9873,0.9771,0.915,0.9805,0.9898,0.4851
無市值,892,0.0437,0.9439,0.278,0.37,0.3845,0.37,0.8789,0.9563,0.9473,0.8845,0.9518,0.9574,0.009
