ticker,n,first,last,median_pct,mean_abs_pct,p95_abs_pct,max_abs_pct,exact_match,last_close_snap,last_close_exp
AAPL,2931,2015-01-02,2026-08-28,-0.0,0.0,0.0,0.0219,96,319.63,319.7
MSFT,2931,2015-01-02,2026-08-28,-0.0,0.0002,0.0,0.4893,144,516.055,513.53
JNJ,2930,2015-01-02,2026-08-27,-0.0,0.0,0.0001,0.0001,81,265.77,265.77
KO,2930,2015-01-02,2026-08-27,-0.0,0.0,0.0,0.0001,176,89.06,89.06
XOM,2930,2015-01-02,2026-08-27,0.0,0.0,0.0,0.0001,111,156.44,156.44
