ticker,name,asof,price,price_date,is_closing_price,market_state,stale,stale_lag_days,latest_filing,latest_report,expired,ocf_ttm,mdd_1y,old_debt,old_finance_lease,old_cash,old_investments,old_lease_debt,old_net_debt,old_shares,old_net_debt_to_ocf,old_debt_gate,old_wacc,old_wacc_raw,old_wacc_net_cash,old_weight_debt,old_de_ratio,old_de_capped,old_equity_premium_levered,old_cost_of_equity,old_wacc_floor,old_wacc_floor_binding,old_n1_implied_g5,old_n2_per_share,old_n2_upside,old_n2_terminal_share,old_n3_ret_1y,old_stress_drop,old_odds,old_pass_bottom_line,new_debt,new_finance_lease,new_cash,new_investments,new_lease_debt,new_net_debt,new_shares,new_net_debt_to_ocf,new_debt_gate,new_wacc,new_wacc_raw,new_wacc_net_cash,new_weight_debt,new_de_ratio,new_de_capped,new_equity_premium_levered,new_cost_of_equity,new_wacc_floor,new_wacc_floor_binding,new_n1_implied_g5,new_n2_per_share,new_n2_upside,new_n2_terminal_share,new_n3_ret_1y,new_stress_drop,new_odds,new_pass_bottom_line
SAIA,"Saia, Inc.",2026-06-30,354.8399963378906,2026-09-08,True,pre,False,0.0,2026-07-30,2026-06-30,False,606389000.0,-0.3192511697966071,100248000.0,124000.0,84014000.0,0.0,169067000.0,185301000.0,26833000.0,0.3055810708967346,True,0.1,0.0975843362132885,False,0.010418981729901368,0.010528679852929016,False,0.05,0.09806000232696534,0.09090620179176331,False,0.4312629699707031,123.99312272434933,-0.6505661030210391,0.5147403721788272,0.041995603468055975,-0.3192511697966071,-2.03778768746724,False,100248000.0,124000.0,84014000.0,0.0,169067000.0,185301000.0,26833000.0,0.3055810708967346,True,0.1,0.09798546700988972,False,0.010418981729901368,0.010528679852929016,False,0.05040535417433777,0.09846535650130311,0.09090620179176331,False,0.4312629699707031,123.99312272434933,-0.6505661030210391,0.5147403721788272,0.041995603468055975,-0.3192511697966071,-2.03778768746724,False
QCOM,QUALCOMM INC/DE,2026-06-28,174.08999633789062,2026-09-08,True,pre,False,0.0,2026-07-29,2026-06-28,False,12401000000.0,-0.4119592140149379,15270000000.0,0.0,4533000000.0,3771000000.0,0.0,6966000000.0,1069000000.0,0.5617288928312233,True,0.095,0.09459808696274888,False,0.07582972991585006,0.08205168719498564,False,0.05,0.09806000232696534,0.09090620179176331,False,0.22661209106445312,83.12158209320428,-0.522536711805807,0.4649462524164396,-0.04900805176156975,-0.4119592140149379,-1.2684185570537074,False,15270000000.0,0.0,4533000000.0,3771000000.0,0.0,6966000000.0,1069000000.0,0.5617288928312233,True,0.1,0.0975175315645091,False,0.07582972991585006,0.08205168719498564,False,0.05315898995700694,0.10121899228397227,0.09090620179176331,False,0.2503776550292969,77.55528018379343,-0.5545104152149749,0.4420752713103108,-0.04900805176156975,-0.4119592140149379,-1.3460323166721742,False
HLIT,HARMONIC INC.,2026-07-03,11.960000038146973,2026-09-08,True,pre,False,0.0,2026-08-17,2026-07-03,False,9798000.0,-0.380479251704017,110611000.0,0.0,231862000.0,0.0,19512000.0,-101739000.0,109682000.0,-10.383649724433559,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.5872611999511719,2.4658399491497667,-0.7938260918658147,0.29717804796423053,-0.0003342895601401441,-0.380479251704017,-2.0863847064211245,False,110611000.0,0.0,231862000.0,0.0,19512000.0,-101739000.0,109682000.0,-10.383649724433559,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.5872611999511719,2.4658399491497667,-0.7938260918658147,0.29717804796423053,-0.0003342895601401441,-0.380479251704017,-2.0863847064211245,False
KRMN,KARMAN HOLDINGS INC.,2026-06-30,39.689998626708984,2026-09-08,True,pre,False,0.0,2026-08-11,2026-06-30,False,5861000.0,-0.6532223156843449,864686000.0,102139000.0,51741000.0,0.0,16189000.0,829134000.0,132531000.0,141.46630267872376,False,0.09,0.09161474100034629,False,0.1411768845323039,0.1643841228649535,False,0.05,0.09806000232696534,0.09090620179176331,False,0.3442649841308594,71.31554196613007,0.7968139187119798,0.9672440469130772,1.3945060271097356,-0.6532223156843449,1.2198204188373478,True,864686000.0,102139000.0,51741000.0,0.0,16189000.0,829134000.0,132531000.0,141.46630267872376,False,0.095,0.09705005105483998,False,0.1411768845323039,0.1643841228649535,False,0.056328788730300706,0.10438879105726603,0.09090620179176331,False,0.3779106140136719,62.694725705471186,0.5796101757303009,0.9652474138427235,1.3945060271097356,-0.6532223156843449,0.8873092082334564,True
PUMP,ProPetro Holding Corp.,2026-06-30,12.029999732971191,2026-09-08,True,pre,False,0.0,2026-07-30,2026-06-30,False,191483000.0,-0.4390110104315198,800296000.0,3053000.0,783958000.0,0.0,57595000.0,73933000.0,122714000.0,0.3861073829008319,True,0.08,0.08201088063668936,False,0.3515396637767555,0.5421143655820013,False,0.05,0.09806000232696534,0.09090620179176331,False,,-1.0751220586603898,-1.0893700816728824,0.31780786368954744,-0.10760327862806962,-0.4390110104315198,-2.481418588117189,False,800296000.0,3053000.0,783958000.0,0.0,57595000.0,73933000.0,122714000.0,0.3861073829008319,True,0.095,0.09554515769209444,False,0.3515396637767555,0.5421143655820013,False,0.07087140307490705,0.11893140540187239,0.09090620179176331,False,,-1.0108968728732295,-1.0840313296186215,0.2517414087458648,-0.10760327862806962,-0.4390110104315198,-2.4692577267096056,False
SANM,Sanmina Corporation,2026-06-27,205.41000366210938,2026-09-08,True,pre,False,0.0,2026-07-27,2026-06-27,False,901056000.0,-0.4204513108515183,2172310000.0,0.0,1844942000.0,0.0,260593000.0,587961000.0,55133000.0,0.652524371404219,True,0.09,0.09071222972479659,False,0.16094547476946938,0.19181765895994607,False,0.05,0.09806000232696534,0.09090620179176331,False,,-198.33468239203643,-1.9655551280661503,-7.928966953046898,0.09973534845677468,-0.4204513108515183,-4.674869782390291,False,2172310000.0,0.0,1844942000.0,0.0,260593000.0,587961000.0,55133000.0,0.652524371404219,True,0.095,0.09690863050342116,False,0.16094547476946938,0.19181765895994607,False,0.05738497986995792,0.10544498219692325,0.09090620179176331,False,,-316.58493336487396,-2.5412342520846383,-4.314620289947418,0.09973534845677468,-0.4204513108515183,-6.044063097194317,False
CRDO,Credo Technology Group Holding Ltd,2026-08-01,167.75,2026-09-08,True,pre,False,0.0,2026-09-02,2026-08-01,False,500355000.0,-0.5358634366221902,0.0,0.0,466869000.0,297389000.0,26205000.0,-738053000.0,194378000.0,-1.475058708317095,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.16583633422851562,2312.297670214405,12.78418879412462,0.92455754272814,0.7049265597652408,-0.5358634366221902,23.857176885793194,True,0.0,0.0,466869000.0,297389000.0,26205000.0,-738053000.0,194378000.0,-1.475058708317095,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.16583633422851562,2312.297670214405,12.78418879412462,0.92455754272814,0.7049265597652408,-0.5358634366221902,23.857176885793194,True
CLVT,CLARIVATE PLC,2026-03-31,1.899999976158142,2026-09-08,True,pre,True,91.0,2026-07-29,2026-06-30,False,592000000.0,-0.6250000133046081,4354400000.0,27600000.0,242200000.0,0.0,51300000.0,4163500000.0,640700000.0,7.0329391891891895,False,0.06,0.06238079504385925,False,0.7815166944446413,3.577008744252191,False,0.05,0.09806000232696534,0.09090620179176331,False,0.4496345520019531,-3.992150974974877,-3.101132118457774,0.6252414935821717,0.2881315758425089,-0.6250000133046081,-4.961811283908511,True,4354400000.0,27600000.0,242200000.0,0.0,51300000.0,4163500000.0,640700000.0,7.0329391891891895,False,0.09,0.09090620179176331,False,0.7815166944446413,3.577008744252191,True,0.1655,0.21356000232696534,0.09090620179176331,True,,-5.036661803049835,-3.650874666448217,0.43667224262812476,0.2881315758425089,-0.6250000133046081,-5.841399341969101,True
MTSI,"MACOM Technology Solutions Holdings, Inc.",2026-07-03,274.79998779296875,2026-09-08,True,pre,False,0.0,2026-08-06,2026-07-03,False,271186000.0,-0.4417349863241498,371132000.0,30667000.0,89604000.0,994301000.0,6361000.0,-706412000.0,78409000.0,-2.604898482960035,True,0.095,0.09728695529420398,False,0.016932807864819547,0.017224466445718938,False,0.05,0.09806000232696534,0.09090620179176331,False,0.6376228332519531,95.94911079118378,-0.6508401926732589,0.79301392338106,-0.03398501041957158,-0.4417349863241498,-1.473372526113803,False,371132000.0,30667000.0,89604000.0,994301000.0,6361000.0,-706412000.0,78409000.0,-2.604898482960035,True,0.1,0.09793886839699953,False,0.016932807864819547,0.017224466445718938,False,0.05066314195816018,0.09872314428512552,0.09090620179176331,False,0.6746864318847656,87.91197438488796,-0.6800874152471947,0.7792178774626061,-0.03398501041957158,-0.4417349863241498,-1.5395824109529315,False
TDC,TERADATA CORPORATION,2026-06-30,27.760000228881836,2026-09-08,True,pre,False,0.0,2026-08-05,2026-06-30,False,761000000.0,-0.3516367800048641,91000000.0,91000000.0,414000000.0,0.0,8000000.0,-315000000.0,96200000.0,-0.41392904073587383,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.4774589538574219,14.140909674485226,-0.49060124070990263,0.4411389870642176,-0.00853945023110847,-0.3516367800048641,-1.3951931896973813,False,91000000.0,91000000.0,414000000.0,0.0,8000000.0,-315000000.0,96200000.0,-0.41392904073587383,True,0.1,0.09806000232696534,True,0.0,0.0,False,0.05,0.09806000232696534,0.09090620179176331,False,0.4774589538574219,14.140909674485226,-0.49060124070990263,0.4411389870642176,-0.00853945023110847,-0.3516367800048641,-1.3951931896973813,False
