ticker,name,asof,price,price_date,is_closing_price,market_state,stale,stale_lag_days,latest_filing,latest_report,expired,debt_src,finance_lease_src,cash_src,invest_src,shares_src,ocf_ttm,mdd_1y,old_debt,old_finance_lease,old_cash,old_investments,old_lease_debt,old_net_debt,old_shares,old_net_debt_to_ocf,old_debt_gate,old_wacc,old_wacc_raw,old_wacc_net_cash,old_weight_debt,old_n1_implied_g5,old_n2_per_share,old_n2_upside,old_n2_terminal_share,old_n3_ret_1y,old_stress_drop,old_odds,old_pass_bottom_line,new_debt,new_finance_lease,new_cash,new_investments,new_lease_debt,new_net_debt,new_shares,new_net_debt_to_ocf,new_debt_gate,new_wacc,new_wacc_raw,new_wacc_net_cash,new_weight_debt,new_n1_implied_g5,new_n2_per_share,new_n2_upside,new_n2_terminal_share,new_n3_ret_1y,new_stress_drop,new_odds,new_pass_bottom_line,old_error
CDNS,"CADENCE DESIGN SYSTEMS, INC.",2026-03-31,284.1099853515625,2026-09-08,True,closed,True,91.0,2026-07-29,2026-06-30,False,LinesOfCreditCurrent@2026-03-31 425M,,CashAndCashEquivalentsAtCarryingValue@2026-03-31 1407M,AvailableForSaleSecuritiesDebtSecurities@2026-03-31 80M(合計標籤),XBRL 未拆季 2026-01-01→2026-03-31,1597542000.0,-0.3130478674268198,0.0,0.0,1406668000.0,221730000.0,227073000.0,-1401325000.0,273725000.0,-0.8771756861478446,True,0.1,0.09806000232696534,True,0.0,0.4787406921386719,92.77464904590963,-0.673455162334021,0.5715064498766292,0.18663278690635354,-0.3130478674268198,-2.151284938848697,True,425000000.0,0.0,1406668000.0,79640000.0,227073000.0,-834235000.0,273725000.0,-0.522199103372556,True,0.1,0.09806000232696534,True,0.0,0.4810905456542969,90.70289820108361,-0.6807472356564789,0.5715064498766292,0.18663278690635354,-0.3130478674268198,-2.1745787353610226,True,
TTMI,"TTM TECHNOLOGIES, INC.",2026-06-29,129.35000610351562,2026-09-08,True,closed,False,0.0,2026-08-05,2026-06-29,False,LongTermDebtCurrent@2026-06-29 4M; LongTermDebt@2026-06-29 973M,FinanceLeaseLiabilityNoncurrent@2026-06-29 15M,CashAndCashEquivalentsAtCarryingValue@2026-06-29 508M,(無),XBRL 未拆季 2026-03-31→2026-06-29,322905000.0,-0.5404795408762887,973456000.0,0.0,507905000.0,0.0,114528000.0,580079000.0,107583000.0,1.7964385810067978,True,0.095,0.09507518012561002,False,0.0653794901270888,0.4779930114746094,68.38210785721319,-0.4713405130998706,1.030014774567559,-0.11236247102446506,-0.5404795408762887,-0.8720783627363178,False,992669000.0,15213000.0,507905000.0,0.0,114528000.0,599292000.0,107583000.0,1.855939053281925,True,0.095,0.09502019153573084,False,0.06658395917970959,0.4784202575683594,68.20352016213124,-0.4727211678092258,1.030014774567559,-0.11236247102446506,-0.5404795408762887,-0.8746328622223052,False,
CENX,Century Aluminum Company,2026-06-30,47.95000076293945,2026-09-08,True,closed,False,0.0,2026-08-06,2026-06-30,False,DebtLongtermAndShorttermCombinedAmount@2026-06-30 480M,,CashAndCashEquivalentsAtCarryingValue@2026-06-30 343M,(無),XBRL 未拆季 2026-04-01→2026-06-30,340800000.0,-0.3965391591423881,0.0,0.0,343400000.0,0.0,24600000.0,-187400000.0,104800000.0,-0.5498826291079812,True,0.1,0.09806000232696534,True,0.0,-0.052806854248046875,83.17551780449209,0.7346301664457622,0.5371696318259013,-0.0061315345556002265,-0.3965391591423881,1.852604338079946,False,480000000.0,0.0,343400000.0,0.0,24600000.0,292600000.0,104800000.0,0.8585680751173709,True,0.095,0.09407940522558697,False,0.08719092506458624,-0.046077728271484375,84.84780348203951,0.7695057796040403,0.5593915779237001,-0.0061315345556002265,-0.3965391591423881,1.9405543232307316,False,
CLS,CELESTICA INC,2026-06-30,329.9700012207031,2026-09-08,True,closed,False,0.0,2026-07-27,2026-06-30,False,LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities@2026-06-30 810M,FinanceLeaseLiabilityCurrent@2026-06-30 10M+FinanceLeaseLiabilityNoncurrent@2026-06-30 66M,CashAndCashEquivalentsAtCarryingValue@2026-06-30 536M,(無),XBRL 未拆季 2026-04-01→2026-06-30,1144000000.0,-0.4120025558795015,0.0,0.0,535700000.0,0.0,170800000.0,-364900000.0,116200000.0,-0.3189685314685315,True,0.1,0.09806000232696534,True,0.0,0.3166542053222656,522.6517354810413,0.5839371262463993,1.5373985408583342,0.20408964563560406,-0.4120025558795015,1.4173143295188282,True,885900000.0,75500000.0,535700000.0,0.0,170800000.0,521000000.0,116200000.0,0.4554195804195804,True,0.095,0.097028997052373,False,0.022583120408504954,0.2764930725097656,604.8466011196795,0.8330351210173281,1.4698659889724726,0.20408964563560406,-0.4120025558795015,2.0219173622334665,True,
VIAV,Viavi Solutions Inc.,2026-06-27,38.75,2026-09-08,True,closed,False,0.0,2026-08-13,2026-06-27,False,DebtCurrent@2026-06-27 245M; ConvertibleDebtNoncurrent@2026-06-27 397M,,CashAndCashEquivalentsAtCarryingValue@2026-06-27 648M,ShortTermInvestments@2026-06-27 2M+LongTermInvestments@2026-06-27 3M,XBRL 未拆季 2025-06-29→2026-06-27,113900000.0,-0.4174950573714454,641900000.0,0.0,647800000.0,5000000.0,43000000.0,32100000.0,3300000.0,0.28182616330114135,True,0.1,0.09806000232696534,True,0.0,-0.3832283020019531,680.331859736202,16.556951218998762,2.0913572641914953,-0.3465720746351645,-0.44850365640613343,36.91597823676592,False,641900000.0,0.0,647800000.0,5000000.0,43000000.0,32100000.0,229500000.0,0.28182616330114135,True,0.1,0.09806000232696534,True,0.0,0.9574165344238281,9.782549617121859,-0.7475471066549197,2.0913572641914953,-0.06928178553297593,-0.4485036564061332,-1.6667581099450255,False,
ALB,ALBEMARLE CORPORATION,2026-06-30,129.57000732421875,2026-09-08,True,closed,False,0.0,2026-08-05,2026-06-30,False,LongTermDebt@2026-06-30 1877M,FinanceLeaseLiabilityCurrent@2026-06-30 4M+FinanceLeaseLiabilityNoncurrent@2026-06-30 101M,CashAndCashEquivalentsAtCarryingValue@2026-06-30 1632M,LongTermInvestments@2026-06-30 1109M,XBRL 未拆季 2026-04-01→2026-06-30,1800328000.0,-0.4751878015737457,1876784000.0,0.0,1631688000.0,0.0,122154000.0,625935000.0,136212000.0,0.3476783119520443,True,0.095,0.09367183706928629,False,0.09611829039940452,,5.478116870155813,-0.957720795242003,2.503021291851329,0.23724554930368535,-0.4751878015737457,-2.0154574508650804,True,1981633000.0,104849000.0,1631688000.0,1109241000.0,122154000.0,-378457000.0,136212000.0,-0.21021558293822015,True,0.095,0.09345143343619751,False,0.10094600748987637,,12.851857803406922,-0.9008114758282899,2.503021291851329,0.23724554930368535,-0.4751878015737457,-1.8956957077705845,True,
FLEX,FLEX LTD.,2026-06-26,114.30999755859375,2026-09-08,True,closed,False,0.0,2026-07-31,2026-06-26,False,LongTermDebtNoncurrent@2026-06-26 5219M,,CashAndCashEquivalentsAtCarryingValue@2026-06-26 2840M,(無),XBRL 未拆季 2026-04-01→2026-06-26,1562000000.0,-0.3643487876385644,5219000000.0,0.0,2840000000.0,0.0,860000000.0,3239000000.0,374000000.0,2.0736235595390524,True,0.095,0.09309309549694633,False,0.10879503506371184,,23.382656015330923,-0.7954452233861234,1.0994008038075056,-0.3686434725998522,-0.45645111813952055,-1.742673403076175,False,5219000000.0,0.0,2840000000.0,0.0,860000000.0,3239000000.0,374000000.0,2.0736235595390524,True,0.095,0.09309309549694633,False,0.10879503506371184,,23.382656015330923,-0.7954452233861234,1.0994008038075056,-0.3686434725998522,-0.45645111813952055,-1.742673403076175,False,
COLL,"Collegium Pharmaceutical, Inc.",2026-06-30,23.3700008392334,2026-09-08,True,closed,False,0.0,2026-08-06,2026-06-30,False,LoansPayableCurrent@2026-06-30 55M; LongTermLoansPayable@2026-06-30 798M+ConvertibleLongTermNotesPayable@2026-06-30 239M,,CashAndCashEquivalentsAtCarryingValue@2026-06-30 129M,(無),XBRL 未拆季 2026-04-01→2026-06-30,329922000.0,-0.5315007963486673,0.0,0.0,129467000.0,157341000.0,4968000.0,-281840000.0,32460783.0,-0.8542625226568704,True,0.1,0.09806000232696534,True,0.0,-0.24458694458007812,82.41294311681361,2.526441598515449,0.6134070128586849,0.5299394721538713,-0.5315007963486673,4.753410749093384,True,1091557000.0,0.0,129467000.0,0.0,4968000.0,967058000.0,32460783.0,2.9311716102593945,True,0.07,0.07112526332562275,False,0.589978023419412,-0.07758712768554688,103.21191639179433,3.416427586023997,0.7472578473461929,0.5299394721538713,-0.5315007963486673,6.42788799093878,True,
MRCY,"MERCURY SYSTEMS, INC",2026-07-03,83.45999908447266,2026-09-08,True,closed,False,0.0,2026-08-18,2026-07-03,False,SecuredLongTermDebt@2026-07-03 442M,,CashAndCashEquivalentsAtCarryingValue@2026-07-03 214M,(無),XBRL 未拆季 2025-06-28→2026-07-03,102388000.0,-0.3469614232880121,0.0,0.0,214306000.0,0.0,59415000.0,-154891000.0,74000.0,-1.5127847013321873,True,0.1,0.09806000232696534,True,0.0,0.044979095458984375,-1102.3565809132053,-14.208202648043088,-0.00708214577607909,-0.8627326535237914,-0.3469614232880121,-40.950381496011104,False,441500000.0,0.0,214306000.0,0.0,59415000.0,286609000.0,59460000.0,2.799244052037348,True,0.095,0.09433016604337777,False,0.08169826476355714,,-8.875357525587205,-1.1063426506463792,-0.007788404952619482,0.04281502260820935,-0.3469614232880121,-3.1886618407372795,False,
SAIA,"Saia, Inc.",2026-06-30,354.8399963378906,2026-09-08,True,closed,False,0.0,2026-07-30,2026-06-30,False,LongTermDebtAndCapitalLeaseObligationsCurrent@2026-06-30 0M; LongTermDebtAndCapitalLeaseObligations@2026-06-30 100M,FinanceLeaseLiability@2026-06-30 0M,CashAndCashEquivalentsAtCarryingValue@2026-06-30 84M,(無),XBRL 未拆季 2026-04-01→2026-06-30,606389000.0,-0.3192511697966071,100000000.0,0.0,84014000.0,0.0,169067000.0,185053000.0,26833000.0,0.305172092501678,True,0.1,0.09758550071659967,False,0.010393474470976492,0.4312629699707031,124.00236507518599,-0.6505400564903998,0.5147403721788272,0.041995603468055975,-0.3192511697966071,-2.037706101139284,False,100248000.0,124000.0,84014000.0,0.0,169067000.0,185301000.0,26833000.0,0.3055810708967346,True,0.1,0.0975843362132885,False,0.010418981729901368,0.4312629699707031,123.99312272434933,-0.6505661030210391,0.5147403721788272,0.041995603468055975,-0.3192511697966071,-2.03778768746724,False,
