entity_id,ticker,signal_date,entry_date,entry_price,stop_price,target_price,reward_risk,exit_date,exit_price,exit_reason,exit_reason_name,holding_days,return_pct,r_multiple
8,META,2015-03-19,2015-03-20,82.66408,76.58745,90.49531,1.2887455711471674,2015-05-05,76.58745,stop,止蝕,31,-0.07350992111688648,-1.0
5,NVDA,2015-03-20,2015-03-23,0.5477927,0.5350421,0.6729562,9.81628315530245,2015-03-25,0.5350421,stop,止蝕,2,-0.023276323324498582,-1.0
10,JPM,2015-04-14,2015-04-15,46.81082,44.26546,53.120900000000006,2.4790520790772232,2015-08-24,44.26546,stop,止蝕,91,-0.054375462766941496,-1.0
10,JPM,2015-04-15,2015-04-16,47.5529,44.26546,54.84635,2.2185804151558637,2015-08-24,44.26546,stop,止蝕,90,-0.0691322716385332,-1.0
6,AMZN,2015-04-20,2015-04-21,19.5655,18.7015,20.6615,1.2685185185185175,2015-04-24,21.95,target,目標,3,0.12187268406123009,2.7598379629629597
10,JPM,2015-05-04,2015-05-05,47.87199,45.83868,52.862739999999995,2.454495379455173,2015-08-24,44.28587,stop,止蝕,77,-0.0749106105678915,-1.7636858127880124
10,JPM,2015-05-08,2015-05-11,48.42856,45.83868,53.674150000000004,2.0254181660926394,2015-08-24,44.28587,stop,止蝕,73,-0.08554229157340199,-1.5995683197677086
9,TSLA,2015-05-12,2015-05-13,16.50733,14.68333,20.41467,2.1421820175438606,2015-08-24,13.51933,stop,止蝕,71,-0.18101049654910872,-1.638157894736842
10,JPM,2015-05-14,2015-05-15,49.07417,46.93696,54.33463,2.461367858095361,2015-08-24,44.28587,stop,止蝕,69,-0.09757271493333453,-2.240444317591623
9,TSLA,2015-05-15,2015-05-18,16.46667,14.68333,21.049329999999998,2.5697062814718423,2015-08-24,13.51933,stop,止蝕,68,-0.178988222876878,-1.6527078403445217
10,JPM,2015-05-18,2015-05-19,49.5491,46.93696,55.002489999999995,2.0877096939673923,2015-08-24,44.28587,stop,止蝕,67,-0.10622251463699639,-2.01491114565069
10,JPM,2015-05-19,2015-05-20,49.68268,46.93696,55.70746,2.1942441326865096,2015-08-24,44.28587,stop,止蝕,66,-0.10862558138973166,-1.965535451539122
10,JPM,2015-06-05,2015-06-08,50.06115,48.46567,56.49407,4.0319653019781025,2015-08-21,48.46567,stop,止蝕,53,-0.03187062222901382,-1.0
9,TSLA,2015-06-08,2015-06-09,17.02667,16.33667,21.85067,6.991304347826112,2015-08-06,16.33667,stop,止蝕,41,-0.04052465925515658,-1.0
10,JPM,2015-06-10,2015-06-11,50.72902,48.50278,56.7325,2.6966903837861196,2015-08-21,48.50278,stop,止蝕,50,-0.043884940020524676,-1.0
10,JPM,2015-06-11,2015-06-12,50.69193,48.50278,57.41521,3.0711828791996933,2015-08-21,48.50278,stop,止蝕,49,-0.043185374871305915,-1.0
9,TSLA,2015-06-17,2015-06-18,17.46667,16.37867,21.20134,3.432601102941171,2015-08-06,16.37867,stop,止蝕,34,-0.06229006444846108,-1.0
10,JPM,2015-06-18,2015-06-19,50.80324,49.32649,56.866060000000004,4.10551549009649,2015-07-07,49.32649,stop,止蝕,11,-0.029068027944674446,-1.0
10,JPM,2015-06-22,2015-06-23,51.4637,49.32649,56.82897,2.5104084296816818,2015-07-07,49.32649,stop,止蝕,9,-0.0415284948419955,-1.0
9,TSLA,2015-06-23,2015-06-24,17.79867,16.40067,21.904670000000003,2.9370529327610893,2015-08-06,16.40067,stop,止蝕,30,-0.07854519466903986,-1.0
10,JPM,2015-06-23,2015-06-24,51.58243,49.94241,57.54139000000001,3.6334678845379966,2015-06-29,49.94241,stop,止蝕,3,-0.031794159367831254,-1.0
9,TSLA,2015-06-25,2015-06-26,17.926,16.40067,22.21933,2.814689280352455,2015-08-06,16.40067,stop,止蝕,28,-0.08509037152739019,-1.0
9,TSLA,2015-07-02,2015-07-06,18.592,17.046,22.729999999999997,2.6765847347994822,2015-07-08,17.046,stop,止蝕,2,-0.08315404475043031,-1.0
8,META,2015-07-13,2015-07-14,89.67255,84.48806,101.8159,2.3422458139566293,2015-08-24,76.35945,stop,止蝕,29,-0.14846349300873019,-2.5678707066654605
10,JPM,2015-07-16,2015-07-17,51.80007,48.70773,56.87977,1.6426718924827162,2015-08-21,48.6181,stop,止蝕,25,-0.061427909267304126,-1.0289845230472716
5,NVDA,2015-09-30,2015-10-01,0.5982727,0.5460906,0.7210822000000001,2.353479449849663,2015-11-06,0.739043,target,目標,26,0.23529454043281595,2.6976741066381
5,NVDA,2015-10-02,2015-10-05,0.6057969,0.5460906,0.7404985000000001,2.2560701299527874,2015-11-06,0.7404985000000001,target,目標,24,0.22235438973028776,2.2560701299527874
5,NVDA,2015-10-05,2015-10-06,0.6104082,0.5460906,0.7574883,2.2867784245680824,2015-11-06,0.7574883,target,目標,23,0.2409536765724969,2.2867784245680824
5,NVDA,2015-10-06,2015-10-07,0.6264267,0.5460906,0.7880695000000001,2.012081741583174,2015-12-01,0.7880695000000001,target,目標,38,0.2580394481908259,2.012081741583174
5,NVDA,2015-10-07,2015-10-08,0.6288539,0.5460906,0.7960856000000001,2.020602126788083,2015-12-01,0.7960856000000001,target,目標,37,0.2659309260863296,2.020602126788083
5,NVDA,2015-10-12,2015-10-13,0.6344361,0.5635659,0.7980955999999999,2.309285143826319,2015-12-01,0.7980955999999999,target,目標,34,0.2579605731767154,2.309285143826319
5,NVDA,2015-10-14,2015-10-15,0.66526,0.5696332,0.8232619999999999,1.6522773950398837,2015-12-04,0.8232619999999999,target,目標,35,0.23750413372215373,1.6522773950398837
6,AMZN,2015-10-15,2015-10-16,28.2635,25.405,33.232,1.7381493790449536,2015-11-11,33.232,target,目標,18,0.17579209935075268,1.7381493790449536
11,XOM,2015-10-15,2015-10-16,51.58915,45.80057,59.836130000000004,1.4246982852443972,2016-01-20,45.80057,stop,止蝕,64,-0.11220537651812434,-1.0
6,AMZN,2015-10-16,2015-10-19,28.538,25.9945,34.138,2.2016905838411613,2015-11-23,34.138,target,目標,25,0.19622958861868378,2.2016905838411613
11,XOM,2015-10-16,2015-10-19,51.43237,47.5315,61.121790000000004,2.4839125630949024,2015-12-08,47.5315,stop,止蝕,35,-0.07584464803002466,-1.0
4,MSFT,2015-10-19,2015-10-20,41.00075,39.71297,47.91485,5.369007128546814,2015-12-01,47.91485,target,目標,29,0.16863350060669635,5.369007128546814
6,AMZN,2015-10-19,2015-10-20,28.6,25.9945,34.6545,2.3237382460180354,2015-12-29,34.6545,target,目標,48,0.21169580419580414,2.3237382460180354
8,META,2015-10-19,2015-10-20,97.87054,89.68245,122.98004,3.0665881786839164,2016-01-20,89.68245,stop,止蝕,62,-0.08366245859070565,-1.0
4,MSFT,2015-10-22,2015-10-23,45.20106,40.18833,48.65811,0.6896541405581398,2015-12-02,48.65811,target,目標,27,0.07648161348428562,0.6896541405581398
5,NVDA,2015-10-22,2015-10-23,0.6953556,0.6208447,0.886366,2.563522920807562,2016-02-08,0.6208447,stop,止蝕,72,-0.10715510164871034,-1.0
8,META,2015-10-22,2015-10-23,101.0229,91.43704,126.15217,2.6214935331832474,2016-01-20,91.43704,stop,止蝕,59,-0.09488799074269305,-1.0
11,XOM,2015-10-22,2015-10-23,51.68322,49.22479,61.98724,4.191300952233743,2015-12-04,48.93274,stop,止蝕,29,-0.05321804639881178,-1.1187953287260552
12,JNJ,2015-10-22,2015-10-23,73.97481,69.70875,86.72852,2.989575861567809,2016-06-02,86.72852,target,目標,152,0.17240612040774406,2.989575861567809
3,AAPL,2015-10-23,2015-10-26,26.43794,24.53032,32.404830000000004,3.1279238003375927,2015-12-16,24.53032,stop,止蝕,36,-0.07215463837197611,-1.0
5,NVDA,2015-10-23,2015-10-26,0.6943849,0.6288538,0.8999576,3.1370250156032813,2016-02-08,0.6288538,stop,止蝕,71,-0.0943728759078718,-1.0
6,AMZN,2015-10-23,2015-10-26,30.115,26.984,36.3515,1.991855637176624,2016-02-03,26.984,stop,止蝕,68,-0.10396812219823992,-1.0
7,GOOGL,2015-10-23,2015-10-26,35.68458,33.06877,40.96079,2.0170463451091685,2016-10-18,40.96079,target,目標,247,0.14785686142305732,2.0170463451091685
8,META,2015-10-23,2015-10-26,101.3103,91.8633,128.789,2.9087223457182154,2016-01-14,91.8633,stop,止蝕,55,-0.09324816923846835,-1.0
11,XOM,2015-10-23,2015-10-26,51.7522,49.22479,62.33218,4.186095647322747,2015-12-04,48.93274,stop,止蝕,28,-0.05448000278249043,-1.1155530760739238
12,JNJ,2015-10-23,2015-10-26,74.10073,69.70875,87.63955999999999,3.0826256039417252,2016-06-06,87.63955999999999,target,目標,153,0.18270845644840472,3.0826256039417252
4,MSFT,2015-10-26,2015-10-27,46.66167,40.21426,59.28857,1.9584453292097141,2017-03-30,59.28857,target,目標,358,0.27060540267847255,1.9584453292097141
8,META,2015-10-26,2015-10-27,102.0439,92.73565,133.44816,3.3738092552305807,2016-01-14,92.73565,stop,止蝕,54,-0.0912180933892176,-1.0
3,AAPL,2015-10-28,2015-10-29,26.57675,24.65346,32.80113,3.236319015853041,2015-12-16,24.65346,stop,止蝕,33,-0.07236738878907323,-1.0
8,META,2015-10-28,2015-10-29,103.055,94.07389,135.11346,3.569543185641863,2016-01-14,94.07389,stop,止蝕,52,-0.08714870700111588,-1.0
3,AAPL,2015-10-29,2015-10-30,27.08948,24.65346,33.09892,2.466909138677024,2015-12-16,24.65346,stop,止蝕,32,-0.08992494503401316,-1.0
6,AMZN,2015-10-29,2015-10-30,31.3005,27.626,39.75,2.299496530140156,2016-01-20,27.626,stop,止蝕,54,-0.11739429082602504,-1.0
8,META,2015-10-29,2015-10-30,103.6002,94.51997,136.16426,3.586259378892386,2016-01-13,94.51997,stop,止蝕,50,-0.08764683851961674,-1.0
12,JNJ,2015-10-29,2015-10-30,75.19689,71.89362,89.23194000000001,4.248835245075341,2016-01-11,71.89362,stop,止蝕,48,-0.04392827948070721,-1.0
11,XOM,2015-11-02,2015-11-03,53.72143,50.00246,64.35157000000001,2.8583559426400362,2015-11-13,50.00246,stop,止蝕,8,-0.06922693606629604,-1.0
12,JNJ,2015-11-02,2015-11-03,75.42646,71.89362,90.72804,4.331240588308543,2016-01-11,71.89362,stop,止蝕,46,-0.0468382050543007,-1.0
3,AAPL,2015-11-03,2015-11-04,27.56862,25.45726,34.0169,3.0540883601091275,2015-11-13,25.45726,stop,止蝕,7,-0.07658562525073787,-1.0
11,XOM,2015-11-03,2015-11-04,54.41758,50.00246,66.62186,2.7642011995143942,2015-11-13,50.00246,stop,止蝕,7,-0.08113407468689349,-1.0
4,MSFT,2015-11-04,2015-11-05,47.09381,40.69824,59.11575,1.8797292500902971,2017-03-30,59.11575,target,目標,351,0.25527643654229726,1.8797292500902971
6,AMZN,2015-11-04,2015-11-05,32.355,27.8335,40.271,1.750746433705631,2016-01-20,27.8335,stop,止蝕,50,-0.1397465615824447,-1.0
7,GOOGL,2015-11-04,2015-11-05,37.60703,33.28981,44.413180000000004,1.576512199980544,2017-04-28,46.04174,target,目標,371,0.224285459394161,1.9537364322411175
6,AMZN,2015-11-05,2015-11-06,32.75,29.768,41.141000000000005,2.8138832997987953,2016-01-13,29.768,stop,止蝕,45,-0.09105343511450381,-1.0
7,GOOGL,2015-11-05,2015-11-06,37.63578,35.58149,44.73979,3.4581339538234723,2016-01-13,35.58149,stop,止蝕,45,-0.054583430979774916,-1.0
8,META,2015-11-05,2015-11-06,107.0995,99.2881,129.48289999999997,2.865478659395236,2016-01-04,99.2881,stop,止蝕,38,-0.07293591473349559,-1.0
10,JPM,2015-11-05,2015-11-06,51.43654,47.62977,55.88335,1.1681320384472924,2016-01-06,47.50243,stop,止蝕,40,-0.0764847324489556,-1.033450930841633
4,MSFT,2015-11-06,2015-11-09,47.14566,45.37392,58.891020000000005,6.62927969115107,2016-01-07,45.37392,stop,止蝕,40,-0.03758012932685639,-1.0
5,NVDA,2015-11-06,2015-11-09,0.7582166,0.6705995,0.9448584999999999,2.130199470194744,2016-01-15,0.6704659,stop,止蝕,46,-0.11573302404616315,-1.0015248165027155
6,AMZN,2015-11-06,2015-11-09,32.9325,29.8145,41.2935,2.6815266196279692,2016-01-13,29.8145,stop,止蝕,44,-0.09467850907158581,-1.0
10,JPM,2015-11-06,2015-11-09,51.68481,47.62977,57.79426,1.5066312539457083,2016-01-06,47.50243,stop,止蝕,39,-0.08092087404403736,-1.031402896148991
6,AMZN,2015-11-11,2015-11-12,33.65,30.7695,42.2505,2.985766360006947,2016-01-07,30.7695,stop,止蝕,37,-0.08560178306092114,-1.0
12,JNJ,2015-11-18,2015-11-19,76.0338,73.87116,85.36587,4.3151287315503355,2016-01-07,73.87116,stop,止蝕,32,-0.028443139761527014,-1.0
