entry.breakout_lookback_days,stop.swing_lookback_days,stop.min_stop_fraction,stop.max_stop_fraction,sizing.max_position_fraction,sizing.equity_basis,account.initial_cash,account.fees,execution.tie_break_seed,per_trade_risk,monthly_loss_cap,reward_risk_floor,entry_signals,orders,total_return,max_drawdown,worst_month_drawdown,blocked_days
90,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,1.5,1535,419,3.080796421443174,-0.17901164563423788,-0.09313518466230963,40
90,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,2.0,1373,392,2.5115307105593803,-0.17330220679844865,-0.0841397992206232,46
90,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,1.5,1535,419,3.080796421443174,-0.17901164563423788,-0.09313518466230963,0
90,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,2.0,1373,392,2.5115307105593803,-0.17330220679844865,-0.0841397992206232,0
90,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,1.5,1535,380,6.891801085300837,-0.1882386799629019,-0.13645953212765938,106
90,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,2.0,1373,345,3.426162219298053,-0.23495967461723477,-0.11854891155910519,137
90,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,1.5,1535,382,6.73779696948884,-0.18823677081138135,-0.13645953212765938,0
90,10,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,2.0,1373,341,3.249041700864714,-0.26557408329466836,-0.121398136034651,0
90,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,1.5,1282,363,1.9580944162728002,-0.15812863226107843,-0.07411339877886058,41
90,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,0.06,2.0,915,300,1.7490199399480493,-0.11194900225596782,-0.06836688064497887,9
90,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,1.5,1282,363,1.9580944162728002,-0.15812863226107843,-0.07411339877886058,0
90,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.01,,2.0,915,300,1.7490199399480493,-0.11194900225596782,-0.06836688064497887,0
90,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,1.5,1282,320,3.913057602783633,-0.19053769620270467,-0.091039244127472,155
90,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,0.06,2.0,915,260,4.124847032619925,-0.17782511348292696,-0.10402839915556306,110
90,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,1.5,1282,320,3.913057602783633,-0.19053769620270467,-0.091039244127472,0
90,20,0.01,0.25,0.25,current_equity,1000000.0,0.0,20260828,0.02,,2.0,915,260,4.120757393917859,-0.17782511348292707,-0.10402839915556295,0
