測,錨,全樣本,剔走後最低,剔走哪宗_最低,剔走後最高,剔走哪宗_最高,全負,全正
表一 步〇可信程度 vs 籃子中位_T,T,-0.1073,-0.2849,E06,0.1572,E13,False,False
表一 步〇可信程度 vs 籃子中位_N,N,-0.0705,-0.2849,E06,0.2097,E13,False,False
表二 全真損害級 vs 相對籃中位,T,-0.3764,-0.4473,E05,-0.324,E06,True,False
表二 全真損害級 vs 相對籃中位,N,-0.3563,-0.4434,E05,-0.3111,E14,True,False
表三 q1 便宜度 vs 個股超額,T,-0.1155,-0.1997,E10,-0.0058,E13,True,False
表三 q1 便宜度 vs 相對籃中位,T,0.0835,0.017,E12,0.1343,E14,False,True
表四 前提守住 vs 個股超額,T,-0.2931,-0.4136,E05,-0.2143,E13,True,False
