列型,樣本,event_id,事件,規則,清單家數k,需挑家數,實挑家數,揀到,家數,相對籃子中位,相對大市超額中位,相對籃子勝率
彙總,七宗,E12,2019-05 華為實體清單殺半導體,b,1,1,1,INTC,1,-0.1072,0.3499,0.0
逐家,七宗,E12,2019-05 華為實體清單殺半導體,b,1,1,1,INTC,1,-0.1072,0.3499,0.0
彙總,七宗,E12,2019-05 華為實體清單殺半導體,c,1,1,1,QCOM,1,-0.3235,0.1335,0.0
逐家,七宗,E12,2019-05 華為實體清單殺半導體,c,1,1,1,QCOM,1,-0.3235,0.1335,0.0
彙總,七宗,E12,2019-05 華為實體清單殺半導體,d,1,1,1,INTC,1,-0.1072,0.3499,0.0
逐家,七宗,E12,2019-05 華為實體清單殺半導體,d,1,1,1,INTC,1,-0.1072,0.3499,0.0
彙總,七宗,E13,2022-01 利率衝擊殺未獲利軟件股,a,1,1,1,MSFT,1,0.2256,-0.1318,1.0
逐家,七宗,E13,2022-01 利率衝擊殺未獲利軟件股,a,1,1,1,MSFT,1,0.2256,-0.1318,1.0
彙總,七宗,E13,2022-01 利率衝擊殺未獲利軟件股,b,1,1,1,MSFT,1,0.2256,-0.1318,1.0
逐家,七宗,E13,2022-01 利率衝擊殺未獲利軟件股,b,1,1,1,MSFT,1,0.2256,-0.1318,1.0
彙總,七宗,E13,2022-01 利率衝擊殺未獲利軟件股,c,1,1,1,MSFT,1,0.2256,-0.1318,1.0
逐家,七宗,E13,2022-01 利率衝擊殺未獲利軟件股,c,1,1,1,MSFT,1,0.2256,-0.1318,1.0
彙總,七宗,E13,2022-01 利率衝擊殺未獲利軟件股,d,1,1,1,MSFT,1,0.2256,-0.1318,1.0
逐家,七宗,E13,2022-01 利率衝擊殺未獲利軟件股,d,1,1,1,MSFT,1,0.2256,-0.1318,1.0
彙總,七宗,E14,2023-05 生成式 AI 殺教育科技,a,1,1,1,DUOL,1,0.58,0.5653,1.0
逐家,七宗,E14,2023-05 生成式 AI 殺教育科技,a,1,1,1,DUOL,1,0.58,0.5653,1.0
彙總,七宗,E14,2023-05 生成式 AI 殺教育科技,b,1,1,1,DUOL,1,0.58,0.5653,1.0
逐家,七宗,E14,2023-05 生成式 AI 殺教育科技,b,1,1,1,DUOL,1,0.58,0.5653,1.0
彙總,七宗,E14,2023-05 生成式 AI 殺教育科技,c,1,1,1,CHGG,1,-0.58,-0.5947,0.0
逐家,七宗,E14,2023-05 生成式 AI 殺教育科技,c,1,1,1,CHGG,1,-0.58,-0.5947,0.0
彙總,七宗,E14,2023-05 生成式 AI 殺教育科技,d,1,1,1,CHGG,1,-0.58,-0.5947,0.0
逐家,七宗,E14,2023-05 生成式 AI 殺教育科技,d,1,1,1,CHGG,1,-0.58,-0.5947,0.0
彙總,十四宗,E01,2013-05 縮減恐慌殺債券替代品,a,3,3,3,T、SPG、ED,3,-0.0063,-0.0998,0.3333
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,a,3,3,3,T,1,-0.0063,-0.0998,0.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,a,3,3,3,SPG,1,0.0459,-0.0477,1.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,a,3,3,3,ED,1,-0.063,-0.1566,0.0
彙總,十四宗,E01,2013-05 縮減恐慌殺債券替代品,b,3,3,3,NEE、DLR、DUK,3,0.065,-0.0285,1.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,b,3,3,3,DLR,1,0.065,-0.0285,1.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,b,3,3,3,DUK,1,0.0142,-0.0793,1.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,b,3,3,3,NEE,1,0.1197,0.0262,1.0
彙總,十四宗,E01,2013-05 縮減恐慌殺債券替代品,c,3,3,3,T、VZ、PSA,3,-0.0063,-0.0998,0.3333
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,c,3,3,3,T,1,-0.0063,-0.0998,0.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,c,3,3,3,VZ,1,-0.0208,-0.1143,0.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,c,3,3,3,PSA,1,0.0387,-0.0548,1.0
彙總,十四宗,E01,2013-05 縮減恐慌殺債券替代品,d,3,3,3,ED、SO、NEE,3,-0.0268,-0.1203,0.3333
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,d,3,3,3,ED,1,-0.063,-0.1566,0.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,d,3,3,3,SO,1,-0.0268,-0.1203,0.0
逐家,十四宗,E01,2013-05 縮減恐慌殺債券替代品,d,3,3,3,NEE,1,0.1197,0.0262,1.0
彙總,十四宗,E02,2015-09 藥價風暴殺專科藥與生物科技,a,0,0,0,,0,,,
彙總,十四宗,E02,2015-09 藥價風暴殺專科藥與生物科技,b,0,0,0,,0,,,
彙總,十四宗,E02,2015-09 藥價風暴殺專科藥與生物科技,c,0,0,0,,0,,,
彙總,十四宗,E02,2015-09 藥價風暴殺專科藥與生物科技,d,0,0,0,,0,,,
彙總,十四宗,E03,2017-06 亞馬遜收購全食殺雜貨零售,a,0,0,0,,0,,,
彙總,十四宗,E03,2017-06 亞馬遜收購全食殺雜貨零售,b,0,0,0,,0,,,
彙總,十四宗,E03,2017-06 亞馬遜收購全食殺雜貨零售,c,0,0,0,,0,,,
彙總,十四宗,E03,2017-06 亞馬遜收購全食殺雜貨零售,d,0,0,0,,0,,,
