樣本,錨,欄,家數,Spearman,p值,註
全樣本(含模型不適用者),T,便宜度序數 vs 個股十二個月超額,50,-0.1395,0.3338,預期正號
全樣本(含模型不適用者),T,便宜度序數 vs 相對籃子中位,50,0.0452,0.7552,預期正號
"剔模型不適用者(KARST-214 裁,主用)",T,便宜度序數 vs 個股十二個月超額,49,-0.1155,0.4292,預期正號
"剔模型不適用者(KARST-214 裁,主用)",T,便宜度序數 vs 相對籃子中位,49,0.0835,0.5683,預期正號
全樣本(含模型不適用者),N,便宜度序數 vs 個股十二個月超額,50,-0.1186,0.4121,預期正號
全樣本(含模型不適用者),N,便宜度序數 vs 相對籃子中位,50,0.0325,0.8227,預期正號
"剔模型不適用者(KARST-214 裁,主用)",N,便宜度序數 vs 個股十二個月超額,49,-0.0899,0.5392,預期正號
"剔模型不適用者(KARST-214 裁,主用)",N,便宜度序數 vs 相對籃子中位,49,0.0705,0.6304,預期正號
