event_id,ticker,entity_id,經營現金流為正,營收變異係數,查不到原因
E01,T,0000732717,1,0.0153,
E01,VZ,0000732712,1,0.0285,
E01,SPG,0001063761,1,0.0819,
E01,NLY,0001043219,1,,"營收不足八季,算不出波動"
E01,ARR,0001428205,1,,"營收不足八季,算不出波動"
E01,AGNC,0001423689,1,,"營收不足八季,算不出波動"
E01,ED,0001047862,1,0.0936,
E01,O,0000726728,1,0.1199,
E01,DOC,0000765880,1,0.0558,
E01,VTR,0000740260,1,0.1742,
E01,WELL,0000766704,1,0.205,
E01,PSA,0001393311,1,0.0326,
E01,DLR,0001297996,1,0.1251,
E01,BXP,0001037540,1,0.0423,
E01,SO,0000092122,1,0.16,
E01,DUK,0001326160,1,0.2927,
E01,D,0000715957,1,,"營收不足八季,算不出波動"
E01,EXC,0001109357,1,0.1595,
E01,NEE,0000753308,1,0.1001,
E01,KMI,0001506307,1,0.2221,
E06,PEP,0000077476,1,0.1391,
E06,KO,0000021344,1,0.0755,
E06,MDLZ,0001103982,1,0.0887,
E06,BSX,0000885725,1,0.0649,
E06,MDT,0001613103,1,0.0453,
E06,EW,0001099800,1,0.0566,
E06,ABT,0000001800,1,0.0728,
E06,DXCM,0001093557,1,0.1123,
E06,ISRG,0001035267,1,0.0736,
E06,HSY,0000047111,1,0.0887,
E06,GIS,0000040704,1,0.0449,
E06,CAG,0000023217,1,0.0635,
E06,KHC,0001637459,1,0.0345,
E06,CPB,0000016732,1,0.0891,
E06,TAP,0000024545,1,0.125,
E06,STZ,0000016918,1,0.0904,
E06,SAM,0000949870,1,0.2078,
E06,DPZ,0001286681,1,0.029,
E06,PODD,0001145197,1,0.0539,
E06,TNDM,0001438133,1,0.0922,
E06,RMD,0000943819,1,0.1048,
E06,DVA,0000927066,1,0.0187,
E06,BAX,0000010456,1,0.0547,
E07,NVDA,0001045810,1,0.1515,
E07,AVGO,0001730168,1,0.2006,
E07,MRVL,0001835632,1,0.0809,
E07,MU,0000723125,1,0.3413,
E07,TSM,0001046179,,,"經營現金流不足四季,算不出 TTM"
E07,ORCL,0001341439,1,0.053,
E07,MSFT,0000789019,1,0.0869,
E07,GOOG,0001652044,1,0.0808,
E07,META,0001326801,1,0.1231,
E07,VRT,0001674101,1,0.102,
E07,VST,0001692819,1,0.1932,
E07,CEG,0001868275,0,,"營收不足八季,算不出波動"
E07,NRG,0001013871,1,0.084,
E07,GEV,0001996810,1,,"營收不足八季,算不出波動"
E07,ANET,0001596532,1,0.1131,
E07,SMCI,0001375365,0,0.4105,
E07,COHR,0000820318,1,0.0882,
E07,MOD,0000067347,1,0.062,
E07,TLN,0001622536,1,,"營收不足八季,算不出波動"
E08,NKE,0000320187,1,0.0418,
E08,GAP,0000039911,1,0.0937,
E08,LEVI,0000094845,1,0.0993,
E08,M,0000794367,1,0.2484,
E08,RH,0001528849,1,0.1663,
E08,TGT,0000027419,1,0.1091,
E08,LULU,0001397187,1,0.225,
E08,BBY,0000764478,1,0.2157,
E08,WMT,0000104169,1,0.0528,
E08,AMZN,0001018724,1,0.1305,
E08,NVDA,0001045810,1,0.1515,
E08,AMD,0000002488,1,0.1337,
E08,AVGO,0001730168,1,0.2073,
E08,MU,0000723125,1,0.3083,
E08,TSM,0001046179,,,"經營現金流不足四季,算不出 TTM"
E08,AAPL,0000320193,1,0.1601,
E08,DELL,0001571996,1,0.0587,
E08,HPQ,0000047217,1,0.0324,
E12,QCOM,0000804328,1,0.0792,
E12,MU,0000723125,1,,"營收不足八季,算不出波動"
E12,AVGO,0001730168,1,,"營收不足八季,算不出波動"
E12,SWKS,0000004127,1,,"營收不足八季,算不出波動"
E12,AMD,0000002488,0,0.1446,
E12,LITE,0001633978,1,0.2005,
E12,QRVO,0001604778,1,0.1279,
E12,INTC,0000050863,1,,"營收不足八季,算不出波動"
E13,ZM,0001585521,1,0.4384,
E13,DOCU,0001261333,1,0.2439,
E13,SHOP,0001594805,,,"經營現金流不足四季,算不出 TTM"
E13,ASAN,0001477720,0,0.3047,
E13,TWLO,0001447669,0,0.2908,
E13,CRWD,0001535527,1,0.3134,
E13,DDOG,0001561550,1,0.304,
E13,HUBS,0001404655,1,0.2238,
E13,MDB,0001441816,0,0.2186,
E13,CRM,0001108524,1,0.1273,
E13,ADBE,0000796343,1,0.1143,
E13,MSFT,0000789019,1,0.1039,
E13,NET,0001477333,1,0.2529,
E13,BILL,0001786352,0,0.4414,
E14,CHGG,0001364954,1,0.0821,
E14,DUOL,0001562088,1,0.2299,
