表,區塊,event_id,步〇可信程度,籃子家數,籃子中位_T,籃子中位_N,同SIC中位_T,同SIC中位_N,入卡家數,_ord,宗數,T錨中位,N錨中位,欄,家數,Spearman,p值,註,樣本,錨,損害級,中位,平均,勝率,判詞,事後,版本,測,全樣本,剔走後最低,剔走哪宗_最低,剔走後最高,剔走哪宗_最高,全負,全正
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,0.0,,,,步〇低/中,T,重大,,,,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,1.0,,,,步〇低/中,T,有限,-0.5523,-0.5523,0.0,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,8.0,,,,步〇低/中,T,輕微,-0.0391,-0.0431,0.375,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,35.0,,,,步〇低/中,T,輕微或受益,0.0,0.0933,0.4286,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,2.0,,,,步〇低/中,T,資料不足,0.0586,0.0586,0.5,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,全真情境損害級,35.0,,,,步〇低/中,N,重大,-0.0854,-0.0406,0.3429,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,全真情境損害級,9.0,,,,步〇低/中,N,有限,0.0354,0.2966,0.5556,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,全真情境損害級,0.0,,,,步〇低/中,N,輕微,,,,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,全真情境損害級,0.0,,,,步〇低/中,N,輕微或受益,,,,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,全真情境損害級,2.0,,,,步〇低/中,N,資料不足,-0.0133,-0.0133,0.5,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,0.0,,,,步〇低/中,N,重大,,,,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,1.0,,,,步〇低/中,N,有限,-0.4657,-0.4657,0.0,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,8.0,,,,步〇低/中,N,輕微,0.0206,0.002,0.5,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,35.0,,,,步〇低/中,N,輕微或受益,-0.0402,0.0485,0.3714,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,不成立情境損害級,2.0,,,,步〇低/中,N,資料不足,-0.0133,-0.0133,0.5,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,全真情境損害級,6.0,-0.8281,0.0418,"家數過細,不下結論 相對籃子中位;預期負號",步〇高,T,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,不成立情境損害級,6.0,-0.6547,0.1583,"家數過細,不下結論 相對籃子中位;預期負號",步〇高,T,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,全真情境損害級,6.0,-0.8281,0.0418,"家數過細,不下結論 相對籃子中位;預期負號",步〇高,N,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,不成立情境損害級,6.0,-0.6547,0.1583,"家數過細,不下結論 相對籃子中位;預期負號",步〇高,N,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,全真情境損害級,44.0,-0.304,0.0448,相對籃子中位;預期負號,步〇低/中,T,,,,,,,,,,,,,,,
表二 秩相關,,,,,,,,,,,,,,不成立情境損害級,44.0,-0.1947,0.2055,相對籃子中位;預期負號,步〇低/中,T,,,,,,,,,,,,,,,
