signal,date,leader,leader_rsi2,leader_rsi5,spy_rsi2,n_hot_rsi2_ge90,n_hot_rsi5_ge70,n_cold_rsi2_le10,fwd21_spy_pct,fwd21_leader_pct,in_bear
F1,2005-03-29,XLE,4.58,22.49,13.31,0,0,3,-1.293,-2.289,False
F1,2005-04-15,XLE,1.36,14.45,3.41,0,1,8,2.007,-2.57,False
F1,2005-08-17,XLE,3.28,23.92,20.22,0,0,2,1.594,12.537,False
F1,2005-10-04,XLE,4.76,26.27,12.59,1,0,1,0.742,-2.36,False
F1,2005-12-20,XLB,3.5,25.68,27.78,0,1,3,0.325,2.727,False
F1,2006-01-12,XLB,4.57,31.93,42.13,0,1,1,-1.641,1.39,False
F1,2006-02-13,XLE,4.52,20.09,41.99,1,1,1,3.598,3.845,False
F1,2006-05-12,XLI,3.54,30.98,3.07,0,0,8,-4.62,-6.91,False
F1,2007-01-05,XLB,3.73,24.83,12.95,0,0,2,3.053,7.272,False
F1,2007-03-05,XLB,2.13,16.68,6.22,0,0,7,3.949,6.352,False
F1,2008-01-16,XLU,3.6,25.84,11.6,0,0,3,-0.791,-4.325,True
F1,2008-07-07,XLE,4.26,22.3,7.16,0,0,2,2.424,-12.829,True
F1,2008-09-23,XLP,4.34,18.27,26.87,0,0,1,-24.349,-13.635,True
F1,2008-10-08,XLP,1.59,14.63,1.15,0,0,7,-8.037,-4.648,True
F1,2008-10-27,XLP,2.89,15.01,7.07,0,0,6,-3.481,1.359,True
F1,2008-11-12,XLP,4.94,28.28,6.7,0,0,8,3.355,0.865,True
F1,2009-01-13,XLU,2.91,29.77,12.87,0,0,4,-2.326,0.461,True
F1,2009-02-20,XLV,3.89,25.49,0.91,0,0,6,4.537,-5.388,True
F1,2009-06-17,XLF,3.44,21.86,5.12,0,0,4,3.844,5.52,False
F1,2009-07-07,XLF,4.33,25.01,3.69,0,0,6,13.862,26.325,False
F1,2009-09-01,XLF,3.9,26.88,2.07,0,0,8,2.732,2.128,False
F1,2010-05-07,XLY,3.68,18.43,2.93,0,0,9,-7.4,-6.959,False
F1,2010-06-23,XLU,4.83,33.01,5.21,0,0,7,1.757,5.876,False
F1,2011-03-10,XLE,1.6,19.17,11.79,0,0,2,3.133,9.136,False
F1,2011-04-12,XLE,2.47,14.36,2.55,0,2,6,2.324,-2.512,False
F1,2011-07-11,XLV,4.99,33.86,13.76,0,0,1,-12.476,-12.39,False
F1,2011-07-29,XLU,3.54,27.7,2.13,0,0,9,-7.651,0.418,False
F1,2011-11-22,XLK,3.7,23.0,2.12,0,0,7,7.112,3.631,False
F1,2012-04-10,XLK,4.64,20.86,1.28,0,0,9,-0.444,-2.854,False
F1,2012-08-30,XLE,4.41,22.7,9.46,0,0,3,3.117,4.513,False
F1,2012-09-26,XLE,2.44,25.21,0.65,0,0,6,-1.8,-2.209,False
F1,2012-11-14,XLF,3.66,16.55,2.74,0,0,8,4.773,6.271,False
F1,2013-06-05,XLF,4.93,24.67,8.46,0,0,6,2.188,3.57,False
F1,2013-12-04,XLI,4.08,28.42,7.15,0,1,3,2.605,4.728,False
F1,2014-01-24,XLK,4.35,28.02,2.68,0,0,8,3.379,2.359,False
F1,2014-07-31,XLK,4.15,24.06,1.03,0,0,7,4.367,3.779,False
F1,2014-10-02,XLV,4.83,26.03,8.61,0,0,4,3.189,5.861,False
F1,2015-06-09,XLV,4.95,27.34,4.34,0,0,4,-0.512,1.82,False
F1,2015-08-24,XLU,1.92,18.18,0.41,0,0,9,-1.167,-3.494,False
F1,2015-11-12,XLK,2.6,26.95,3.65,0,0,7,0.171,0.906,False
F1,2016-01-07,XLV,4.98,19.91,1.89,0,0,8,-6.061,-9.673,False
F1,2016-10-31,XLE,2.52,19.17,7.42,1,1,2,3.663,9.663,False
F1,2017-08-11,XLF,1.95,20.4,18.14,0,0,3,1.682,-0.642,False
F1,2017-11-14,XLE,3.64,27.95,17.93,3,3,2,3.97,3.26,False
F1,2018-02-02,XLY,2.37,27.81,2.14,0,0,6,-1.108,-0.716,False
F1,2018-03-19,XLK,2.79,29.78,5.51,0,0,6,-0.476,-0.882,False
F1,2018-05-25,XLE,2.53,21.08,23.62,1,2,2,1.174,2.294,False
F1,2018-06-15,XLE,2.46,22.97,44.69,4,3,3,1.84,1.0,False
F1,2018-10-10,XLV,3.58,14.08,0.15,0,0,6,0.704,1.284,True
F1,2018-12-19,XLU,4.6,21.24,0.83,0,0,6,6.28,-1.608,True
F1,2019-03-08,XLI,0.89,17.37,2.48,1,1,6,4.987,4.615,False
F1,2019-05-09,XLK,4.23,17.48,6.88,0,0,6,1.88,3.048,False
F1,2019-05-28,XLP,3.5,23.73,12.15,0,0,3,4.954,3.837,False
F1,2019-10-02,XLU,4.47,33.13,5.22,0,0,8,5.945,0.847,False
F1,2019-12-03,XLF,4.44,25.58,7.61,0,0,5,3.658,3.568,False
F1,2020-02-25,XLU,3.18,22.31,0.74,0,0,9,-20.114,-23.444,False
F1,2020-03-12,XLU,2.58,14.17,9.32,0,0,8,7.428,5.197,True
F1,2020-09-08,XLK,3.97,20.51,6.11,0,0,5,1.977,3.05,False
F1,2020-10-28,XLY,3.58,17.92,2.04,0,0,9,10.988,8.458,False
F1,2020-12-21,XLE,4.78,31.11,29.64,0,1,1,4.199,9.356,False
F1,2021-01-26,XLE,3.57,28.96,55.16,1,2,4,1.086,21.407,False
F1,2021-03-23,XLE,2.38,18.72,29.87,1,2,4,5.593,-2.904,False
F1,2021-09-10,XLK,2.64,27.04,1.3,0,0,5,-2.58,-3.702,False
F1,2022-04-25,XLE,2.26,19.14,27.44,0,0,3,-7.872,13.889,True
F1,2022-06-13,XLE,3.56,23.85,1.5,0,0,9,1.951,-18.697,True
F1,2022-08-22,XLY,3.37,28.24,4.47,0,1,5,-8.422,-6.172,True
F1,2022-09-22,XLE,4.19,26.52,5.07,0,0,6,1.433,19.406,True
F1,2022-12-05,XLE,4.64,23.94,16.87,0,0,2,-3.769,0.984,False
F1,2023-02-21,XLK,4.07,25.56,3.28,0,0,5,-0.731,6.302,False
F1,2023-04-25,XLK,0.89,16.05,4.84,0,1,3,1.972,8.13,False
F1,2023-10-04,XLE,2.39,18.29,50.7,0,0,1,2.069,3.407,False
F1,2023-10-24,XLE,4.32,28.69,56.14,0,0,1,7.865,-3.493,False
F1,2024-04-15,XLE,3.47,29.89,9.36,0,0,8,4.137,-1.631,False
F1,2024-06-07,XLU,4.09,26.68,71.1,1,1,1,5.64,0.648,False
F1,2024-07-19,XLK,2.18,17.81,7.89,0,0,1,1.112,0.299,False
F1,2024-10-07,XLU,3.6,31.2,31.89,1,1,2,3.292,-3.058,False
F1,2025-01-02,XLY,3.36,21.34,5.99,1,1,3,2.231,3.445,False
F1,2025-03-11,XLV,4.6,28.15,8.24,0,0,4,-5.052,-5.145,False
F1,2025-04-08,XLP,3.33,18.18,1.67,0,0,9,14.802,6.661,False
F1,2025-08-01,XLK,4.72,25.31,1.11,1,1,6,2.717,0.632,False
F1,2025-08-20,XLK,4.85,26.25,5.26,2,2,1,4.362,7.441,False
F2,1999-09-23,XLK,6.24,24.36,3.33,0,0,7,1.223,-2.537,False
F2,2000-01-24,XLK,9.65,36.59,4.83,0,0,7,-2.724,7.184,False
F2,2000-10-12,XLE,97.26,79.74,0.76,1,2,7,2.022,-5.965,True
F2,2001-09-19,XLU,35.19,44.72,4.28,0,0,7,6.974,-1.064,True
F2,2002-04-29,XLE,11.97,30.61,1.48,0,0,8,-0.439,-2.125,True
F2,2002-07-19,XLB,3.18,9.07,1.85,0,0,9,12.747,4.49,True
F2,2002-09-03,XLV,2.8,22.36,1.13,0,0,7,-5.752,-0.072,True
F2,2002-09-19,XLV,8.26,21.0,1.65,0,0,8,3.768,8.415,True
F2,2003-01-21,XLU,0.84,20.51,1.55,0,0,7,-4.945,-7.124,False
F2,2003-02-07,XLE,14.5,44.17,4.4,0,0,7,-3.69,0.829,False
F2,2004-03-10,XLE,10.04,34.61,3.23,0,0,8,2.297,2.454,False
F2,2004-08-06,XLU,62.61,63.66,1.43,0,0,8,5.233,3.177,False
F2,2004-10-14,XLE,36.34,38.41,4.47,0,0,7,7.054,1.189,False
F2,2005-01-04,XLY,4.91,29.66,1.89,0,0,9,0.219,-2.586,False
F2,2005-04-15,XLE,1.36,14.45,3.41,0,1,8,2.007,-2.57,False
F2,2005-06-24,XLU,38.1,64.76,3.29,0,0,7,3.808,2.757,False
F2,2005-10-05,XLE,1.76,16.26,4.61,0,0,7,2.187,4.855,False
F2,2006-05-12,XLI,3.54,30.98,3.07,0,0,8,-4.62,-6.91,False
F2,2006-06-13,XLU,23.44,48.92,0.45,0,0,7,1.497,2.845,False
F2,2007-06-07,XLE,10.3,38.04,2.01,0,0,8,2.251,7.234,False
F2,2007-07-27,XLE,8.2,22.75,2.27,0,0,9,0.158,-1.72,False
F2,2007-10-19,XLP,7.59,27.03,3.23,0,0,7,-3.251,4.703,False
F2,2008-01-02,XLE,40.89,58.35,4.27,0,0,7,-3.933,-10.741,True
F2,2008-01-17,XLU,0.88,12.37,3.7,0,0,7,-0.557,-3.75,True
F2,2008-03-10,XLE,10.23,30.54,3.32,0,0,7,4.108,5.969,True
F2,2008-10-06,XLP,8.01,27.84,3.94,0,0,9,-7.151,-7.321,True
F2,2009-02-17,XLV,14.76,33.66,2.97,0,0,7,1.429,-6.293,True
F2,2009-09-01,XLF,3.9,26.88,2.07,0,0,8,2.732,2.128,False
F2,2009-10-28,XLE,10.8,25.41,2.78,0,0,7,4.078,0.675,False
F2,2010-01-22,XLV,12.63,35.99,4.9,0,0,8,-0.064,-2.345,False
F2,2010-05-06,XLY,6.02,22.22,4.77,0,0,9,-6.277,-4.963,False
F2,2010-06-24,XLU,3.34,29.38,1.46,0,0,8,4.112,7.051,False
F2,2010-08-24,XLU,72.9,52.18,2.49,0,0,7,8.965,3.337,False
F2,2010-11-16,XLE,8.8,37.44,1.84,0,0,7,5.518,7.9,False
F2,2011-03-16,XLE,13.57,27.8,3.73,0,0,8,3.416,2.418,False
F2,2011-06-06,XLV,5.72,21.55,4.52,0,0,8,4.726,3.029,False
F2,2011-07-27,XLU,27.65,51.73,4.87,0,0,7,-11.417,-2.373,False
F2,2011-09-22,XLU,15.42,38.63,2.5,0,0,8,10.757,5.941,False
F2,2011-11-21,XLI,6.59,26.58,2.72,0,0,7,5.042,4.866,False
F2,2012-03-06,XLF,5.48,25.95,4.35,0,0,7,3.651,7.164,False
F2,2012-04-09,XLK,15.39,34.36,4.08,0,0,7,-2.066,-4.605,False
F2,2012-05-09,XLP,7.15,29.34,2.91,0,0,8,-1.836,0.588,False
F2,2012-10-10,XLF,24.36,56.2,4.98,0,0,7,-4.671,-4.286,False
F2,2012-11-14,XLF,3.66,16.55,2.74,0,0,8,4.773,6.271,False
F2,2012-12-28,XLF,5.5,39.16,2.28,0,0,8,7.325,7.426,False
F2,2013-08-15,XLI,8.69,27.54,4.87,0,0,7,2.65,4.166,False
F2,2014-01-24,XLK,4.35,28.02,2.68,0,0,8,3.379,2.359,False
F2,2014-03-13,XLU,92.87,73.37,2.83,1,1,7,-0.602,4.089,False
F2,2014-07-31,XLK,4.15,24.06,1.03,0,0,7,4.367,3.779,False
F2,2015-01-05,XLU,16.25,38.47,1.19,0,0,7,1.371,2.944,False
F2,2015-06-29,XLY,9.66,28.72,1.32,0,0,8,1.399,3.16,False
F2,2015-07-27,XLF,7.27,33.03,0.91,0,0,8,-7.561,-9.109,False
F2,2015-08-20,XLU,34.84,65.82,3.74,0,0,8,-3.392,-6.252,False
F2,2015-11-12,XLK,2.6,26.95,3.65,0,0,7,0.171,0.906,False
F2,2016-01-07,XLV,4.98,19.91,1.89,0,0,8,-6.061,-9.673,False
F2,2016-09-09,XLK,5.48,20.57,2.63,0,0,8,2.053,4.83,False
F2,2017-04-13,XLU,51.76,56.69,1.87,0,0,7,3.23,0.135,False
F2,2017-08-10,XLU,62.76,65.89,2.45,0,0,7,2.299,3.43,False
F2,2018-02-05,XLY,0.49,12.72,0.49,0,0,9,5.236,4.69,False
F2,2018-03-23,XLY,2.42,13.03,0.77,0,0,7,0.298,-0.413,False
F2,2018-10-11,XLV,1.17,7.24,0.07,0,0,8,0.152,2.247,True
F2,2018-12-17,XLU,7.04,25.67,2.48,0,0,9,3.627,-3.072,True
F2,2019-03-07,XLU,91.95,81.3,3.25,1,1,7,6.019,1.707,False
F2,2019-08-05,XLU,15.13,31.01,0.38,0,0,8,3.805,6.706,False
F2,2020-01-27,XLK,7.36,33.69,2.68,0,1,7,-6.03,-6.546,False
F2,2020-02-24,XLU,11.54,39.87,1.82,0,0,8,-23.964,-27.668,False
F2,2020-09-21,XLB,6.61,29.6,3.98,0,0,7,4.492,3.762,False
F2,2020-10-28,XLY,3.58,17.92,2.04,0,0,9,10.988,8.458,False
F2,2021-09-20,XLK,4.56,15.78,4.78,0,0,7,3.345,3.672,False
F2,2022-01-18,XLE,93.17,90.64,4.99,1,1,7,-3.255,4.979,False
F2,2022-02-23,XLE,50.73,44.16,2.21,0,0,7,10.107,11.947,True
F2,2022-06-10,XLE,14.54,44.86,3.88,0,0,8,-1.218,-21.967,True
F2,2022-09-23,XLU,4.69,21.32,2.05,0,0,8,3.379,-10.52,True
F2,2022-12-19,XLI,5.62,25.35,4.46,0,0,8,4.612,2.466,False
F2,2023-03-10,XLK,10.94,32.62,4.08,0,0,7,8.285,10.375,False
F2,2023-08-04,XLY,72.85,52.84,4.34,0,0,7,-0.069,-1.888,False
F2,2023-09-21,XLE,7.0,30.54,1.73,0,0,9,-2.969,-0.1,False
F2,2023-10-20,XLE,20.91,51.32,3.52,0,0,7,8.0,-5.939,False
F2,2024-12-18,XLY,11.7,34.78,3.93,0,0,8,2.787,-0.705,False
F2,2025-04-04,XLP,8.86,27.74,2.86,0,0,9,14.506,6.305,False
G1,1999-04-08,XLK,91.25,82.1,94.38,5,6,0,0.302,-4.128,False
G1,1999-06-04,XLE,92.29,66.99,95.64,6,3,0,4.53,2.28,False
G1,1999-07-02,XLB,95.14,72.36,98.76,8,7,0,-4.69,-2.965,False
G1,1999-10-28,XLF,95.21,85.13,92.0,5,3,0,3.612,-7.349,False
G1,1999-11-16,XLK,90.79,85.43,97.74,7,7,0,0.774,12.045,False
G1,2000-04-25,XLF,94.1,69.64,85.32,5,2,0,-4.921,-0.25,True
G1,2000-05-15,XLE,99.65,89.59,88.59,6,5,0,1.066,-0.098,True
G1,2000-08-08,XLF,98.35,88.24,98.31,5,5,0,0.765,2.611,True
G1,2000-10-31,XLU,97.04,85.63,94.04,5,7,0,-6.371,-0.82,True
G1,2000-12-28,XLB,93.19,79.37,90.97,6,5,0,2.489,-5.933,True
G1,2001-03-08,XLE,98.82,84.1,90.6,5,4,0,-9.352,-9.745,True
G1,2001-04-18,XLB,95.25,81.66,94.72,6,6,0,3.895,10.766,True
G1,2001-05-16,XLB,95.8,84.71,96.04,5,7,0,-5.429,-9.099,True
G1,2001-09-28,XLP,94.59,66.35,93.55,6,1,0,3.32,-0.397,True
G1,2001-12-05,XLK,93.09,78.03,90.12,6,5,0,-0.126,-2.677,True
G1,2002-07-29,XLB,96.09,70.36,92.14,7,4,0,4.433,-3.461,True
G1,2002-10-15,XLV,97.49,80.71,96.7,8,8,0,3.043,-0.581,True
G1,2002-11-21,XLK,93.04,79.95,94.81,7,5,0,-3.69,-6.819,False
G1,2003-01-06,XLK,96.78,79.91,97.32,6,7,0,-9.182,-13.764,False
G1,2003-03-17,XLU,97.14,79.17,96.7,7,7,0,3.583,6.026,False
G1,2003-04-22,XLY,93.19,78.89,91.51,5,6,0,1.452,-0.315,False
G1,2003-05-27,XLU,98.04,90.98,95.85,7,8,0,2.382,-0.137,False
G1,2003-08-12,XLB,93.18,69.77,94.73,6,4,0,2.094,2.244,False
G1,2003-08-29,XLB,90.27,69.79,96.78,6,4,0,-0.999,-4.435,False
G1,2003-10-07,XLB,92.16,68.1,96.32,7,6,0,1.217,4.296,False
G1,2003-11-03,XLK,97.69,79.2,93.7,6,7,0,1.113,-0.5,False
G1,2003-11-26,XLF,93.78,68.13,92.33,6,4,0,5.02,4.448,False
G1,2003-12-18,XLB,97.19,82.97,95.44,6,8,0,5.343,0.0,False
G1,2004-02-11,XLE,96.49,78.0,97.92,5,5,0,-3.19,1.205,False
G1,2004-03-01,XLE,99.76,91.98,97.44,6,6,0,-2.203,-2.683,False
G1,2004-05-25,XLE,93.12,72.05,97.89,7,7,0,2.936,4.202,False
G1,2004-08-18,XLU,91.55,76.36,95.08,8,6,0,3.032,2.22,False
G1,2004-09-02,XLE,97.22,84.74,93.0,5,8,0,1.775,9.317,False
G1,2004-10-06,XLE,97.33,86.49,98.83,6,7,0,2.334,-2.459,False
G1,2004-11-05,XLY,99.69,93.07,99.88,6,8,0,1.351,1.19,False
G1,2004-12-22,XLB,92.3,75.35,88.08,5,6,0,-3.276,-5.034,False
G1,2005-01-31,XLU,97.07,83.55,96.63,5,3,0,2.884,2.632,False
G1,2005-05-04,XLV,94.61,78.74,92.5,6,5,0,1.938,-0.51,False
G1,2005-07-28,XLE,90.63,76.62,94.18,5,5,0,-3.215,1.073,False
G1,2005-09-29,XLE,92.17,73.65,96.84,5,3,0,-1.9,-10.721,False
G1,2005-11-07,XLF,97.49,84.34,83.55,5,6,0,3.518,3.46,False
G1,2005-11-22,XLF,95.75,82.84,98.69,7,7,0,0.952,0.746,False
G1,2006-03-14,XLB,95.44,73.4,93.29,8,5,0,-0.806,4.022,False
G1,2006-04-05,XLI,96.99,80.97,94.28,6,4,0,1.269,3.769,False
G1,2006-05-05,XLI,98.89,86.27,88.93,5,6,0,-4.226,-5.434,False
G1,2006-06-29,XLU,92.98,72.31,91.14,5,5,0,-0.157,5.191,False
G1,2006-08-15,XLU,91.22,71.4,92.09,5,3,0,2.762,-0.977,False
G1,2006-09-12,XLV,92.79,77.07,90.8,5,5,2,3.347,-0.532,False
G1,2006-10-23,XLK,92.16,77.45,96.43,5,5,0,2.528,3.935,False
G1,2006-11-16,XLY,98.99,86.85,97.36,6,5,0,1.721,0.832,False
G1,2007-01-11,XLB,95.13,66.55,89.53,6,5,1,1.14,6.496,False
G1,2007-02-01,XLB,96.01,82.1,95.48,8,7,0,-4.111,-1.147,False
G1,2007-03-21,XLB,93.06,73.86,97.18,9,9,0,3.408,2.591,False
G1,2007-06-04,XLE,91.97,77.54,90.73,5,5,0,-0.444,2.034,False
G1,2007-07-03,XLE,95.18,69.55,94.69,5,3,0,-3.36,-3.545,False
G1,2007-08-24,XLE,93.04,70.57,96.1,6,6,0,3.465,9.166,False
G1,2007-09-14,XLE,92.53,74.11,89.08,6,3,0,4.607,7.677,False
G1,2007-10-29,XLE,93.56,66.88,93.76,5,3,0,-4.451,-5.286,False
G1,2007-12-24,XLE,96.36,77.77,95.86,7,3,0,-10.353,-13.983,True
G1,2008-04-01,XLB,90.05,67.18,91.01,5,3,0,0.97,2.18,True
G1,2008-04-18,XLE,96.7,88.96,95.41,5,6,0,2.923,6.996,True
G1,2008-11-28,XLP,94.58,67.74,93.01,7,1,0,2.62,1.153,True
G1,2008-12-30,XLV,93.16,78.28,90.35,5,2,0,-8.431,-1.813,True
G1,2009-01-28,XLE,93.6,68.36,95.77,7,2,0,-15.782,-16.808,True
G1,2009-03-12,XLK,91.62,70.64,95.06,7,4,0,12.668,13.868,True
G1,2009-04-03,XLK,93.29,76.59,91.63,7,4,0,10.007,8.097,False
G1,2009-05-04,XLB,98.51,87.19,98.64,9,9,0,3.787,0.991,False
G1,2009-07-15,XLF,92.66,75.36,98.12,9,8,0,9.161,17.86,False
G1,2009-08-21,XLF,91.77,71.29,93.87,9,6,0,4.296,4.456,False
G1,2009-09-09,XLF,90.75,63.23,93.94,6,6,0,3.225,4.614,False
G1,2009-10-09,XLF,95.3,69.99,95.81,8,4,0,1.438,-3.658,False
G1,2009-11-09,XLE,91.84,67.19,98.17,8,7,0,1.272,-4.707,False
G1,2009-12-14,XLV,95.67,78.82,93.09,6,5,0,3.488,2.941,False
G1,2010-02-17,XLV,91.89,63.89,96.14,7,4,0,5.785,3.084,False
G1,2010-03-04,XLY,90.53,83.54,97.65,6,6,0,4.885,6.437,False
G1,2010-03-23,XLI,93.4,89.5,88.61,5,7,0,3.394,5.909,False
G1,2010-04-23,XLY,96.89,87.23,90.84,6,6,0,-13.738,-14.122,False
G1,2010-06-15,XLY,97.21,73.91,94.6,6,6,0,-1.625,-6.028,False
G1,2010-07-07,XLU,95.66,72.17,90.44,6,1,0,4.43,4.481,False
G1,2010-09-03,XLB,96.15,78.18,95.97,9,8,0,5.682,5.416,False
G1,2010-10-13,XLB,94.5,79.63,98.66,8,8,0,2.555,3.16,False
G1,2010-11-03,XLY,93.85,81.27,98.85,5,4,0,1.113,3.402,False
G1,2010-12-02,XLE,94.1,77.47,91.12,5,5,0,4.797,6.69,False
G1,2010-12-21,XLE,96.65,81.85,96.8,5,8,0,2.239,4.167,False
G1,2011-01-18,XLE,94.03,83.88,93.12,6,6,0,3.13,6.642,False
G1,2011-02-18,XLE,90.78,79.15,93.09,5,6,0,-2.727,0.492,False
G1,2011-03-25,XLE,95.92,75.18,93.87,7,5,0,2.637,1.49,False
G1,2011-04-29,XLE,96.65,78.95,98.48,6,9,0,-1.868,-4.625,False
G1,2011-05-31,XLV,95.1,68.52,96.19,9,3,0,-2.022,-0.683,False
G1,2011-06-21,XLV,92.54,66.74,93.41,6,2,0,4.239,0.963,False
G1,2011-08-31,XLU,90.82,73.12,93.47,7,7,0,-7.538,0.009,False
G1,2011-09-16,XLU,96.8,77.61,94.87,8,5,0,0.51,0.327,False
G1,2011-10-10,XLU,95.36,70.69,89.8,6,5,0,5.064,3.155,False
G1,2011-12-22,XLE,90.56,66.32,91.46,6,4,0,5.952,5.197,False
G1,2012-01-10,XLI,96.68,83.85,93.39,5,7,0,4.218,4.997,False
G1,2012-02-03,XLI,96.84,85.63,97.92,6,7,0,0.806,-2.216,False
G1,2012-03-13,XLF,95.06,80.81,97.41,7,7,0,-0.73,0.384,False
G1,2012-06-08,XLU,98.28,86.97,93.83,7,3,0,0.548,0.494,False
G1,2012-06-29,XLU,96.62,75.78,90.9,6,7,0,1.627,2.398,False
G1,2012-07-18,XLU,96.9,83.06,92.29,5,4,0,3.327,-0.771,False
G1,2012-08-07,XLE,90.32,74.93,90.66,5,6,0,2.975,1.387,False
G1,2012-09-07,XLE,92.38,74.97,96.2,5,7,0,1.468,1.023,False
G1,2012-10-17,XLF,91.34,75.62,93.7,8,6,0,-4.739,-4.49,False
G1,2012-11-20,XLF,92.07,62.87,90.29,5,1,0,2.777,4.803,False
G1,2012-12-07,XLF,95.32,78.8,91.27,5,5,0,3.91,7.553,False
G1,2013-01-02,XLF,92.97,79.08,90.95,6,6,0,2.966,3.675,False
G1,2013-01-18,XLI,92.42,80.41,98.33,5,8,0,1.773,2.058,False
G1,2013-03-05,XLF,95.44,71.09,95.82,7,6,0,-0.133,-1.162,False
G1,2013-04-10,XLV,95.57,84.44,94.62,6,7,0,2.703,0.547,False
G1,2013-04-25,XLU,92.32,77.47,94.03,7,4,0,5.501,-5.392,False
G1,2013-05-14,XLV,99.26,85.67,97.05,5,8,0,-0.564,-1.142,False
G1,2013-07-08,XLF,94.49,76.64,97.65,6,5,0,2.552,1.991,False
G1,2013-08-01,XLF,92.96,73.32,96.33,6,7,0,-2.966,-5.433,False
G1,2013-09-09,XLY,92.64,73.18,98.54,8,7,0,-1.205,-0.078,False
G1,2013-10-18,XLB,93.8,77.75,93.7,7,9,0,2.797,2.179,False
G1,2013-11-14,XLY,93.49,75.91,91.45,5,5,0,-0.1,0.17,False
G1,2013-12-23,XLI,99.16,86.46,94.93,7,7,0,-1.906,-2.741,False
G1,2014-02-10,XLV,92.7,68.22,92.14,6,1,0,4.263,5.1,False
G1,2014-05-29,XLE,96.42,77.91,94.04,6,9,0,2.314,5.566,False
G1,2014-06-18,XLE,96.54,94.17,94.43,7,5,0,0.817,-0.553,False
G1,2014-08-14,XLK,94.97,68.45,93.72,7,4,0,1.089,1.219,False
G1,2014-10-21,XLU,93.17,74.81,96.62,8,4,0,5.067,4.073,False
G1,2014-11-05,XLU,90.11,85.28,82.49,5,6,0,2.535,-1.355,False
G1,2014-11-28,XLP,98.59,89.67,46.98,6,5,2,1.327,1.109,False
G1,2014-12-22,XLU,95.35,77.25,93.74,7,6,0,-1.662,5.117,False
G1,2015-02-12,XLY,96.28,83.63,94.07,5,5,0,-0.66,1.355,False
G1,2015-06-18,XLB,91.04,68.69,92.43,5,5,0,0.459,-6.439,False
G1,2015-07-14,XLV,94.21,74.08,92.29,6,3,0,-0.949,-1.976,False
G1,2015-09-16,XLY,91.09,70.68,91.58,6,1,0,1.932,1.749,False
G1,2016-03-04,XLU,91.34,67.47,94.01,7,7,0,2.961,4.115,False
G1,2016-05-25,XLE,95.09,76.12,95.01,6,4,0,-3.248,-1.961,False
G1,2016-07-12,XLE,93.79,72.03,97.56,6,7,0,1.309,-2.452,False
G1,2016-08-08,XLK,90.78,82.03,82.12,5,2,1,0.225,1.063,False
G1,2016-09-22,XLK,94.37,74.34,96.79,6,3,0,-0.794,-0.251,False
G1,2016-11-09,XLF,98.65,90.65,96.13,6,5,0,4.188,11.909,False
G1,2016-12-07,XLF,94.41,84.2,97.95,7,7,0,1.445,-0.354,False
G1,2017-01-25,XLF,91.24,69.85,92.91,5,5,0,3.156,3.078,False
G1,2017-02-13,XLF,93.25,75.55,99.32,7,7,0,2.816,3.371,False
G1,2017-05-24,XLK,90.51,68.5,90.9,5,2,0,1.613,1.136,False
G1,2017-07-19,XLV,90.89,74.96,99.09,5,7,0,-1.771,-3.307,False
