signal,date,leader,leader_rsi2,leader_rsi5,spy_rsi2,n_hot_rsi2_ge90,n_hot_rsi5_ge70,n_cold_rsi2_le10,fwd21_spy_pct,fwd21_leader_pct,in_bear
F1,1999-05-12,XLB,4.9,39.99,88.16,3,1,1,-4.781,-2.94,False
F1,1999-08-04,XLK,3.9,23.55,4.25,1,1,5,3.056,8.583,False
F1,1999-10-18,XLK,1.51,15.56,29.96,0,0,3,11.843,15.649,False
F1,2000-05-25,XLE,3.83,30.09,26.01,0,0,3,5.414,1.397,True
F1,2000-09-18,XLF,2.35,25.11,7.43,0,0,5,-8.613,-10.31,True
F1,2001-02-09,XLY,3.36,24.91,3.33,1,2,4,-11.124,-4.362,True
F1,2001-03-14,XLB,3.33,26.11,19.95,0,0,7,0.134,2.517,True
F1,2001-10-31,XLP,3.69,24.24,7.26,0,0,3,6.614,3.462,True
F1,2002-02-07,XLY,4.74,31.1,4.34,0,0,2,6.877,6.192,True
F1,2002-06-13,XLV,2.73,14.45,19.48,0,0,1,-8.844,-12.199,True
F1,2002-07-12,XLB,3.67,19.54,17.96,0,0,4,-1.626,-2.233,True
F1,2002-09-03,XLV,2.8,22.36,1.13,0,0,7,-5.752,-0.072,True
F1,2002-10-24,XLV,4.46,35.46,24.23,0,0,1,5.918,3.59,True
F1,2002-12-05,XLK,4.62,31.12,6.2,0,0,3,2.811,3.126,False
F1,2002-12-31,XLK,3.54,22.64,48.0,0,0,1,-3.05,-3.154,False
F1,2003-01-21,XLU,0.84,20.51,1.55,0,0,7,-4.945,-7.124,False
F1,2003-03-12,XLE,1.7,20.0,39.61,0,0,1,7.709,1.211,False
F1,2004-03-11,XLE,3.48,20.85,1.52,0,0,9,3.521,4.573,False
F1,2004-05-10,XLE,2.94,20.96,5.2,0,0,8,4.184,3.259,False
F1,2004-10-13,XLE,3.19,27.79,9.65,0,0,4,5.632,0.429,False
F1,2005-01-04,XLY,4.91,29.66,1.89,0,0,9,0.219,-2.586,False
F1,2005-03-10,XLE,4.38,30.77,32.31,0,0,1,-2.437,1.708,False
