arm,slice,layer,size,n_subindustries,members,top_terms
machine_v2,2023-06-30,28,3,1,AON MRSH WTW,reinsurance clients advice health wealth facultative help clients colleagues consulting wealth risk transfer
machine_v2,2023-06-30,29,11,5,ADI AVGO KEYS MRVL NXPI QRVO SANM STX SWKS TER TXN,semiconductor signal wireless analog automotive wafer devices circuits mixed signal silicon
machine_v2,2023-06-30,30,5,3,AAOI COHR IPGP LITE VIAV,lasers laser optical fiber wavelength vi ii vi materials processing ii optical components
machine_v2,2023-06-30,31,8,4,DECK EL FOSL PVH RL SIG TPR VFC,stores outlet footwear fashion jewelry retail stores watches lifestyle brands commerce sites
machine_v2,2023-06-30,32,7,4,AZO BBWI KR ORLY ROST TJX TSCO,merchandise store stores merchandising vice president vice president assortment senior vice shopping experience
machine_v2,2023-06-30,33,9,9,CLX DPZ ETSY GT NTAP OI ROL RS ULTA,adversely negatively adversely affected adversely affect negatively impact materially adversely covenants indebtedness cash flows unable
machine_v2,2023-06-30,34,3,2,CBOE ICE MKTX,electronic trading trading platforms clearing ats fixed income equities mifid trading indices sros
machine_v2,2023-06-30,35,4,1,AMG BEN KKR TROW,investment management advisers mutual funds investment advisers assets management investment act advisers act funds investment strategies clients
machine_v2,2023-06-30,36,3,2,HOOD TOST XYZ,card aml app money cards crypto money transmitter money laundering laundering instant
machine_v2,2023-06-30,37,6,2,AMP BHF MET PFG PRU UNM,annuity annuities universal life reinsurance naic rbc variable annuity individual life life insurance term life
machine_v2,2023-06-30,38,4,4,CPAY EFX FICO FIS,fcra consumer reporting decisioning cfpb reporting agencies fraud card clients credit reporting financial institutions
machine_v2,2023-06-30,39,4,3,ACGL CB EG WRB,reinsurance casualty bermuda insurance reinsurance property casualty reinsurers surplus lines insurer solvency lloyd
machine_v2,2023-06-30,40,5,3,BBT FNMA SLM SOFI UPST,loans borrowers loan lending borrower bank origination cfpb bank holding lenders
machine_v2,2023-06-30,41,14,5,AXP CFG FITB GS JPM KEY MTB NTRS RF SCHW STT USB WFC ZION,fdic depository banking bhc bank stress institution basel federal reserve depository institution
machine_v2,2023-06-30,42,4,2,DDOG MDB OKTA SNOW,cloud integrations clouds developers user experience public cloud developer database query users
machine_v2,2023-06-30,43,5,1,CRWD FTNT PANW QLYS ZS,firewall cloud security security cloud threat endpoint cloud zero trust malware channel partners attack surface
semantic,2023-06-30,0,4,1,IONQ QBTS QUBT RGTI,classical quantum computers computational optimization problems gate merger sub error correction chip problem
semantic,2023-06-30,1,5,2,CIFR CLSK MARA RIOT WULF,bitcoin bitcoin mining miners mining blockchain bitcoin blockchain mining bitcoin bitcoin network mining pool computing power
semantic,2023-06-30,2,3,2,DD DOW EMN,propylene polyethylene coatings ethylene electronics industrial key raw performance materials monomers resins intermediates
semantic,2023-06-30,3,6,5,APP DKNG GOOG GOOGL TTWO WBD,games advertisers google advertising game users content entertainment studios google play
semantic,2023-06-30,4,7,2,ALGT ALK BKNG JBLU LUV SKYW ULCC,airline flight flights aircraft airlines faa fares airports fare pilots
semantic,2023-06-30,5,6,2,BLDR DHI LEN LPX NVR TOL,homebuilding homes mortgage land development single family lots land homebuilders housing mortgage financing
semantic,2023-06-30,6,3,1,ENPH FSLR NXT,itc solar module ira modules installations tax credit inverters utility scale utility
semantic,2023-06-30,7,8,2,AEP AES CMS CNP ED ES NEE XEL,ferc natural gas transmission utility electricity wind solar miso coal electric
semantic,2023-06-30,8,3,2,CEG EXC LNT,megawatt power light abbreviations asset retirement terms abbreviations electric registrants nuclear generating nuclear phi
semantic,2023-06-30,9,3,3,EXE FLS VST,share repurchase repurchase program repurchase average price number purchased dividend dividends graph minimum tax repurchases
semantic,2023-06-30,10,3,2,DG ROST TJX,merchandise apparel shopping experience apparel home assortment department specialty store store growth shopping associates
semantic,2023-06-30,11,5,2,CNX EP EQT OKE WMB,ngls natural gas acreage ngl oil natural wells gathering proved gas ngl ferc
semantic,2023-06-30,12,5,2,FTI HAL HP NE OII,drilling offshore subsea rigs gulf mexico oil rig drilling rigs oil gas oil natural
semantic,2023-06-30,13,3,1,GD HII NOC,navy missile aircraft submarines mission systems sustainment ships isr ballistic missile ballistic
semantic,2023-06-30,14,4,4,ADP NTAP QCOM ROL,suffer adversely impact results looking statements fail forward looking adversely impact adversely affect results financial vulnerabilities
semantic,2023-06-30,15,3,2,CHRW JBHT R,fms truckload freight carriers motor carrier trailers dot carrier tractors transportation
semantic,2023-06-30,16,9,3,CNC CVS EHC ELV HCA HIMS HUM THC UNH,medicare medicaid cms medicare advantage physicians clinical quality care managed care physician patient
semantic,2023-06-30,17,4,2,AN CPRT CVNA KMX,auction vehicle vehicles car auctions reconditioning vehicle sales vehicles sold auto sell vehicles
semantic,2023-06-30,18,5,4,EW HSIC JNJ TFX ZBH,fda medical devices medical device mdr patients surgical device medical surgery hospitals
semantic,2023-06-30,19,5,2,ABBV LLY MRK NKTR VKTX,fda nda exclusivity pediatric medicaid clinical orphan pharmaceutical patients drugs
semantic,2023-06-30,20,8,7,AFRM BR CPAY EFX FICO FIS ICE MKTX,clients cfpb fcra consumer reporting decisioning fraud banks credit card privacy
semantic,2023-06-30,21,4,1,BA RTX TDG VSEC,aircraft aviation faa defense airbus commercial aircraft aftermarket dod airlines government contracts
semantic,2023-06-30,22,4,3,BKR DOV PH TEX,pumps aerial industrial machinery refrigeration power generation team members lifts dei valves
semantic,2023-06-30,23,11,4,CFG FITB GS JEF KEY RF RJF STT USB WFC ZION,banking bank bhc depository fdic loans bhcs federal banking institution frb
semantic,2023-06-30,24,6,2,AMP BEN MET PFG PRU TROW,annuity mutual funds investment management variable annuity annuities mutual advisers investment advisers asset management mutual fund
semantic,2023-06-30,25,7,5,CARR FLEX FLR JBL PNR RSG TT,sustainability industrial residential refrigeration hvac vice president vice sustainable president leaders
semantic,2023-06-30,26,5,3,CSCO DDOG PANW QLYS ZS,cloud cloud security cloud platform logs saas threat sd wan sd wan threats
semantic,2023-06-30,27,3,1,P STX WDC,flash disk data storage hdd ssd ssds magnetic flash memory storage industry cloud
semantic,2023-06-30,28,7,4,CRM CTSH DOCN EPAM NOW NTNX SMCI,cloud software enterprise automation computing server engineering delivery model platforms cloud computing
semantic,2023-06-30,29,5,1,ADI AVGO MRVL QRVO SWKS,signal semiconductor wireless mixed signal analog connectivity amplifiers switches broadband automotive
manual,2023-06-30,ag_fertilizer,2,1,MOS CF,
manual,2023-06-30,banks,5,2,JPM BAC WFC GS MS,
manual,2023-06-30,betting,2,1,DKNG FLUT,
manual,2023-06-30,biotech,5,2,AMGN GILD VRTX REGN BIIB,
manual,2023-06-30,cannabis,1,1,GTBIF,
manual,2023-06-30,china,4,3,BABA BIDU JD NTES,
manual,2023-06-30,copper,2,1,FCX SCCO,
manual,2023-06-30,cyber,5,1,PANW CRWD ZS FTNT OKTA,
manual,2023-06-30,defense,4,1,LMT NOC LHX HII,
manual,2023-06-30,energy,3,2,XOM CVX COP,
manual,2023-06-30,fintech,5,2,HOOD SOFI AFRM PYPL UPST,
manual,2023-06-30,gig,4,2,UBER DASH LYFT GRAB,
manual,2023-06-30,glp1,2,1,LLY NVO,
manual,2023-06-30,gold,3,1,NEM B AEM,
manual,2023-06-30,homebuilders,3,1,DHI LEN PHM,
manual,2023-06-30,memory,1,1,MU,
manual,2023-06-30,metaverse_innov,2,2,U RBLX,
manual,2023-06-30,oilfield_services,3,1,SLB HAL WFRD,
manual,2023-06-30,optical_cpo,2,2,LITE COHR,
manual,2023-06-30,power_producers,3,1,VST CEG TLN,
manual,2023-06-30,quantum,4,1,IONQ RGTI QBTS QUBT,
manual,2023-06-30,semi_equipment,3,1,AMAT LRCX KLAC,
manual,2023-06-30,semis,3,1,NVDA AMD AVGO,
manual,2023-06-30,software_cloud,7,2,MSFT CRM ORCL ADBE NOW PLTR SHOP,
manual,2023-06-30,solar,2,1,ENPH SEDG,
manual,2023-06-30,staples,4,3,WMT PG KO COST,
manual,2023-06-30,streaming,6,3,NFLX DIS WBD PARA SPOT ROKU,
manual,2023-06-30,travel_cruise,3,1,RCL CCL NCLH,
manual,2023-06-30,upstream_oil,2,1,EOG OXY,
manual,2023-06-30,uranium_power,2,1,CCJ LEU,
manual,2023-06-30,web3_crypto,5,3,COIN MSTR MARA RIOT HUT,
manual,2025-06-30,ag_fertilizer,2,1,MOS CF,
manual,2025-06-30,banks,5,2,JPM BAC WFC GS MS,
manual,2025-06-30,betting,2,1,DKNG FLUT,
manual,2025-06-30,biotech,5,2,AMGN GILD VRTX REGN BIIB,
manual,2025-06-30,cannabis,1,1,GTBIF,
manual,2025-06-30,china,4,3,BABA BIDU JD NTES,
manual,2025-06-30,copper,2,1,FCX SCCO,
manual,2025-06-30,cyber,5,1,PANW CRWD ZS FTNT OKTA,
manual,2025-06-30,defense,4,1,LMT NOC LHX HII,
manual,2025-06-30,energy,3,2,XOM CVX COP,
manual,2025-06-30,fintech,5,2,HOOD SOFI AFRM PYPL UPST,
manual,2025-06-30,gig,4,2,UBER DASH LYFT GRAB,
manual,2025-06-30,glp1,2,1,LLY NVO,
manual,2025-06-30,gold,3,1,NEM B AEM,
manual,2025-06-30,homebuilders,3,1,DHI LEN PHM,
manual,2025-06-30,memory,2,2,MU SNDK,
manual,2025-06-30,metaverse_innov,2,2,U RBLX,
manual,2025-06-30,oilfield_services,3,1,SLB HAL WFRD,
manual,2025-06-30,optical_cpo,2,2,LITE COHR,
manual,2025-06-30,power_producers,3,1,VST CEG TLN,
manual,2025-06-30,quantum,4,1,IONQ RGTI QBTS QUBT,
manual,2025-06-30,semi_equipment,3,1,AMAT LRCX KLAC,
manual,2025-06-30,semis,3,1,NVDA AMD AVGO,
manual,2025-06-30,software_cloud,7,2,MSFT CRM ORCL ADBE NOW PLTR SHOP,
manual,2025-06-30,solar,2,1,ENPH SEDG,
manual,2025-06-30,staples,4,3,WMT PG KO COST,
manual,2025-06-30,streaming,6,3,NFLX DIS WBD PARA SPOT ROKU,
manual,2025-06-30,travel_cruise,3,1,RCL CCL NCLH,
manual,2025-06-30,upstream_oil,2,1,EOG OXY,
manual,2025-06-30,uranium_power,2,1,CCJ LEU,
manual,2025-06-30,web3_crypto,5,3,COIN MSTR MARA RIOT HUT,
