arm,slice,layer,size,n_subindustries,members,top_terms
machine_v2,2015-06-30,39,18,5,ADBE AKAM ANET CIEN CRM FICO FTNT GEN HPQ IBM MSFT MSTR NOW ORCL PANW QLYS TDC WDAY,cloud software enterprise analytics subscription platform enterprises web architecture application
machine_v2,2015-06-30,40,3,1,ACN CTSH EPAM,global delivery delivery centers clients delivery model help clients life sciences infrastructure management client outsourcing digital technologies
machine_v2,2015-06-30,41,7,2,BSX COO DXCM EW PODD TFX ZBH,fda medical device pma patients medical devices clinical device medical patient surgical
machine_v2,2015-06-30,42,4,2,CBOE IBKR JEF MKTX,cftc trading broker trades broker dealer futures electronic trading dealer finra broker dealers
machine_v2,2015-06-30,43,3,1,CDNA DGX LH,clinical laboratory clia clinical laboratory laboratory testing clinical laboratories payers diagnostic medicare physician
machine_v2,2015-06-30,44,5,1,DVA EHC HCA THC UHS,medicare stark stark law inpatient medicaid outpatient hospital patients cms hospitals
machine_v2,2015-06-30,45,5,1,CNC ELV HUM MOH UNH,medicare medicaid medicare advantage care management hmo health plans cms primary care physicians pharmacy
machine_v2,2015-06-30,46,19,6,AXP BAC BBT CFG FHN FITB GS HRB JPM KEY MS MTB RF SLM STT TFC USB WFC ZION,fdic banking depository federal reserve institution bank holding bank basel depository institution tier capital
machine_v2,2015-06-30,47,24,8,ACGL AFL AIZ ALL AMG AMP BEN CB EG ERIE FMCC FNMA GNW HIG MET MTG PFG PGR PRU RJF TROW TRV UNM WRB,insurer reinsurance insurance insurers premiums underwriting casualty life insurance reserves annuity
machine_v2,2015-06-30,48,3,1,ARES BX KKR,aum managed accounts unrealized clos investment income limited partners clo separately managed performance fees funds
semantic,2015-06-30,0,7,2,CZR HLT LVS MAR MGM PENN WYNN,casino hotel gaming resort rooms casinos table games amenities suites slot machines
semantic,2015-06-30,1,3,1,CCL NCLH RCL,ships seas cruises clia onboard cruising cruise ship passengers guests
semantic,2015-06-30,2,3,1,BKNG EXPE TRIP,offline hotel online advertising travel apps reservation mobile apps bookings search results search
