a,med
0.0,202.4478130658588
0.002,203.41607817293195
0.005,204.81878619648938
0.0075,205.9423601057424
0.01,207.12795169871043
0.015,209.4154797893599
0.02,211.89268857134425
0.025,214.25767343908123
0.03,216.60500848111934
0.035,218.93831560836858
0.04,221.33068865456502
0.045,223.93475852911672
0.05,226.6170653060559
0.055,229.16164156059773
0.06,231.5979034392646
0.065,234.09521293626102
0.07,236.67438511689437
0.075,238.9913145711688
0.08,241.7219078355038
0.085,244.22000090651858
0.09,246.90056998558885
0.095,249.49138336117167
0.1,252.24265357936935
0.11,257.50370932642863
0.12,263.0453545272283
0.13,268.8248325862717
0.14,274.72183056999484
0.15,280.4498310925187
0.16,286.0599355772382
0.17,292.2396764835702
0.18,297.96820787512854
0.19,303.84059983278587
0.2,309.7673625269214
0.21,315.8552185968912
0.22,322.22681115009186
0.23,328.7478269867019
0.24,335.2985254730055
0.25,341.9128066606288
0.26,348.64909827670414
0.27,355.18102799601013
0.28,362.2631204169797
0.29,369.28511163528856
0.3,376.2512379171829
0.35,412.61539397290903
0.4,451.3337631570428
0.45,493.5171131693945
0.5,538.2216366806015
0.55,585.6229561087766
0.6,637.2976289702665
0.65,691.3181304667107
0.7,750.4156628207438
0.75,812.5015924212709
0.8,878.1417760549177
0.85,949.9314985980166
0.9,1025.1502646689032
0.95,1104.8534515307574
1.0,1190.3358107758652
