a,med
0.0,0.92769232805332
0.002,1.4707596267786838
0.005,2.417460129103688
0.0075,3.0659839348990303
0.01,3.789698869295832
0.015,5.336625219132607
0.02,6.817429815473508
0.025,8.267982116271476
0.03,9.810442590658008
0.035,11.377058441021004
0.04,12.885979141362046
0.045,14.499945433334403
0.05,16.15762063253218
0.055,17.8674141360596
0.06,19.445582791306983
0.065,21.169261739217625
0.07,22.701079424145064
0.075,24.41526431283285
0.08,26.36706511957707
0.085,28.07040929218746
0.09,29.92679342578214
0.095,31.732512098186284
0.1,33.504430769453705
0.11,37.12792228982419
0.12,41.029810252904205
0.13,45.117477614758
0.14,49.384405814995716
0.15,53.37873670701485
0.16,57.6487618322863
0.17,61.71485045383083
0.18,66.02515619487725
0.19,70.72050250227369
0.2,75.1806906451196
0.21,80.0023665337153
0.22,84.82513446209964
0.23,90.09466222562418
0.24,95.2434346390668
0.25,100.39997989604565
0.26,105.61177547666145
0.27,111.31036575615599
0.28,117.02149336387093
0.29,122.87749189243641
0.3,128.65963589919374
0.35,160.8375864954963
0.4,197.04240357684847
0.45,239.1574513303254
0.5,284.34851840800087
0.55,336.2011352559531
0.6,394.0772855305913
0.65,459.64509698904016
0.7,533.5501852303626
0.75,614.9668383560128
0.8,706.5521409843809
0.85,809.6585150404428
0.9,923.6595947068314
0.95,1049.1960413809506
1.0,1190.3358107758652
