lookback_months,fallback,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
11,equal,monthly,-0.0033994308717624,293,普通,2,2,0.0011847412260063,0.00347682727489065,-0.0045841720977687,-2.8693446274522763,False,fallback=equal、cadence=monthly,3,-0.0031073898091701665,0.004292131035176467
11,equal,quarterly,-0.0073632372159051,116,普通,2,2,-0.0031073898091701665,-0.0009794661058026997,-0.004255847406734934,,False,fallback=equal、cadence=quarterly,3,0.0011847412260063,-0.004292131035176467
12,cash,monthly,0.0036967545394055,263,普通,2,2,0.003918666139708034,0.0040296219398593,-0.0002219116003025338,0.9433706285784612,False,fallback=cash、cadence=monthly,3,-0.007093776679590633,0.011012442819298668
12,cash,quarterly,0.0102103946057543,96,普通,2,2,0.008653137525936166,0.0078745089860271,0.0015572570798181341,1.1799644435501628,True,fallback=cash、cadence=quarterly,3,-0.007093776679590633,0.015746914205526798
12,equal,monthly,-0.0008345473188515,283,普通,2,2,-0.0030124575129472663,-0.00410141260999515,0.0021779101940957663,,True,fallback=equal、cadence=monthly,3,-0.007093776679590633,0.004081319166643367
12,equal,quarterly,-0.00565010404873,102,普通,2,2,-0.007093776679590633,-0.00781561299502095,0.0014436726308606337,,True,fallback=equal、cadence=quarterly,3,-0.0030124575129472663,-0.004081319166643367
13,cash,monthly,0.0058761381115117,267,普通,2,2,0.0022997238744215335,0.00051151675587645,0.003576414237090167,2.5551494146182088,True,fallback=cash、cadence=monthly,3,-0.006507248468447967,0.0088069723428695
13,cash,quarterly,0.0073047818386375,99,普通,2,2,0.0073082600625040675,0.00730999917443735,-3.4782238665671122e-06,0.9995240694998783,False,fallback=cash、cadence=quarterly,3,-0.006507248468447967,0.013815508530952035
13,equal,monthly,-0.0048033943482279,284,普通,2,2,-0.0035044425171608666,-0.00285496660162735,-0.0012989518310670338,,False,fallback=equal、cadence=monthly,3,-0.006507248468447967,0.0030028059512871006
13,equal,quarterly,-0.0082679887741368,115,普通,2,2,-0.006507248468447967,-0.00562687831560355,-0.001760740305688833,,False,fallback=equal、cadence=quarterly,3,-0.0035044425171608666,-0.0030028059512871006
14,cash,monthly,-0.0026737210276526,263,普通,2,2,0.0014614469995257336,0.0035290310131149,-0.004135168027178333,-1.8295025604898922,False,fallback=cash、cadence=monthly,3,-0.004907495931103233,0.006368942930628967
14,cash,quarterly,0.0044096037431204,99,普通,2,2,0.0017039968583189666,0.00035119341591825,0.0027056068848014337,2.58780039504919,False,fallback=cash、cadence=quarterly,3,-0.004907495931103233,0.0066114927894221995
14,equal,monthly,-0.0048753858844032,279,普通,2,2,-0.002538689440730034,-0.0013703412188934502,-0.0023366964436731664,,False,fallback=equal、cadence=monthly,3,-0.004907495931103233,0.0023688064903731993
14,equal,quarterly,-0.0056036525824771,111,普通,2,2,-0.004907495931103233,-0.0045594176054163,-0.000696156651373867,,False,fallback=equal、cadence=quarterly,3,-0.002538689440730034,-0.0023688064903731993
15,cash,monthly,0.0011819239147181,260,普通,1,1,-0.0007458985564672499,-0.0026737210276526,0.00192782247118535,,True,fallback=cash、cadence=monthly,3,-0.00322724950958645,0.0024813509531192
15,cash,quarterly,-0.006602395006801,99,普通,1,1,-0.0010963956318403001,0.0044096037431204,-0.005505999374960701,,False,fallback=cash、cadence=quarterly,3,-0.00322724950958645,0.00213085387774615
15,equal,monthly,0.002062711910441,288,普通,1,1,-0.0014063369869811001,-0.0048753858844032,0.0034690488974221,,True,fallback=equal、cadence=monthly,3,-0.00322724950958645,0.0018209125226053499
15,equal,quarterly,-0.0008508464366958,103,普通,1,1,-0.00322724950958645,-0.0056036525824771,0.00237640307289065,,True,fallback=equal、cadence=quarterly,3,-0.0014063369869811001,-0.0018209125226053499
