lookback_months,fallback,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
7,cash,monthly,fallback=cash、cadence=monthly,0.04171241794155,孤峰,孤峰,,11,0.00962283402545025,0.03208958391609975,2,0.03619602614907057,0.005516391792479432,-0.009617122906752899,0.04581314905582347,259
6,cash,monthly,fallback=cash、cadence=monthly,0.0365168330511789,普通,山脊,是,11,0.004006919550735108,0.03250991350044379,2,0.029125238479606533,0.007391594571572367,-0.013337575499982365,0.0424628139795889,275
8,cash,monthly,fallback=cash、cadence=monthly,0.0303588274544828,普通,山脊,是,11,0.014835561384081182,0.015523266070401618,2,0.0334627697556621,-0.0031039423011792987,-0.0017088873623579335,0.03517165711802003,257
9,cash,monthly,fallback=cash、cadence=monthly,0.0283170638709535,普通,山脊,是,11,0.015210279106714958,0.013106784764238542,2,0.024510407669304166,0.0038066562016493347,0.0023591123253984335,0.02215129534390573,257
3,equal,monthly,fallback=equal、cadence=monthly,0.0241137613359305,孤峰,孤峰,,11,0.00502751039790265,0.01908625093802785,2,0.0097590064162971,0.0143547549196334,0.0008277953225229334,0.008931211093774167,353
9,cash,quarterly,fallback=cash、cadence=quarterly,0.0222771148396336,普通,普通,,11,0.015210279106714958,0.007066835732918641,2,0.020618774469963467,0.0016583403696701325,0.0023591123253984335,0.018259662144565033,104
8,equal,monthly,fallback=equal、cadence=monthly,0.0210078382631277,普通,孤峰,是,11,0.014835561384081182,0.006172276879046519,2,0.014495327650841133,0.006512510612286568,-0.0017088873623579335,0.016204215013199068,287
4,cash,monthly,fallback=cash、cadence=monthly,0.0203864410725256,普通,孤峰,是,11,0.0094222606823059,0.010964180390219699,2,0.0142887800336434,0.0060976610388821986,0.0011095351019252333,0.013179244931718166,307
10,cash,quarterly,fallback=cash、cadence=quarterly,0.0200948005132832,普通,普通,,11,0.009037258114858475,0.011057542398424726,2,0.0169386842366459,0.0031561162766373003,-0.0011251273402778333,0.018063811576923734,106
4,equal,monthly,fallback=equal、cadence=monthly,0.0198986570439874,普通,普通,,11,0.0094222606823059,0.010476396361681501,2,0.017309696150818232,0.0025889608931691684,0.0011095351019252333,0.016200161048893,323
8,cash,quarterly,fallback=cash、cadence=quarterly,0.0194844080569736,普通,普通,,11,0.014835561384081182,0.004648846672892419,2,0.013093035492179434,0.006391372564794167,-0.0017088873623579335,0.014801922854537367,106
10,cash,monthly,fallback=cash、cadence=monthly,0.0148553316824762,普通,普通,,11,0.009037258114858475,0.005818073567617725,2,0.015118453531429233,-0.0002631218489530327,-0.0011251273402778333,0.016243580871707065,271
3,cash,monthly,fallback=cash、cadence=monthly,0.0133334345823139,普通,普通,,11,0.00502751039790265,0.00830592418441125,2,0.006568079853022234,0.0067653547292916665,0.0008277953225229334,0.005740284530499301,316
9,equal,monthly,fallback=equal、cadence=monthly,0.0112626111085003,普通,普通,,11,0.015210279106714958,-0.003947667998214659,2,0.013352821962193768,-0.0020902108536934687,0.0023591123253984335,0.010993709636795334,284
7,equal,monthly,fallback=equal、cadence=monthly,0.0112155335808954,普通,普通,,11,0.00962283402545025,0.0015926995554451494,2,0.012070906035705167,-0.000855372454809768,-0.009617122906752899,0.021688028942458068,293
12,cash,quarterly,fallback=cash、cadence=quarterly,0.0102103342286907,孤峰,普通,是,11,0.000616321949635025,0.009594012279055675,2,0.008653069201550966,0.0015572650271397336,-0.007093842362852334,0.0157469115644033,96
3,cash,quarterly,fallback=cash、cadence=quarterly,0.009413928389504,普通,孤峰,是,11,0.00502751039790265,0.004386417991601351,2,0.0029551599997683334,0.0064587683897356675,0.0008277953225229334,0.0021273646772454,130
5,cash,monthly,fallback=cash、cadence=monthly,0.0091464644460907,普通,普通,,11,0.004730129068207583,0.0044163353778831176,2,0.022016579523265065,-0.012870115077174364,-0.0097148726347856,0.03173145215805066,293
3,equal,quarterly,fallback=equal、cadence=quarterly,0.0090453877190923,普通,孤峰,是,11,0.00502751039790265,0.00401787732118965,2,0.0008277953225229334,0.008217592396569367,0.0029551599997683334,-0.0021273646772454,141
11,cash,quarterly,fallback=cash、cadence=quarterly,0.0084441373570209,普通,普通,,11,0.004476323005827791,0.0039678143511931085,2,0.012916424032998267,-0.004472286675977367,-0.0031074708060025665,0.016023894839000834,111
4,cash,quarterly,fallback=cash、cadence=quarterly,0.0079708425999429,普通,普通,,11,0.0094222606823059,-0.0014514180823629996,2,0.004981031442836734,0.002989811157106166,0.0011095351019252333,0.0038714963409115007,131
5,equal,monthly,fallback=equal、cadence=monthly,0.0079166700725368,普通,普通,,11,0.004730129068207583,0.003186541004329217,2,0.010601557793205534,-0.0026848877206687334,-0.0097148726347856,0.020316430427991132,310
10,equal,monthly,fallback=equal、cadence=monthly,0.0077880165149533,普通,普通,,11,0.009037258114858475,-0.001249241599905175,2,0.0052170220316366004,0.0025709944833166992,-0.0011251273402778333,0.006342149371914433,297
13,cash,quarterly,fallback=cash、cadence=quarterly,0.0073047360189413,普通,普通,,11,-0.00010100244574190009,0.0074057384646832,2,0.007308171468162233,-3.4354492209334384e-06,-0.006507329327594899,0.013815500795757132,99
