period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,-0.08,-0.08,-0.08125,-0.08125,-0.09167,USD
+1q,-0.03143,-0.04125,-0.04111,-0.04125,-0.04,USD
0y,-0.26667,-0.30714,-0.3,-0.29286,-0.30143,USD
+1y,-0.14833,-0.15857,-0.16,-0.16429,-0.18,USD
