period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,113550860190,112137000000,117219700000,28,102466000000,0.1082,USD
+1q,154432499960,132850061129,170414000000,20,143756000000,0.0743,USD
0y,477683718840,471800000000,483750000000,36,416161000000,0.1478,USD
+1y,525003468150,483496000000,594863000000,39,477683718840,0.0991,USD
