quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-09-30,1.85,1.76993,0.08,0.0452
2025-12-31,2.84,2.6708,0.17,0.0634
2026-03-31,2.01,1.94275,0.07,0.0346
2026-06-30,2.02,1.89243,0.13,0.0674
