Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-10-29 08:00:00-04:00,3.3,,
2026-07-30 07:00:00-04:00,4.35,4.55,4.65
2026-04-30 07:00:00-04:00,2.79,2.99,7.2
2026-02-12 07:00:00-05:00,1.91,2.29,19.67
2025-10-30 07:00:00-04:00,2.36,2.92,23.71
2025-08-07 07:00:00-04:00,4.02,4.23,5.26
2025-05-08 07:00:00-04:00,2.49,3.0,20.56
2025-02-13 07:00:00-05:00,2.26,2.52,11.31
2024-10-29 07:00:00-04:00,3.11,3.6,15.93
2024-08-01 07:00:00-04:00,3.57,4.01,12.45
2024-05-07 07:00:00-04:00,2.25,3.02,34.04
2024-02-15 07:00:00-05:00,2.37,2.58,8.66
2023-11-02 07:00:00-04:00,3.13,3.25,3.81
2023-07-27 07:00:00-04:00,2.98,3.59,20.58
2023-04-27 07:00:00-04:00,2.16,2.61,21.06
2023-02-16 07:00:00-05:00,2.26,2.65,17.51
2022-11-03 07:00:00-04:00,2.61,2.97,13.65
2022-08-04 07:00:00-04:00,2.67,3.24,21.5
2022-05-05 07:00:00-04:00,1.55,2.05,31.93
2022-02-16 07:00:00-05:00,1.9,2.15,13.33
2021-10-21 07:00:00-04:00,1.86,2.47,32.64
2021-07-22 07:00:00-04:00,1.59,2.23,39.82
2021-04-27 07:00:00-04:00,0.89,1.49,68.07
2021-02-23 07:00:00-05:00,0.79,1.06,34.95
2020-10-27 07:00:00-04:00,0.7,0.94,33.58
2020-07-30 07:00:00-04:00,0.08,1.01,1118.78
2020-04-23 08:00:00-04:00,0.35,0.22,-36.84
2020-02-27 07:00:00-05:00,0.08,0.12,60.0
2019-10-30 07:00:00-04:00,0.39,0.57,47.23
2019-08-01 07:00:00-04:00,0.45,0.59,30.28
2019-05-07 07:00:00-04:00,0.24,0.36,47.95
2019-02-28 07:00:00-05:00,-0.23,-0.1,56.9
2018-11-08 07:00:00-05:00,0.05,0.15,225.48
2018-08-07 07:00:00-04:00,0.31,0.53,72.21
2018-05-08 07:00:00-04:00,0.14,0.15,9.09
2018-02-28 07:00:00-05:00,-0.32,-0.27,15.13
2017-11-07 07:00:00-05:00,-0.05,0.02,136.88
2017-08-09 07:00:00-04:00,0.16,0.23,44.69
2017-05-10 07:00:00-04:00,0.03,0.11,224.71
2017-03-01 07:00:00-05:00,-0.35,-0.58,-66.17
2016-11-09 07:00:00-05:00,-0.04,-0.03,39.33
2016-08-03 07:00:00-04:00,0.15,0.13,-13.77
2016-05-10 07:00:00-04:00,0.06,0.07,27.27
2016-02-29 16:00:00-05:00,-0.33,-0.72,-115.73
2015-11-05 07:00:00-05:00,0.08,-0.26,-406.73
2015-07-30 07:00:00-04:00,0.25,0.31,22.94
2015-05-08 07:00:00-04:00,-0.01,0.06,500.0
2015-02-26 16:00:00-05:00,-0.3,-0.37,-22.35
2014-10-27 16:00:00-04:00,0.14,0.3,109.79
2014-07-21 19:00:00-04:00,0.31,0.36,17.26
2014-05-01 06:00:00-04:00,0.17,0.14,-15.15
2014-02-20 08:00:00-05:00,-0.23,-0.2,12.2
2013-10-30 16:00:00-04:00,0.17,0.18,4.65
2013-07-24 16:00:00-04:00,0.63,0.48,-24.17
2013-04-24 16:00:00-04:00,0.34,0.35,2.94
2013-02-20 16:00:00-05:00,,0.04,998.9
2012-10-24 16:00:00-04:00,0.43,0.49,15.29
2012-07-25 16:00:00-04:00,0.63,0.68,8.15
2012-04-25 16:00:00-04:00,0.26,0.32,23.87
2012-02-23 16:00:00-05:00,0.04,0.06,42.86
2011-10-27 16:00:00-04:00,0.32,0.33,3.85
2011-07-27 16:00:00-04:00,0.44,0.61,39.91
2011-04-28 16:00:00-04:00,0.19,0.24,23.87
2011-02-24 16:00:00-05:00,0.02,0.05,127.27
2010-11-04 16:00:00-04:00,0.24,0.25,4.17
2010-08-05 16:00:00-04:00,0.23,0.37,65.78
2010-05-06 12:00:00-04:00,0.01,0.09,575.17
2010-02-25 16:00:00-05:00,-0.16,-0.13,18.75
2009-11-05 16:00:00-05:00,-0.08,0.01,112.82
2009-08-06 16:00:00-04:00,-0.21,-0.13,39.25
2009-05-07 16:00:00-04:00,-0.28,-0.27,2.17
2009-02-19 16:00:00-05:00,-0.56,-0.39,30.6
2008-11-12 16:00:00-05:00,0.02,-0.53,-3633.33
2008-08-07 16:00:00-04:00,0.05,0.06,25.0
2008-05-07 16:00:00-04:00,0.1,0.09,-9.09
2008-02-19 16:00:00-05:00,0.44,0.45,2.27
2007-10-31 16:00:00-04:00,0.63,0.66,4.93
2007-07-26 16:00:00-04:00,0.5,0.58,15.28
2007-05-03 16:00:00-04:00,0.24,0.31,25.0
2007-02-20 16:00:00-05:00,0.22,0.26,17.51
2006-11-02 16:00:00-05:00,0.21,0.27,28.64
2006-08-03 16:00:00-04:00,0.12,0.2,58.54
2006-05-04 16:00:00-04:00,0.07,0.09,16.44
