period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,66004800,65700000,66224000,5,27955000,1.3611,USD
+1q,77450800,74854000,80000000,5,23041000,2.3614,USD
0y,217978200,215591000,220500000,5,88326000,1.4678999,USD
+1y,460552000,431960000,495000000,5,217978200,1.1128,USD
