period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,108972821930,104937000000,116251000000,41,57006000000,0.91160005,USD
+1q,124305771180,117290260810,138490000000,38,68127000000,0.8246,USD
0y,410857693560,403206319550,424351000000,44,215938000000,0.90269995,USD
+1y,665407051520,416398000000,778471000000,56,410857693560,0.6196,USD
