period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,169120990,164100000,173274000,17,173970000,-0.0279,USD
+1q,285923220,257000000,301900000,15,225220000,0.26950002,USD
0y,819162170,804000000,849100000,19,709919000,0.1539,USD
+1y,968856690,895000000,1100072000,19,819162170,0.18270001,USD
