period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,2.46983,2.36188,2.34245,2.33883,2.33883,USD
+1q,2.74567,2.67496,2.65454,2.64729,2.64729,USD
0y,9.28846,9.00449,8.95389,8.93743,8.92428,USD
+1y,15.30598,13.01021,12.81483,12.71023,12.60105,USD
