period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,1003181830,998679520,1005800000,12,996301000,0.0069,USD
+1q,995714310,974536980,1017500000,12,957640000,0.0398,USD
0y,4100524120,4074141490,4120200000,13,4040647000,0.0148,USD
+1y,4201049630,4088000000,4288000000,13,4100524120,0.024500001,USD
