period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,-0.08,-0.09,-0.07,-0.1808,9,0.5575,USD
+1q,-0.03143,-0.04,-0.02,-0.06,7,0.47619998,USD
0y,-0.26667,-0.42,-0.22,-0.8516,6,0.6869,USD
+1y,-0.14833,-0.27,-0.1,-0.26667,6,0.4438,USD
