symbol,report_date,eps,tailing_eps,update_time
AAPL,2017-12-31,0.9725,2.4325,2026-05-16
AAPL,2018-03-31,0.6825,2.59,2026-05-16
AAPL,2018-06-30,0.585,2.7575,2026-05-16
AAPL,2018-09-30,0.7275,2.9675,2026-05-16
AAPL,2018-12-31,1.0457,3.0407,2026-05-16
AAPL,2019-03-31,0.6149,2.9731,2026-05-16
AAPL,2019-06-30,0.5457,2.9338,2026-05-16
AAPL,2019-09-30,0.7569,2.9632,2026-05-16
AAPL,2019-12-31,1.2479,3.1654,2026-05-16
AAPL,2020-03-31,0.6385,3.189,2026-05-16
AAPL,2020-06-30,0.646,3.2893,2026-05-16
AAPL,2020-09-30,0.7344,3.2668,2026-05-16
AAPL,2020-12-31,1.6802,3.6991,2026-05-16
AAPL,2021-03-31,1.3958,4.4564,2026-05-16
AAPL,2021-06-30,1.2957,5.1061,2026-05-16
AAPL,2021-09-30,1.2354,5.6071,2026-05-16
AAPL,2021-12-31,2.0963,6.0232,2026-05-16
AAPL,2022-03-31,1.5247,6.1521,2026-05-16
AAPL,2022-06-30,1.1955,6.0519,2026-05-16
AAPL,2022-09-30,1.2855,6.102,2026-05-16
AAPL,2022-12-31,1.8801,5.8858,2026-05-16
AAPL,2023-03-31,1.5246,5.8857,2026-05-16
AAPL,2023-06-30,1.2603,5.9505,2026-05-16
AAPL,2023-09-30,1.4647,6.1297,2026-05-16
AAPL,2023-12-31,2.1774,6.427,2026-05-16
AAPL,2024-03-31,1.5284,6.4308,2026-05-16
AAPL,2024-06-30,1.3974,6.5679,2026-05-16
AAPL,2024-09-30,0.9668,6.07,2026-05-16
AAPL,2024-12-31,2.3979,6.2905,2026-05-16
AAPL,2025-03-31,1.6458,6.4079,2026-05-16
AAPL,2025-06-30,1.5677,6.5782,2026-05-16
AAPL,2025-09-30,1.8479,7.4593,2026-05-16
AAPL,2025-12-31,2.8424,7.9038,2026-05-16
AAPL,2026-03-31,2.0086,8.2666,2026-05-16
AAPL,2026-06-30,2.0244,8.7233,2026-08-02
