period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,2.46983,2.34,2.7,1.3,42,0.89989996,USD
+1q,2.74567,2.56,3.117,1.62,39,0.6949,USD
0y,9.28846,9.01,9.71,4.77,45,0.9473,USD
+1y,15.30598,9.8,18.746,9.28846,52,0.64779997,USD
