事件表,版本,年份段,進場格,期,表,格,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,總表(三格進場),全部,579,7,0,461,高,0.5302245250431779,0.012257490594961751,0.0070506767349434,307,272,0.10289615545793705,-0.09004423776141111,0.0702328725420002,-0.06806626450788406,1.142728929868666,1.0318308643757759,0.012257490594961742,8.673617379884035e-16,0.7289663457738649,0.00880270306807405,6,0.49898795846468835,29,1.4425940060598874,0.006205455626736975,-0.005711142165089701
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸一 行業殺 vs 個別殺,個別殺,472,3,0,399,高,0.527542372881356,0.012247449896142298,0.00650342247664885,249,223,0.10425259136178584,-0.0904847484219978,0.0701935060715213,-0.0684353860406796,1.1521565034980075,1.0256902186508692,0.012247449896142307,8.673617379884035e-16,0.7289663457738649,0.00800440567954578,5,0.5215894877355269,24,1.4845984407452428,0.005922042277448696,-0.006253046647210468
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸一 行業殺 vs 個別殺,行業殺,107,4,0,76,高,0.5420560747663551,0.01230178227573541,0.0107321332258456,58,49,0.09707283580175861,-0.08803946475506753,0.074265849810997,-0.0660910279181868,1.102605928736875,1.123690342703244,0.012301782275735418,8.673617379884035e-16,0.5261583729519421,0.001161110110462252,2,0.7318526456125526,6,1.391063869566933,0.0033615225690410123,-0.005096571643436956
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸二 200 日線位置,線下 10% 內,99,2,0,91,中,0.42424242424242425,-0.00464910873473771,-0.0251696185446136,42,57,0.11130175508282873,-0.09008658733715509,0.10162463848393061,-0.0694682939582678,1.2354975182517953,1.4628923886482705,-0.004649108734737707,2.6020852139652106e-16,0.5261583729519421,-0.015560681532861076,1,-1.1431720235337643,5,-3.1427628141514097,-0.010065511609091584,-0.02028463110358055
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸二 200 日線位置,線下逾 10%,410,2,0,337,高,0.5780487804878048,0.0183638565971054,0.01516789837217895,237,173,0.09883069387025908,-0.091871059204845,0.0666108452418152,-0.0656241967150587,1.075754374942997,1.0150348282515447,0.018363856597105405,3.469446951953614e-16,0.7225226504839646,0.014076172880847553,5,0.3677151536868409,21,0.9824083728206303,0.01175453624925742,0.00034048984247042255
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸二 200 日線位置,線之上,70,3,0,62,中,0.4,0.00040239449155244635,-0.0210041134389349,28,42,0.12469898445915957,-0.08246199882018565,0.0777081934352017,-0.07591828413606674,1.512199391759527,1.02357678811506,0.000402394491552438,8.348356728138384e-16,0.7289663457738649,-0.019385768451605757,1,25.879591192836575,4,56.1327670878781,-0.01015650335311875,-0.02352967461537017
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸二 250 日線位置(緩衝對照),線下 10% 內,108,3,0,102,高,0.4537037037037037,0.009249810084488903,-0.012931986990922649,49,59,0.11984974960082317,-0.08260437697144972,0.1058552080504673,-0.0684353860406796,1.4508886089927953,1.5467905446978043,0.009249810084488906,3.469446951953614e-16,0.7225226504839646,-0.0023754616848397957,2,1.0136783611150417,6,1.9038010820304503,-0.0001289094547053655,-0.008851752384286484
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸二 250 日線位置(緩衝對照),線下逾 10%,376,0,0,312,高,0.5797872340425532,0.016694530207348988,0.01516789837217895,218,158,0.09647637005587331,-0.0933842108494757,0.06595513926941174,-0.06620298933398655,1.0331122271984694,0.9962562103755702,0.01669453020734899,3.469446951953614e-16,0.5752410910143657,0.012529031617123272,4,0.33293360768214975,19,1.0638662108915453,0.011256105843705604,-0.0011229617969079656
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸二 250 日線位置(緩衝對照),線之上,95,4,0,83,中,0.42105263157894735,-0.0018845872905807132,-0.0170464232001789,40,55,0.11711583307414904,-0.0884303475558387,0.0905704481676026,-0.0694682939582678,1.324385081718661,1.3037666971066204,-0.0018845872905807123,8.673617379884035e-17,0.7289663457738649,-0.0165081864409929,1,-4.071623529388189,5,-10.348614245327733,-0.009659597216798217,-0.0225756460709172
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,總表(三格進場),全部,563,23,0,447,高,0.5168738898756661,0.029886348695716866,0.0065692937319077,291,272,0.1922962810850189,-0.1438683951472496,0.138848621065859,-0.12583023453989214,1.3366124011337115,1.1034599241872955,0.02988634869571688,1.3877787807814457e-15,1.5379776085719985,0.02402306253875849,6,0.32878717841485977,29,1.0779384157380643,0.020276187692756374,-0.002455791945600682
