流動性口徑,負債閘口徑,年份段,組,期,主口徑,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
不含流動性閘,A(資料不足當不過),全期 2010-2026,4b 只不過市值閘(低於 1 億),1m,False,445,7,0,183,-0.0939596463468245,0.020224719101123594,0.0,0.011235955056179775,2.9453657337117423,高,0.501123595505618,0.0001800936544085,0.03795423480067649,-0.0707348201322908,0.0933553922399528,1.7758063502293366,1.3152527457739367,5.0,0.487658737194949,23.0,1.0791209784697056,0.019666492411425478,-0.0031666455131559653,398.0,0.11685393258426967,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4b 只不過市值閘(低於 1 億),3m,False,434,18,0,179,-0.14560535622599735,0.12442396313364056,0.004608294930875576,0.03686635944700461,3.602384347613529,高,0.5092165898617511,0.0040676920261237,0.06388079055177162,-0.1263947433075203,0.14507538094885375,1.7597766739528469,1.104748641628228,5.0,0.3993265754998776,22.0,0.9145075755822414,0.038818713421212944,0.005752947736818891,389.0,0.11981566820276497,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4b 只不過市值閘(低於 1 億),6m,False,408,44,0,165,-0.2077982473977724,0.27450980392156865,0.014705882352941176,0.08333333333333333,7.7080151482327555,高,0.4166666666666667,-0.054890413908201846,0.08113407263784418,-0.22150922919694788,0.18320708281299647,2.272020058679938,1.3102818077407434,5.0,0.6422419004836378,21.0,1.3224992403837574,0.029386500313246997,-0.027585519721802867,364.0,0.12745098039215685,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4b 只不過市值閘(低於 1 億),12m,False,371,81,0,151,-0.258474252684172,0.3935309973045822,0.0215633423180593,0.1778975741239892,41.75516400916379,高,0.42318059299191374,-0.1038753971694051,0.3207879317977511,-0.33622598390531505,0.25696678217809943,3.787071103373456,1.1237273800223644,4.0,0.6559730038016792,19.0,1.0344447589762746,0.11156253920442043,-0.01164588287074904,331.0,0.14016172506738545,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,5 不過兩閘(補完),1m,False,5225,67,10,1766,-0.1123254101349816,0.07272727272727272,0.001722488038277512,0.016842105263157894,5.323425666899727,高,0.46086124401913875,-0.0126091972453709,0.01040105117803772,-0.1024042827312369,0.0916261341849737,1.3503485249211802,1.1017090641594365,53.0,1.1470916751681095,262.0,3.1026730529559607,-0.0015455857532334686,-0.02302454209754903,2281.0,0.08669856459330144,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,5 不過兩閘(補完),3m,False,4999,293,10,1688,-0.1793831244229187,0.21764352870574113,0.0068013602720544105,0.0638127625525105,8.563105696593869,高,0.4450890178035607,-0.0328643614724596,0.035437902947577635,-0.18838670449578798,0.1512729194880029,1.640406410094969,1.0679092820384284,50.0,0.7468583475359977,250.0,1.9033247683170034,0.009061441857088615,-0.03369712895627193,2225.0,0.09061812362472495,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,5 不過兩閘(補完),6m,False,4688,604,10,1581,-0.24294027076567182,0.3553754266211604,0.01727815699658703,0.15678327645051193,9.131117802394195,高,0.43813993174061433,-0.0620799302778239,0.053977076040760304,-0.27643644778219156,0.21080369433662985,1.7164852025506476,1.0551888305929336,47.0,0.7307654066754317,235.0,1.8514574120913785,0.01467966856173493,-0.04838460425971565,2130.0,0.0966296928327645,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,5 不過兩閘(補完),12m,False,4206,1086,10,1448,-0.3161290754458823,0.48335710889205896,0.0442225392296719,0.2717546362339515,71.57174139555339,高,0.42368045649072755,-0.0805907036073425,0.13242644433472836,-0.38320063055917053,0.30166877083412585,2.2350734143724726,1.2148252800274215,43.0,0.6526574314339825,211.0,1.3226839071294956,0.046472451981105715,-0.04498881042518588,1977.0,0.10770328102710414,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,6 三閘全不過,1m,False,2444,44,4,937,-0.1257900461512817,0.10310965630114566,0.0012274959083469722,0.0220949263502455,7.606475572469272,高,0.4611292962356792,-0.018466984971509053,0.02799403189666889,-0.12572634142287872,0.10849910644835407,1.5793172043539416,1.047123233419418,25.0,0.7944850414400652,123.0,1.8182559962529656,0.00581265067955105,-0.024120189236180718,1219.0,0.05973813420621931,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,6 三閘全不過,3m,False,2293,195,4,874,-0.2118380245097267,0.2882686436982119,0.0056694286960314,0.10423026602703882,16.6471220607926,高,0.4348015699956389,-0.0491896079330997,0.07307038386263687,-0.2183047544068413,0.1780885967779655,2.029479369500033,1.1795203788532693,23.0,0.7094862632552388,115.0,1.456137418808889,0.021443035219903494,-0.035089991967352525,1167.0,0.06367204535542957,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,6 三閘全不過,6m,False,2099,389,4,785,-0.2795698860410449,0.4263935207241544,0.020009528346831826,0.2053358742258218,36.4684668439731,高,0.41781800857551216,-0.0800756198094189,0.1417197492031218,-0.30346130204227745,0.26348805877977954,2.5223839505343744,1.3331395857875887,21.0,0.592511265674784,105.0,1.1709270539326666,0.05833280721139045,-0.02549931224325633,1098.0,0.06955693187232015,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,6 三閘全不過,12m,False,1822,666,4,675,-0.3633801144993595,0.5482985729967069,0.0433589462129528,0.3106476399560922,25.74713947273373,高,0.4478594950603732,-0.08716058037907976,0.28544746958344197,-0.3950072089297556,0.4523991278138204,2.899596001947338,1.5033686750103545,19.0,0.43136099864849237,92.0,0.8912098313083174,0.16402705473375886,0.03270529848993247,982.0,0.0801317233809001,,,,
不含流動性閘,A(資料不足當不過),建表年份 2010-2021,0 全部觸發(不分閘),1m,False,6038,0,0,1960,-0.09940243265362494,0.07320304736667771,0.0011593242795627692,0.022689632328585625,2.745529689560036,高,0.48443193110301425,-0.0045448415379745,0.004300915063504999,-0.08095997519529192,0.0737049310787137,1.1469944307335762,0.9858603509546174,61.0,1.9745797540009835,302.0,5.367533918218979,-0.004234363173450315,-0.019773389370180108,2356.0,0.27509108976482277,,,,
不含流動性閘,A(資料不足當不過),建表年份 2010-2021,0 全部觸發(不分閘),3m,False,6038,0,0,1960,-0.15182984901863933,0.17671414375621067,0.002649884067572044,0.055978800927459424,14.682618901303856,高,0.485591255382577,-0.007921303068438999,0.03519792847255806,-0.14305861934115918,0.14205092159571742,1.4903426640396313,1.0606982773386253,61.0,0.646553416189782,302.0,1.4929742904826937,0.012567553585881474,-0.01826523823157215,2356.0,0.27509108976482277,,,,
