entity_id,primary_ticker,name,trigger_date,entry_date,exit_date,entry_close,entry_adj,exit_close,exit_adj,股票總回報,大市總回報,股票價格回報,大市價格回報,超額_總回報口徑,超額_價格口徑,口徑差,存檔超額,重算對照差,股票除息因子,大市除息因子,窗內最大單日升,窗內最大單日跌,窗內交易日,窗內代號,窗內代號數
0000001750,AIR,AAR CORP,2020-03-10,2020-03-11,2021-03-11,28.0,27.894737243652344,44.790000915527344,44.790000915527344,0.6056792549899226,0.46114279156093096,0.5996428898402624,0.4343563922961686,0.09892014953212347,0.11523391148241569,-0.016313761950292216,0.0989201495321234,6.938893903907228e-17,0.0037735704562555927,0.01867485612964126,0.3644067822391368,-0.3375438347111125,253,AIR,1
0000001750,AIR,AAR CORP,2021-08-23,2021-08-24,2022-08-24,33.18000030517578,33.18000030517578,45.939998626708984,45.939998626708984,0.3845689633566025,-0.06343815235518446,0.3845689633566025,-0.0765675998381643,0.4783529425615578,0.49937230176670266,-0.02101935920514486,0.4783529425615578,0.0,0.0,0.014218092716563602,0.07485609259797399,-0.07933537363225318,253,AIR,1
0000002488,AMD,ADVANCED MICRO DEVICES INC,2022-04-12,2022-04-13,2023-04-17,97.73999786376953,97.73999786376953,89.87000274658203,89.87000274658203,-0.08051969806830506,-0.05043159269622688,-0.08051969806830506,-0.06625159657786761,-0.03168608511050941,-0.01528045610374884,-0.01640562900676057,-0.0316860851105094,-6.938893903907228e-18,0.0,0.01694246953854095,0.14269030896247625,-0.13868828384721643,253,AMD,1
0000002488,AMD,ADVANCED MICRO DEVICES INC,2022-10-12,2022-10-13,2023-10-16,58.939998626708984,58.939998626708984,106.45999908447266,106.45999908447266,0.8062436641494886,0.21021996726195802,0.8062436641494886,0.19146380055878431,0.4924920369938983,0.5159870264647393,-0.023494989470840943,0.4924920369938983,0.0,0.0,0.01574212048605861,0.14269030896247625,-0.0922033208527272,253,AMD,1
0000002488,AMD,ADVANCED MICRO DEVICES INC,2024-06-04,2024-06-05,2025-06-09,166.1699981689453,166.1699981689453,121.7300033569336,121.7300033569336,-0.26743693387316225,0.13586393606231995,-0.26743693387316225,0.121589039675992,-0.3550608986967211,-0.3468525099545705,-0.008208388742150574,-0.3550608986967211,0.0,0.0,0.01272738577264576,0.23820480081192907,-0.10616537682095861,253,AMD,1
0000002488,AMD,ADVANCED MICRO DEVICES INC,2024-12-18,2024-12-19,2025-12-23,118.87999725341797,118.87999725341797,214.89999389648438,214.89999389648438,0.8077052394136532,0.19157394697452457,0.8077052394136532,0.1737929544953265,0.5170734841958586,0.5400546003369717,-0.02298111614111309,0.5170734841958586,0.0,0.0,0.015148321014452737,0.23820480081192907,-0.08896655122538999,253,AMD,1
0000002809,AEM,AGNICO EAGLE MINES LTD,2023-08-01,2023-08-02,2024-08-02,48.619998931884766,45.84648132324219,75.12000274658203,72.98506164550781,0.5919446714116212,0.2004397749921638,0.5450432825353002,0.1838802537786799,0.32613455883033615,0.3050671954396309,0.02106736339070525,0.3261345588303361,5.551115123125783e-17,0.030356035592322916,0.013987496759600093,0.0648113333255742,-0.07118943254022281,253,AEM,1
0000002969,APD,"Air Products & Chemicals, Inc.",2021-02-05,2021-02-08,2022-02-07,253.63999938964844,221.3026885986328,254.3800048828125,226.71926879882812,0.02447588971690773,0.16059000987642058,0.002917542560104014,0.14532277939318394,-0.11728010667092181,-0.12433633504480646,0.007056228373884643,-0.1172801066709218,-1.3877787807814457e-17,0.021495632733447456,0.013330067958069902,0.035885771794496035,-0.06337228442220777,253,APD,1
0000002969,APD,"Air Products & Chemicals, Inc.",2024-02-06,2024-02-07,2025-02-10,215.3800048828125,201.8196258544922,310.54998779296875,298.7447509765625,0.4802561926853999,0.22989063346349137,0.44187009356758944,0.214314330805764,0.20356733550921913,0.18739444721106913,0.01617288829815,0.2035673355092191,2.7755575615628914e-17,0.026622439350852067,0.012827241071421636,0.09523638100365894,-0.05461937868714106,253,APD,1
0000003453,MATX,"Matson, Inc.",2016-05-05,2016-05-06,2017-05-08,32.7599983215332,27.23847198486328,32.04999923706055,27.199186325073242,-0.001442285742455418,0.1890429992261562,-0.021672744836680025,0.16498153917952907,-0.16020050165770439,-0.16022080843243713,2.030677473274789e-05,-0.1602005016577043,-8.326672684688674e-17,0.02067862158337541,0.020653941060364778,0.07147500083606317,-0.1584663824555016,253,MATX,1
