版本,年份段,進場格,期,表,樣本N,未成熟,無進場點,資料不足,可信度,中位超額,p25超額,p75超額,平均超額,中位期內最大跌幅,觸及負33比例,最大單筆超額,剔走前三大贏家後的平均超額,2020年觸發佔比,勝率,勝率下限,勝率上限,平均超額下限,平均超額上限,賠率,簇數,industry_kill,pos_sma200,pos_sma250
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,1m,總表(三格進場),1747,16,0,6,高,-0.0012775070489561,-0.0690105081123774,0.0739476183442091,0.0044586845796983875,-0.084462323241419,0.03777904979965655,0.7289663457738649,0.0032174319421542754,0.11333714939896966,0.4962793360045793,0.47108689861486763,0.5210652998414523,-0.0020741631439833604,0.010696325085914652,1.0875332390213914,1136.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,3m,總表(三格進場),1681,82,0,6,高,-0.0002054996003511,-0.132031708130653,0.1319143898135559,0.015282670021460302,-0.1309115714487038,0.12849494348602022,1.5379776085719985,0.012996165523289416,0.11778703152885188,0.4997025580011898,0.4738714583764672,0.526200680630445,0.0034005948100849755,0.02727357491455196,1.0009635157115855,1097.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,6m,總表(三格進場),1567,196,0,6,高,-0.0425342887005777,-0.19622566282659284,0.1502357073074923,0.007285750965029327,-0.1785189147516517,0.2393107849393746,3.5697477446936787,0.001000895079405027,0.1263560944479898,0.4345883854499043,0.4072482818878953,0.46230932011587905,-0.011138857105032306,0.027792665097595717,1.0320330874475494,1036.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,12m,總表(三格進場),1426,337,0,6,高,-0.04827569352452135,-0.30749278119845114,0.2522843181347988,0.030538872245737387,-0.25419588584486935,0.38359046283309955,11.705683397360184,0.01749993404713516,0.1388499298737728,0.4537166900420757,0.42256238236974525,0.48595060721530786,-0.003954568546199257,0.06645729855338578,0.9936646693241592,958.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,買方回來,1m,總表(三格進場),1701,17,51,0,高,-0.0039036098212706,-0.0759333161202308,0.0624101909235021,-0.0016094255332459594,-0.0791896578144436,0.025279247501469725,0.7141447229496054,-0.0026710759238644296,0.1164021164021164,0.48736037624926515,0.4627035278154681,0.5115019713395085,-0.007963659892740138,0.004744722831043245,0.882334125356873,1112.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,買方回來,3m,總表(三格進場),1617,101,51,0,高,-0.0140193244830832,-0.1362094258972478,0.1089464225453971,0.0011802719950728977,-0.1305566134390648,0.10946196660482375,3.396805041048303,-0.0034342981564185163,0.12244897959183673,0.46691403834260975,0.4403779872506529,0.4930732656876258,-0.011791220243527021,0.014817483269416072,0.9397895768888093,1071.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,買方回來,6m,總表(三格進場),1512,206,51,0,高,-0.05250731519827405,-0.21208241377921122,0.14316554522168295,-0.007306069267635186,-0.18080423601081194,0.21957671957671956,3.32550096723088,-0.0124973234711873,0.13095238095238096,0.4246031746031746,0.3965935454923505,0.45150716787848455,-0.02559252789064501,0.010909275582885278,0.9428898665703227,1016.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,買方回來,12m,總表(三格進場),1396,322,51,0,高,-0.0647243850506862,-0.2918254136117937,0.2089536947150263,0.020732425530799146,-0.24129311308751875,0.3667621776504298,7.021457922676005,0.010297258047559642,0.14183381088825214,0.43123209169054444,0.40099706253450046,0.4612023829051313,-0.010766421727348433,0.05368943905744192,1.0285766396069154,942.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,跌勢衰竭,1m,總表(三格進場),1717,26,26,0,高,0.0028442532895385,-0.0698283845905594,0.0756611216270575,0.00858305808089061,-0.0716236890958126,0.023878858474082703,0.7576747152682597,0.007392190290002655,0.11531741409435062,0.5101921956901573,0.483099376114082,0.5364843459014985,0.0016971674009669088,0.015823382649319102,1.027168473698924,1117.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,跌勢衰竭,3m,總表(三格進場),1655,88,26,0,高,-0.0039962355524151,-0.1306404332729934,0.12011018484442454,0.013548940833007941,-0.1213707711248643,0.1027190332326284,3.1938156933140016,0.008742329239729483,0.11963746223564954,0.49244712990936557,0.4672557933485924,0.5185874107213826,0.00028512380672517074,0.026806078396835093,0.9504829893492569,1085.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,跌勢衰竭,6m,總表(三格進場),1537,206,26,0,高,-0.044960793238055,-0.2084051988068472,0.1487116323892179,0.0030154256290423893,-0.1757635421297194,0.21470396877033182,5.028545540148772,-0.0036367567200246294,0.12882238126219908,0.43201040988939493,0.4061267783437253,0.4583896632284526,-0.016670564206670815,0.023575958299815646,0.9511066924578006,1025.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,跌勢衰竭,12m,總表(三格進場),1419,324,26,0,高,-0.0472426735653188,-0.28854569189002144,0.2344462683480974,0.04240462392355297,-0.2406088717702564,0.36222692036645526,9.987976510363495,0.02902403194662029,0.13953488372093023,0.44326990838618746,0.4132271917734049,0.47284613355262534,0.006399233667556893,0.07908367831428248,1.0745852182054663,952.0,,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,1m,軸一 行業殺 vs 個別殺,1403,6,0,5,高,-0.0021295413305435,-0.06960667967567015,0.0725735742458555,0.0035107225489228616,-0.0829469013518812,0.036350677120456164,0.7289663457738649,0.001962445058944827,0.0955096222380613,0.4932287954383464,0.46538672850144663,0.5186489675455481,-0.0036803343080519433,0.009936337475558946,1.0722385609466332,990.0,個別殺,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,1m,軸一 行業殺 vs 個別殺,2,0,0,0,"低(樣本不足,只報樣本數)",,,,,,,,,0.0,,,,,,,,行業不明,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,1m,軸一 行業殺 vs 個別殺,342,10,0,1,高,0.0032848070857485,-0.06276585977857604,0.08156135001175163,0.008915039183136013,-0.0878654329334904,0.043859649122807015,0.5261583729519421,0.004722425112680562,0.1871345029239766,0.5087719298245614,0.4519999530912844,0.569063813892074,-0.0058349856275613475,0.02384404211630095,1.2221997359151342,192.0,行業殺,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,3m,軸一 行業殺 vs 個別殺,1359,50,0,5,高,-0.0053421980012851,-0.14532634534254568,0.12586682408554833,0.006330663783754291,-0.1342620737593274,0.13980868285504047,1.5379776085719985,0.003641953638865396,0.09860191317144959,0.48859455481972036,0.4615936699347173,0.5166626395240901,-0.007503333245424565,0.01989072407723032,0.9050878605349489,960.0,個別殺,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,3m,軸一 行業殺 vs 個別殺,2,0,0,0,"低(樣本不足,只報樣本數)",,,,,,,,,0.0,,,,,,,,行業不明,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,3m,軸一 行業殺 vs 個別殺,320,32,0,1,高,0.0174901256636419,-0.0884378022059268,0.16774098814709332,0.05352212922320916,-0.12126416316835756,0.08125,1.2201125721561443,0.045083237504927376,0.2,0.546875,0.4822663373860182,0.6103510044043399,0.028156364694362876,0.0814044985044055,1.383899607471604,181.0,行業殺,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,6m,軸一 行業殺 vs 個別殺,1277,132,0,5,高,-0.0496627280731404,-0.2135804989928968,0.1366567590470286,-0.00835498353761365,-0.1854349540546318,0.25998433829287393,3.5697477446936787,-0.015343551626843898,0.10493343774471417,0.41895066562255284,0.3893204300068651,0.448136222828772,-0.02934998384459903,0.012598191993154031,0.9619567620751588,911.0,個別殺,,
"A(淨現金 N2, gatefix)",全期 2010-2026,觸發日即買,6m,軸一 行業殺 vs 個別殺,1,1,0,0,"低(樣本不足,只報樣本數)",,,,,,,,,0.0,,,,,,,,行業不明,,
