閘,條件,格,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
負債閘,其他兩閘皆過,過負債閘,1m,1747,16,6,679,-0.084462323241419,0.03777904979965655,0.0005724098454493417,0.009730967372638809,0.7289663457738649,高,0.4962793360045793,-0.0012775070489561,0.0044586845796983875,-0.0690105081123774,0.0739476183442091,1.1141853259377148,1.0875332390213914,18,1.2056139283459069,88,3.5187447003011787,-0.000926311791496459,-0.011825987587423765,1136,0.11333714939896966,,,,
負債閘,其他兩閘皆過,過負債閘,3m,1681,82,6,662,-0.1309115714487038,0.12849494348602022,0.000594883997620464,0.026174895895300417,1.5379776085719985,高,0.4997025580011898,-0.0002054996003511,0.015282670021460302,-0.132031708130653,0.1319143898135559,1.1976178512924107,1.0009635157115855,17,0.5952745981934523,85,2.025854326184233,0.006248475775332906,-0.01651276334410266,1097,0.11778703152885188,,,,
負債閘,其他兩閘皆過,過負債閘,6m,1567,196,6,637,-0.1785189147516517,0.2393107849393746,0.0012763241863433313,0.07211231652839821,3.5697477446936787,高,0.4345883854499043,-0.0425342887005777,0.007285750965029327,-0.19622566282659284,0.1502357073074923,1.3813749085039835,1.0320330874475494,16,2.5716513292485113,79,6.826930156060704,-0.011568784342869114,-0.044707480958354195,1036,0.1263560944479898,,,,
負債閘,其他兩閘皆過,過負債閘,12m,1426,337,6,602,-0.25419588584486935,0.38359046283309955,0.010518934081346423,0.17040673211781207,11.705683397360184,高,0.4537166900420757,-0.04827569352452135,0.030538872245737387,-0.30749278119845114,0.2522843181347988,1.427060332120549,0.9936646693241592,15,1.0352489454263267,72,2.5832030355964273,-0.0010879066596106816,-0.05092024332106483,958,0.1388499298737728,0.42075018574235834,0.4862529276624567,-0.005178431985017098,0.06466383415930221
負債閘,其他兩閘皆過,不過負債閘,1m,3210,22,2,1077,-0.0818789650518046,0.055763239875389406,0.0006230529595015577,0.019314641744548288,1.7398342065474424,高,0.5024922118380062,0.00053356370517775,0.0010554853506859097,-0.07460715859922225,0.0682919710313392,1.011455350367543,0.9036658709170484,33,5.698572352901645,161,16.08866594547308,-0.0050107870517084934,-0.016766818442950807,1799,0.15233644859813084,,,,
負債閘,其他兩閘皆過,不過負債閘,3m,3106,126,2,1057,-0.13371533275002614,0.13425627817128138,0.00128783000643915,0.037025112685125566,1.8689694140634647,高,0.5,3.951667467675e-05,0.016129909908369232,-0.1239151397522863,0.13493089255924828,1.2117941037651658,1.0892994408302745,32,0.6328009098301762,156,1.9299395502451255,0.005984544854381243,-0.015793053105292297,1761,0.1574372182871861,,,,
負債閘,其他兩閘皆過,不過負債閘,6m,2885,347,2,1007,-0.1860531224894219,0.24124783362218372,0.0034662045060658577,0.08353552859618718,4.383040245156447,高,0.4461005199306759,-0.0329575656287773,0.008072556794127578,-0.200314698402189,0.1600713822263342,1.3277552731814424,1.0821665299903782,29,2.1197357903317853,145,5.924415404819226,-0.009130914652659994,-0.04185632023759586,1672,0.16949740034662045,,,,
負債閘,其他兩閘皆過,不過負債閘,12m,2663,569,2,965,-0.2536242302840127,0.3781449493052948,0.01952684941794968,0.17574164476154713,9.355625301048798,高,0.4558768306421329,-0.043436813416181,0.026660671763344804,-0.2721979212341905,0.24045257163114414,1.3967063970047586,1.0556298977299166,27,1.1046098866177578,134,2.730098209996932,-0.002817536688692557,-0.048569561430760896,1556,0.1836274877957191,0.4308113953162278,0.48282499996803246,0.0007386091044093031,0.053600897702488805
負債閘,不設條件(全體可判),過負債閘,1m,2860,31,8,976,-0.09624384545796866,0.046153846153846156,0.0006993006993006993,0.011188811188811189,1.6731830654544644,高,0.4807692307692308,-0.0050389615763342995,0.008786722091363906,-0.0831135562190394,0.07927106757053705,1.2539529016960527,1.0610039913807348,29,1.0617268095677614,143,2.7891617051181026,-0.0005479322779227165,-0.016548280715140567,1476,0.0951048951048951,,,,
負債閘,不設條件(全體可判),過負債閘,3m,2741,150,8,937,-0.1535312411757602,0.17511856986501276,0.0018241517694272164,0.04341481211236775,8.563105696593869,高,0.4735497993433054,-0.0117743937126959,0.017307424492125686,-0.1671847655738816,0.1369390707303972,1.3099272774822297,0.9361170958874615,28,1.07816002070898,138,2.6864355846091765,-0.0013667099403167954,-0.030735272677731105,1431,0.09923385625684057,,,,
負債閘,不設條件(全體可判),過負債閘,6m,2548,343,8,885,-0.21565623582396348,0.3072998430141287,0.006279434850863423,0.11381475667189953,5.701597369111421,高,0.423861852433281,-0.053125010919304355,0.012428813609558989,-0.24584720409124391,0.16913140056750542,1.477438885532804,1.0141069901592636,26,2.084840120841567,128,5.502954895755084,-0.013622278499947507,-0.058926592689823996,1347,0.10675039246467818,,,,
負債閘,不設條件(全體可判),過負債閘,12m,2300,591,8,824,-0.30000001177375646,0.45956521739130435,0.029130434782608697,0.23869565217391303,11.705683397360184,高,0.4317391304347826,-0.08903691637807265,0.03176475807276581,-0.37184079235400663,0.2620416658844393,1.5267160896593734,0.9930435358159667,23,1.3233924310181866,115,3.233949448955258,-0.01037624478167307,-0.07469564609773924,1246,0.11826086956521739,,,,
負債閘,不設條件(全體可判),不過負債閘,1m,4054,39,3,1258,-0.0881245636790001,0.05969412925505673,0.0007400098667982239,0.01973359644795264,1.7398342065474424,高,0.4955599407992107,-0.0012441222244030498,0.002380473538528985,-0.07984953987816447,0.07196532140388037,1.0642281520221868,0.918726033782598,41,2.8850116081652812,203,8.278039574243186,-0.004533065264364511,-0.018238452928805177,2103,0.14331524420325603,,,,
負債閘,不設條件(全體可判),不過負債閘,3m,3922,171,3,1230,-0.14223374279058604,0.15043345232024477,0.0012748597654258032,0.04538500764915859,16.6471220607926,高,0.4956654767975523,-0.0018577894476426503,0.028139066345320134,-0.13303013070737835,0.14249249829998495,1.3689312382240026,1.0985921396295089,40,0.6435856176838762,197,1.5425511729536259,0.010132508166292143,-0.016074286415215685,2056,0.14813870474247834,,,,
負債閘,不設條件(全體可判),不過負債閘,6m,3648,445,3,1174,-0.19710530554161446,0.2623355263157895,0.005208333333333333,0.10087719298245613,5.019270057208198,高,0.45614035087719296,-0.02827446458048155,0.023793803397926246,-0.20846670016383093,0.18215429381013234,1.4239959591927354,1.0728797479188368,37,0.889243400574867,183,2.4642919082780965,0.00266232348445413,-0.0366811651253817,1955,0.15926535087719298,,,,
負債閘,不設條件(全體可判),不過負債閘,12m,3356,737,3,1112,-0.2628046335102589,0.3966030989272944,0.022943980929678188,0.19427890345649582,9.355625301048798,高,0.4639451728247914,-0.03484388186451425,0.05705381328546804,-0.284525038921846,0.2615022874262456,1.5674974886028419,1.106156569078831,34,0.6069169177288133,168,1.55627523305134,0.022656423465072517,-0.03341012036821191,1818,0.1731227651966627,,,,
現金流閘,其他兩閘皆過,過現金流閘,1m,1747,16,6,679,-0.084462323241419,0.03777904979965655,0.0005724098454493417,0.009730967372638809,0.7289663457738649,高,0.4962793360045793,-0.0012775070489561,0.0044586845796983875,-0.0690105081123774,0.0739476183442091,1.1141853259377148,1.0875332390213914,18,1.2056139283459069,88,3.5187447003011787,-0.000926311791496459,-0.011825987587423765,1136,0.11333714939896966,,,,
現金流閘,其他兩閘皆過,過現金流閘,3m,1681,82,6,662,-0.1309115714487038,0.12849494348602022,0.000594883997620464,0.026174895895300417,1.5379776085719985,高,0.4997025580011898,-0.0002054996003511,0.015282670021460302,-0.132031708130653,0.1319143898135559,1.1976178512924107,1.0009635157115855,17,0.5952745981934523,85,2.025854326184233,0.006248475775332906,-0.01651276334410266,1097,0.11778703152885188,,,,
現金流閘,其他兩閘皆過,過現金流閘,6m,1567,196,6,637,-0.1785189147516517,0.2393107849393746,0.0012763241863433313,0.07211231652839821,3.5697477446936787,高,0.4345883854499043,-0.0425342887005777,0.007285750965029327,-0.19622566282659284,0.1502357073074923,1.3813749085039835,1.0320330874475494,16,2.5716513292485113,79,6.826930156060704,-0.011568784342869114,-0.044707480958354195,1036,0.1263560944479898,,,,
