池,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
過三閘(現行①池),0 全部觸發(不分成因),3m,1681,82,6,662,-0.1309115714487038,0.12849494348602022,0.000594883997620464,0.026174895895300417,1.5379776085719985,高,0.4997025580011898,-0.0002054996003511,0.015282670021460302,-0.132031708130653,0.1319143898135559,1.1976178512924107,1.0009635157115855,17.0,0.5952745981934523,85.0,2.025854326184233,0.006248475775332906,-0.01651276334410266,1097.0,0.11778703152885188,,,,
過三閘(現行①池),0 全部觸發(不分成因),12m,1426,337,6,602,-0.25419588584486935,0.38359046283309955,0.010518934081346423,0.17040673211781207,11.705683397360184,高,0.4537166900420757,-0.04827569352452135,0.030538872245737387,-0.30749278119845114,0.2522843181347988,1.427060332120549,0.9936646693241592,15.0,1.0352489454263267,72.0,2.5832030355964273,-0.0010879066596106816,-0.05092024332106483,958.0,0.1388499298737728,0.42224463839651327,0.48515340797883466,-0.0037391772834576586,0.06508580012134092
過三閘(現行①池),重列或不可依賴(8-K 4.02),3m,2,0,0,2,-0.4065697131810365,0.5,0.0,0.5,0.2020002891608943,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
過三閘(現行①池),重列或不可依賴(8-K 4.02),12m,2,0,0,2,-0.41361195960778024,0.5,0.0,0.5,0.8498386428512734,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
過三閘(現行①池),稀釋增發(S-1/S-3/424B),3m,44,2,0,43,-0.1317559102979807,0.20454545454545456,0.0,0.06818181818181818,0.5420732452033354,中,0.5227272727272727,0.0009940155741610757,-0.012897153860703186,-0.18591617520865883,0.10683407698038284,0.7931058803924075,0.5564734338987576,1.0,-0.9552376140469087,3.0,-2.5782915003153755,-0.025803442211029665,-0.049526588918844115,44.0,0.1590909090909091,,,,
過三閘(現行①池),稀釋增發(S-1/S-3/424B),12m,39,7,0,38,-0.2843720833069595,0.38461538461538464,0.0,0.2564102564102564,0.903344608335214,中,0.3333333333333333,-0.1652260241867125,-0.07361766371811153,-0.38062961022134956,0.198526193455086,1.2886902640707465,1.1703564212903714,1.0,-0.31463484570357225,2.0,-0.5663833689806619,-0.09932719719319903,-0.12154664541457237,39.0,0.1794871794871795,0.1794871794871795,0.48717948717948717,-0.18659560687481758,0.045730594182408255
過三閘(現行①池),業績(8-K 2.02),3m,639,26,0,379,-0.1266717872279311,0.11267605633802817,0.0,0.026604068857589983,1.002392961981596,高,0.5039123630672926,0.0033299123581691,0.012487893527350198,-0.12499070867685995,0.12592432761562894,1.1448436701716225,0.9848257791645055,7.0,0.6396425376571759,32.0,2.217756557362332,0.00454994856353384,-0.01600891250961508,528.0,0.10954616588419405,,,,
過三閘(現行①池),業績(8-K 2.02),12m,542,123,0,333,-0.24864107060477925,0.38191881918819187,0.00922509225092251,0.1752767527675277,11.705683397360184,高,0.43726937269372695,-0.0576085696310933,0.005807140705218737,-0.3117875788493121,0.20417535507533272,1.3317805734048909,0.9637277376071715,6.0,6.942403247936997,28.0,12.889649313864032,-0.034894659531813615,-0.07280606545469491,460.0,0.12915129151291513,0.39393794541978094,0.48169047619047617,-0.044731459856809236,0.06985572347139238
過三閘(現行①池),收購或處置(8-K 2.01),3m,17,0,0,15,-0.1564815930914525,0.17647058823529413,0.0,0.0,0.6761377981809862,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
過三閘(現行①池),收購或處置(8-K 2.01),12m,14,3,0,12,-0.2368749134587663,0.42857142857142855,0.07142857142857142,0.14285714285714285,0.9950756172285043,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
