版本,年份段,進場格,期,表,樣本N,未成熟,無進場點,資料不足,可信度,中位超額,p25超額,p75超額,平均超額,中位期內最大跌幅,觸及負33比例,最大單筆超額,剔走前三大贏家後的平均超額,2020年觸發佔比,勝率,勝率下限,勝率上限,平均超額下限,平均超額上限,賠率,簇數,industry_kill,pos_sma200,pos_sma250
A(淨現金 N2),全期 2010-2026,觸發日即買,1m,總表(三格進場),579,7,0,3,高,0.0070506767349434,-0.061606479675897705,0.0759583751373016,0.012257490594961751,-0.0863611027951134,0.02936096718480138,0.7289663457738649,0.00880270306807405,0.08981001727115717,0.5302245250431779,0.4876690288791573,0.5726358657532965,0.0006326259029335629,0.023819777055877216,1.0318308643757759,461.0,,,
A(淨現金 N2),全期 2010-2026,觸發日即買,3m,總表(三格進場),563,23,0,3,高,0.0065692937319077,-0.12003729426769161,0.14510606347958185,0.029886348695716866,-0.1309115714487038,0.10124333925399645,1.5379776085719985,0.02402306253875849,0.09236234458259325,0.5168738898756661,0.47216924055501314,0.5625027557319224,0.008430591388545553,0.04972542168131355,1.1034599241872955,447.0,,,
A(淨現金 N2),全期 2010-2026,觸發日即買,6m,總表(三格進場),535,51,0,3,高,-0.0274120810396764,-0.18434360830670432,0.14839540735867446,0.02518100244791211,-0.1743607909807334,0.205607476635514,3.5697477446936787,0.010897407117330966,0.09719626168224299,0.4485981308411215,0.40383928571428573,0.4935653838499663,-0.006786596200672224,0.06218687933959144,1.0855063202457171,429.0,,,
A(淨現金 N2),全期 2010-2026,觸發日即買,12m,總表(三格進場),492,94,0,3,高,-0.0248365002224366,-0.2845579048584336,0.2524490593794918,0.0516774554590902,-0.24416073966617746,0.34146341463414637,3.600580356905249,0.03154065243111827,0.10569105691056911,0.4695121951219512,0.42292490118577075,0.5157899937591014,3.422166330690955e-05,0.10232055650033442,0.9774718062532394,399.0,,,
A(淨現金 N2),全期 2010-2026,買方回來,1m,總表(三格進場),566,6,17,0,高,-0.0069901188790798,-0.07269462999731083,0.05922838241948393,5.001915184659447e-05,-0.0802575730757353,0.019434628975265017,0.560873599843575,-0.0024809871402912747,0.09187279151943463,0.47703180212014135,0.43486230456131286,0.52,-0.01078219229961817,0.010528378600665604,0.9232292969563411,454.0,,,
A(淨現金 N2),全期 2010-2026,買方回來,3m,總表(三格進場),545,27,17,0,高,-0.0113245413845222,-0.14185218700695,0.1154565851719067,0.011783067228365056,-0.1346256720412759,0.09357798165137615,2.3062305577382016,0.001609894000517879,0.09541284403669725,0.47522935779816516,0.4325817067169688,0.517767629566695,-0.009720095812101495,0.035563899700560606,0.9377604261834476,439.0,,,
A(淨現金 N2),全期 2010-2026,買方回來,6m,總表(三格進場),512,60,17,0,高,-0.05557803377806955,-0.22263599720860278,0.1658050989854456,-0.0037753987587190964,-0.18445226254675878,0.21484375,2.3951213801980296,-0.015384813119096846,0.1015625,0.4375,0.3919847358121331,0.4819313109009744,-0.03397879893394717,0.027723142692661216,0.9695806056058198,417.0,,,
A(淨現金 N2),全期 2010-2026,買方回來,12m,總表(三格進場),482,90,17,0,高,-0.06188864952033425,-0.26520602101934865,0.21433703514895924,0.03348112455262003,-0.2451084219729204,0.34439834024896265,4.318216874517566,0.012031719767906101,0.1078838174273859,0.43568464730290457,0.3903955151448559,0.4824034705769354,-0.018666089756589132,0.08649953421190461,1.014955221346072,393.0,,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,總表(三格進場),571,7,11,0,高,0.004339500150311,-0.06454198998079555,0.073966245774932,0.011309316770020917,-0.0734057978841475,0.014010507880910683,0.5057637588599584,0.008909264342551803,0.09106830122591944,0.521891418563923,0.47958120748299315,0.5659067747998437,0.00024490017557286044,0.022281340241200195,0.9724951874645117,455.0,,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,總表(三格進場),556,22,11,0,高,-0.006900375947679151,-0.12999691395738816,0.1336543459279684,0.022088279959538902,-0.12570027497995584,0.08633093525179857,2.921219219496061,0.011452533885420694,0.09352517985611511,0.48381294964028776,0.44041331938964684,0.527078264793596,-0.0006541101535589422,0.04424122694074844,1.1073258568641307,443.0,,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,6m,總表(三格進場),523,55,11,0,高,-0.0443549147637739,-0.20908925150065472,0.16081961949296905,0.0073781841988944255,-0.1740438997988234,0.20650095602294455,2.7093591860815387,-0.005131049640239751,0.0994263862332696,0.4397705544933078,0.3966383856314938,0.48308317388899685,-0.024101644865372862,0.04031748354523066,1.0799877328132867,423.0,,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,12m,總表(三格進場),490,88,11,0,高,-0.04213624622797775,-0.2543565822901546,0.23318558144503648,0.05613802887014402,-0.23443015361119202,0.3306122448979592,4.59119401420062,0.03196209911271729,0.10612244897959183,0.46122448979591835,0.41138703605447335,0.5060489992817031,0.0022675951313164485,0.11770532047669648,1.0865205315977027,397.0,,,
A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸一 行業殺 vs 個別殺,472,3,0,3,高,0.00650342247664885,-0.06245935971879257,0.07527129895692747,0.012247449896142298,-0.0865118940987265,0.02754237288135593,0.7289663457738649,0.00800440567954578,0.08050847457627118,0.527542372881356,0.48194549531578873,0.5742083677970774,-0.00031850592836507656,0.02488488033609863,1.0256902186508692,399.0,個別殺,,
A(淨現金 N2),全期 2010-2026,觸發日即買,1m,軸一 行業殺 vs 個別殺,107,4,0,0,高,0.0107321332258456,-0.05821068545050155,0.07975896331596895,0.01230178227573541,-0.0863611027951134,0.037383177570093455,0.5261583729519421,0.001161110110462252,0.1308411214953271,0.5420560747663551,0.4454292929292929,0.6363859180035649,-0.013368370197424585,0.038236345050841204,1.123690342703244,76.0,行業殺,,
A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸一 行業殺 vs 個別殺,465,10,0,3,高,0.0019876115462595,-0.1246061674971759,0.1257542135726232,0.02235119556458981,-0.1350531597443516,0.1053763440860215,1.5379776085719985,0.015195252475217367,0.08172043010752689,0.5053763440860215,0.45945801570801575,0.5519520114032309,0.0023309053706854948,0.043656909855716665,0.9948197566294092,392.0,個別殺,,
A(淨現金 N2),全期 2010-2026,觸發日即買,3m,軸一 行業殺 vs 個別殺,98,13,0,0,中,0.055972009856798954,-0.10359943418231932,0.19206223777850936,0.06563988140973807,-0.11438945420133945,0.08163265306122448,0.6761377981809862,0.047567521356016565,0.14285714285714285,0.5714285714285714,0.4594525648097077,0.6889080459770114,0.01568065005810552,0.1188207571991725,1.2443795295315603,68.0,行業殺,,
A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸一 行業殺 vs 個別殺,445,30,0,3,高,-0.0437608019300717,-0.1896383012426022,0.1336978152144596,0.010325002439396064,-0.1797390113381726,0.2202247191011236,3.5697477446936787,-0.006967849859008257,0.0853932584269663,0.42921348314606744,0.38352723311546844,0.4767217397552763,-0.026007594079582044,0.04898168029257275,0.9967483815732652,378.0,個別殺,,
A(淨現金 N2),全期 2010-2026,觸發日即買,6m,軸一 行業殺 vs 個別殺,90,21,0,0,中,0.0203884324163595,-0.13998314504298773,0.30438511309165095,0.0986356691566859,-0.13381077864732388,0.13333333333333333,1.1680872414079937,0.06686413037254818,0.15555555555555556,0.5444444444444444,0.4367816091954023,0.6595799517438033,0.027203581866613515,0.18422344231977472,1.6439330316436471,63.0,行業殺,,
A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸一 行業殺 vs 個別殺,412,63,0,3,高,-0.04239991393727955,-0.2990590365732111,0.22711026699789252,0.029747285046827183,-0.25759440611468654,0.3616504854368932,3.600580356905249,0.005510886044589859,0.09223300970873786,0.44902912621359226,0.398583608202242,0.5025763185321633,-0.023708664033572965,0.086867088965377,0.913145560705736,352.0,個別殺,,
A(淨現金 N2),全期 2010-2026,觸發日即買,12m,軸一 行業殺 vs 個別殺,80,31,0,0,中,0.0949973575991459,-0.174584188657301,0.3379958139933374,0.16461783308224473,-0.1577895882225126,0.2375,2.4576013817173674,0.09207573093226509,0.175,0.575,0.4523809523809524,0.6923333333333331,0.03820156513325822,0.31410226012705705,1.6399447732063226,57.0,行業殺,,
A(淨現金 N2),全期 2010-2026,買方回來,1m,軸一 行業殺 vs 個別殺,464,4,10,0,高,-0.0099508756300054,-0.07278879661769189,0.0525930461090514,-0.004563575098795693,-0.0810799551688228,0.021551724137931036,0.560873599843575,-0.007619298277664884,0.08189655172413793,0.46336206896551724,0.41719535985508255,0.5099954753918168,-0.015612011886505402,0.007705391436459856,0.9007355043317069,394.0,個別殺,,
A(淨現金 N2),全期 2010-2026,買方回來,1m,軸一 行業殺 vs 個別殺,102,2,7,0,高,0.013783404695412348,-0.06949268758513158,0.11214135465115879,0.021037349860650718,-0.0749148440625527,0.00980392156862745,0.4361452535028447,0.010116543879623206,0.13725490196078433,0.5392156862745098,0.43858395989974935,0.6451780913978493,-0.006154246558794999,0.04983146422060784,1.2123071015333744,73.0,行業殺,,
A(淨現金 N2),全期 2010-2026,買方回來,3m,軸一 行業殺 vs 個別殺,450,18,10,0,高,-0.0265406478339434,-0.14817544702075125,0.10779247527467938,-0.002352742246177283,-0.14660985480773708,0.10444444444444445,2.3062305577382016,-0.013389694991247252,0.08444444444444445,0.4488888888888889,0.4013757567247082,0.49453072713205526,-0.024436985314305253,0.01974038845937133,0.8434033367610081,384.0,個別殺,,
A(淨現金 N2),全期 2010-2026,買方回來,3m,軸一 行業殺 vs 個別殺,95,9,7,0,中,0.0356772970656407,-0.0683027892738855,0.16510972226035964,0.07874216473935508,-0.104447782542813,0.042105263157894736,1.7484214417058572,0.04979854785563563,0.14736842105263157,0.6,0.5052631578947369,0.6932332251082248,0.0280733031672812,0.14200850176600327,1.276978384742285,67.0,行業殺,,
A(淨現金 N2),全期 2010-2026,買方回來,6m,軸一 行業殺 vs 個別殺,430,38,10,0,高,-0.0663683294898471,-0.2310704096639039,0.14655194604610314,-0.01655962555489709,-0.1980347735274984,0.2302325581395349,2.3951213801980296,-0.03048830140927835,0.08837209302325581,0.42093023255813955,0.3724137931034483,0.47002453336869676,-0.048228859788740946,0.017969904607698123,0.8963145118279054,368.0,個別殺,,
A(淨現金 N2),全期 2010-2026,買方回來,6m,軸一 行業殺 vs 個別殺,82,22,7,0,中,0.02072802025382975,-0.146499096579855,0.21267674493959016,0.06326383931879963,-0.12903143092006014,0.13414634146341464,0.8843681079677554,0.03573395544226581,0.17073170731707318,0.524390243902439,0.4050632911392405,0.6410493827160493,-0.008577823857754987,0.14062070566222393,1.3336187955795407,59.0,行業殺,,
A(淨現金 N2),全期 2010-2026,買方回來,12m,軸一 行業殺 vs 個別殺,402,66,10,0,高,-0.07146712038867405,-0.2780723438736771,0.20758418781015617,0.019658462729947864,-0.26176916572643294,0.373134328358209,4.318216874517566,-0.006195504381195033,0.0945273631840796,0.42039800995024873,0.37163646507203874,0.4720847433728144,-0.03363850730382696,0.08140331326437424,0.9573739534768916,346.0,個別殺,,
A(淨現金 N2),全期 2010-2026,買方回來,12m,軸一 行業殺 vs 個別殺,80,24,7,0,中,0.03213290290732745,-0.1446394058617353,0.29390474465517524,0.10294000021154762,-0.14804531096373055,0.2,2.614167005250864,0.039894326580261735,0.175,0.5125,0.4,0.630157371167645,-0.015876357957054107,0.24308758752968235,1.9431052879738548,57.0,行業殺,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸一 行業殺 vs 個別殺,468,4,6,0,高,0.00409176828575735,-0.06435119995719288,0.07185090317589653,0.009397969252283488,-0.0722856334212308,0.01282051282051282,0.5057637588599584,0.006472492820312054,0.0811965811965812,0.5192307692307693,0.47045672184111725,0.5660852075121724,-0.0022651855319129675,0.02070266536913431,0.9627972778736124,395.0,個別殺,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸一 行業殺 vs 個別殺,103,3,5,0,高,0.0067965761591466,-0.06655945410826039,0.0794818193283714,0.01999388607391524,-0.0765760017452736,0.019417475728155338,0.4367050270717032,0.009138253013272788,0.13592233009708737,0.5339805825242718,0.4339622641509434,0.6344137717121587,-0.009816321721221022,0.050957413152154706,1.0452075939631265,73.0,行業殺,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,軸一 行業殺 vs 個別殺,458,14,6,0,高,-0.0096021698976431,-0.13919811275640873,0.12205705706286922,0.01490693892308057,-0.1347144768833578,0.08951965065502183,2.921219219496061,0.0019330672701206944,0.08296943231441048,0.4672489082969432,0.4223134360169371,0.5141627694111927,-0.010236387139777849,0.04131958423573524,1.037059600874041,388.0,個別殺,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,軸一 行業殺 vs 個別殺,98,8,5,0,中,0.0264013547833473,-0.09280717889956713,0.1854174158068721,0.05565005745645641,-0.106379342032686,0.07142857142857142,0.6878115064443682,0.03748850496427371,0.14285714285714285,0.5612244897959183,0.455530303030303,0.6597938144329897,0.014351256430419566,0.0997813439071732,1.745391937683829,68.0,行業殺,,
A(淨現金 N2),全期 2010-2026,跌勢衰竭,6m,軸一 行業殺 vs 個別殺,437,35,6,0,高,-0.0580100131331672,-0.2182401666415115,0.1549720439227186,-0.007353254742931011,-0.1784809632802555,0.21967963386727687,2.7093591860815387,-0.022443107077436207,0.08695652173913043,0.41876430205949655,0.3721395179076197,0.46925523326665874,-0.03992899668980955,0.02888866392994407,1.0301427366491887,372.0,個別殺,,
