代號,公司,觸發日,相對SPY60日,面板total_debt空白,總債務來源_gatefix,總債務值_gatefix,過負債閘A(N2)_gatefix,資料不足_債務閘,過負債閘B(債務比)_gatefix,過現金流閘,過市值閘,行業殺格,200日線格,250日線格,進場格,期,本次進場日,本次等待交易日,本次結果狀態,對照基準率版本_gatefix,軸一格 樣本N_gatefix,軸一格 勝率_gatefix,軸一格 賠率_gatefix,軸一格 中位超額_gatefix,軸二格 樣本N_gatefix,軸二格 勝率_gatefix,軸二格 賠率_gatefix,軸二格 中位超額_gatefix
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,觸發日即買,6m,2026-08-04,1.0,未成熟,"B(總債務/四季經營現金流<=3, gatefix)",530,0.4943396226415094,1.3257530192554543,-0.0103833405927749,211,0.4360189573459715,1.1527170114022969,-0.0437608019300717
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,觸發日即買,12m,2026-08-04,1.0,未成熟,"B(總債務/四季經營現金流<=3, gatefix)",477,0.559748427672956,1.425366292292122,0.0770265000213354,188,0.3457446808510638,1.2264263721306627,-0.1450459256463623
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,跌勢衰竭,1m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",615,0.526829268292683,1.190213036291902,0.0066756343228815,271,0.5276752767527675,0.8919163890387418,0.0076312784421734
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,跌勢衰竭,3m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",571,0.4886164623467601,1.121202781682545,-0.0064923170183032,224,0.4508928571428571,0.989939671853675,-0.0258722911594027
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,跌勢衰竭,6m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",510,0.5215686274509804,1.177897999769882,0.0130257583742901,206,0.3932038834951456,0.722302302544646,-0.0527222748622998
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,跌勢衰竭,12m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",477,0.5471698113207547,1.569165109941308,0.0507423434809333,186,0.3548387096774194,1.1371830014762532,-0.1219934083456915
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,買方回來,1m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",608,0.5115131578947368,1.0535866869166133,0.0041009361253162,259,0.5096525096525096,0.7746827829222984,0.0045390596691856
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,買方回來,3m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",555,0.4756756756756757,1.2717256755974151,-0.009619184169031,219,0.4018264840182648,1.1925201724702112,-0.0594080692966024
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,買方回來,6m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",499,0.4829659318637274,1.2178329274255093,-0.0056363873326326,203,0.3596059113300492,0.8972374591475094,-0.0879543920712921
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,panel,4459400000.0,False,False,True,True,True,行業殺,線之上,線之上,買方回來,12m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",474,0.5295358649789029,1.6364716198941676,0.0347384657150414,184,0.3097826086956521,1.4025590218094537,-0.1429137725765933
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,1m,2026-03-30,1.0,已成熟,"A2(N2, gatefix, 資料不足當過閘)",2289,0.491480996068152,1.0632729245700443,-0.002150894615474,2025,0.505679012345679,1.0513746958319554,0.0010976191488625
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,3m,2026-03-30,1.0,已成熟,"A2(N2, gatefix, 資料不足當過閘)",2229,0.4908030506953791,0.9549073819376168,-0.0041430563455482,1992,0.5120481927710844,1.0511743632446626,0.0040452261291667
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,6m,2026-03-30,1.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",2112,0.4460227272727273,0.9568080253013987,-0.034369078414357,1890,0.4603174603174603,1.0364192241749517,-0.026890388671914
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,12m,2026-03-30,1.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",1956,0.4350715746421268,0.9854696783191436,-0.0662466908435709,1739,0.484186313973548,1.1199847098904194,-0.0177217108558482
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,1m,2026-04-15,12.0,已成熟,"A2(N2, gatefix, 資料不足當過閘)",2257,0.5033229951262738,0.9994201318115092,0.0007323016258407,2009,0.5072175211548033,1.026298858794794,0.0021228769672949
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,3m,2026-04-15,12.0,已成熟,"A2(N2, gatefix, 資料不足當過閘)",2195,0.4874715261958998,0.9034815871796696,-0.0057435687462218,1972,0.5015212981744422,0.9483412478931116,0.0008571670252
LULU,lululemon athletica inc.,2026-03-27,-0.2519,True,資料不足,,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,6m,2026-04-15,12.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",2089,0.4337003350885591,0.9924409250235796,-0.0439179942619188,1860,0.4661290322580645,1.0119773420530451,-0.0242495936519318
