代號,公司,觸發日,十二個月超額,期內最大跌幅,觸發日市值,現金,總債務(gatefix),債務來源,滾動四季經營現金流,近60日中位成交金額,過現金流閘,過市值閘,負債閘狀態,過流動性閘,落組,軸一,軸二,觸發年,外國申報人,SIC 行業
DBVT,DBV Technologies S.A.,2024-09-16,9.58460784592806,-0.4119999806086222,72374195.25,66213000.0,0.0,companyfacts_fallback,-103024000.0,15810.449865460396,False,False,過,False,5 不過兩閘(補完),個別殺,線下逾 10%,2024,True,"Biological Products, (No Diagnostic Substances)"
BE,Bloom Energy Corp,2025-04-21,9.355625301048798,-0.0491706140386064,3773927678.901861,802851000.0,1243192000.0,panel,91998000.0,130982296.77343369,True,True,不過,True,2 只不過負債閘,行業殺,線下 10% 內,2025,False,Electrical Industrial Apparatus
SOGP,Sound Group Inc.,2025-05-01,9.244618967895384,-0.1239792168417833,1381960710.465349,60534000.0,,資料不足,-3625000.0,93407.24991559982,False,True,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2025,True,"Services-Computer Programming, Data Processing, Etc."
TMQ,Trilogy Metals Inc.,2024-10-15,8.960631189920633,-0.018867907552966,82060433.60551119,25738000.0,,資料不足,-2313000.0,45544.000005722046,False,False,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線之上,2024,False,Gold and Silver Ores
RCAT,"Red Cat Holdings, Inc.",2023-12-07,8.830571236931553,-0.0796610051343847,30603103.9633044,952777.0,1185718.0,panel,-31311674.0,77571.40018939972,False,False,不過,False,6 三閘全不過,個別殺,線下逾 10%,2023,False,Services-Prepackaged Software
FLGT,"Fulgent Genetics, Inc.",2020-03-13,8.63523726688489,-0.0074074356644241,184164851.51736164,11965000.0,,資料不足,5517000.0,4028385.056781769,True,False,資料不足,True,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2020,False,Services-Medical Laboratories
BE,Bloom Energy Corp,2024-10-11,8.614873204074891,-0.1376672633969131,2444889752.436568,581684000.0,1125358000.0,panel,-334097000.0,51304724.440193176,False,True,不過,True,5 不過兩閘(補完),個別殺,線下 10% 內,2024,False,Electrical Industrial Apparatus
HOVR,New Horizon Aircraft Ltd.,2024-10-02,8.351541781129514,-0.0769230636971937,5042749.261071712,1816000.0,,資料不足,-3308000.0,221040.4016047716,False,False,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2024,False,Aircraft
VKTX,"Viking Therapeutics, Inc.",2022-05-20,8.22438382617804,-0.1022222306993272,176412061.14632034,12454000.0,,資料不足,-47240000.0,2217002.98897028,False,False,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2022,False,Pharmaceutical Preparations
ACIC,AMERICAN COASTAL INSURANCE Corp,2022-09-26,8.195765879089194,-0.5671642216322084,30319215.683666825,283785000.0,158559000.0,companyfacts_fallback,-258844000.0,108362.5011742115,False,False,過,False,5 不過兩閘(補完),個別殺,線下逾 10%,2022,False,"Fire, Marine & Casualty Insurance"
AAOI,"APPLIED OPTOELECTRONICS, INC.",2022-12-12,8.085438832550718,-0.252336474108022,61325998.57023382,26268000.0,51357000.0,panel,-10800000.0,531463.0137443542,False,False,不過,False,6 三閘全不過,個別殺,線下逾 10%,2022,False,Semiconductors & Related Devices
RGTI,"Rigetti Computing, Inc.",2024-05-14,7.686057820004676,-0.4590163846324767,226933479.737526,35098000.0,6496000.0,panel,-48170000.0,8033460.095280409,False,False,過,True,5 不過兩閘(補完),個別殺,線下 10% 內,2024,False,Services-Computer Programming Services
PENN,"PENN Entertainment, Inc.",2020-03-13,7.670001350347471,-0.5608899277809462,1807887132.2260723,437400000.0,2385100000.0,panel,703900000.0,69106402.89077759,True,True,不過,True,2 只不過負債閘,行業殺,線下逾 10%,2020,False,Hotels & Motels
BW,"Babcock & Wilcox Enterprises, Inc.",2025-03-11,7.593990670544054,-0.7803921459776214,93373470.53947352,30629000.0,0.0,companyfacts_fallback,-88055000.0,1189646.504509449,False,False,過,False,5 不過兩閘(補完),個別殺,線下逾 10%,2025,False,"Heating Equipment, Except Electric & Warm Air Furnaces"
OBE,OBSIDIAN ENERGY LTD.,2020-10-08,7.485124455797518,-0.2702702506778014,25554020.36481762,3000000.0,,資料不足,77000000.0,40818.00064444542,True,False,資料不足,False,9 負債閘資料不足(不納入五組),行業殺,線下逾 10%,2020,True,Crude Petroleum & Natural Gas
TMC,TMC the metals Co Inc.,2024-12-18,7.461714219072052,-0.005517252378883,248385182.61863256,360000.0,,資料不足,-44891000.0,745679.4941544533,False,False,資料不足,False,9 負債閘資料不足(不納入五組),行業殺,線下逾 10%,2024,False,Metal Mining
MESO,MESOBLAST LTD,2024-01-26,7.368334623274276,-0.0641711253809518,1489994864.6918802,71318000.0,,資料不足,-63269000.0,180462.00575828552,False,True,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2024,True,"Biological Products, (No Diagnostic Substances)"
CELC,Celcuity Inc.,2025-01-13,7.311038173639199,-0.2806267804977672,402855696.7638016,12603289.0,104840164.0,panel,-74232681.0,2667075.9097099304,False,False,不過,False,6 三閘全不過,個別殺,線下逾 10%,2025,False,Services-Medical Laboratories
PRAX,"Praxis Precision Medicines, Inc.",2025-02-28,7.160865750051727,-0.2041728354662475,719418163.7610092,168645000.0,,資料不足,-99496000.0,25526855.130004883,False,True,資料不足,True,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2025,False,Pharmaceutical Preparations
AREC,American Resources Corp,2020-02-26,7.148515579394241,-0.2244898207432918,10748910.814991089,1494775.0,23447071.0,companyfacts_fallback,-8263589.0,24768.999513983727,False,False,不過,False,6 三閘全不過,行業殺,線下逾 10%,2020,False,Silver Ores
PSIX,"POWER SOLUTIONS INTERNATIONAL, INC.",2023-12-01,6.985684822044204,-0.3461538038310199,58800311.0057106,31793000.0,160082000.0,panel,70979000.0,8000.000083446503,True,False,不過,False,5 不過兩閘(補完),個別殺,線下逾 10%,2023,False,Engines & Turbines
FKWL,FRANKLIN WIRELESS CORP,2019-11-13,6.924092855911191,-0.1023256970518405,22197425.291946888,6447505.0,,資料不足,775090.0,356.5000057220459,True,False,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2019,False,Telephone & Telegraph Apparatus
BTU,PEABODY ENERGY CORP,2020-11-12,6.633764091673658,-0.0857142646296484,96430800.13990402,814600000.0,0.0,companyfacts_fallback,92700000.0,5147295.790481567,True,False,過,True,4 只不過市值閘,個別殺,線下逾 10%,2020,False,Bituminous Coal & Lignite Surface Mining
PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",2020-02-24,6.508599321119126,-0.4101876577925099,592240525.3266792,33084000.0,15546000.0,panel,-79117000.0,7732640.888595581,False,True,過,True,3 只不過現金流閘,個別殺,線下逾 10%,2020,False,Laboratory Analytical Instruments
FLNA,"FILANA THERAPEUTICS, INC.",2020-03-30,6.000356724088963,-0.6034063400776978,99908803.1366291,23081000.0,,資料不足,-2514000.0,7441105.849504471,False,False,資料不足,True,9 負債閘資料不足(不納入五組),個別殺,線之上,2020,False,Pharmaceutical Preparations
AREN,"Arena Group Holdings, Inc.",2024-05-10,5.885660742813481,-0.3366710248480938,25245428.645890176,9284000.0,306927000.0,panel,-24772000.0,40718.18898290396,False,False,不過,False,6 三閘全不過,個別殺,線下逾 10%,2024,False,Cable & Other Pay Television Services
