池,樣本N,勝率,中位超額,平均超額,剔走前1%後平均,觸及負33比例,觸及負80比例,中位期內最大跌幅,併回事件數,平均超額變動(百分點),觸及負80變動(百分點),觸及負33變動(百分點)
基準:過三閘 + 流動性閘,1426,0.4537166900420757,-0.04827569352452135,0.030538872245737387,-0.0010879066596106816,0.38359046283309955,0.010518934081346423,-0.25419588584486935,,,,
拆掉市值閘(併回「只不過市值閘」組),1590,0.45157232704402517,-0.0528645903687475,0.04474682925561365,0.007574450165757088,0.3968553459119497,0.011320754716981131,-0.26172653113841915,164.0,1.4207957009876264,0.0801820635634708,1.3264883078850154
拆掉負債閘(併回「只不過負債閘」組),4089,0.45512350207874785,-0.0449478692152517,0.028013157429251336,-0.0018304978062554374,0.38004402054292,0.016385424309122036,-0.2536242302840127,2663.0,-0.2525714816486051,0.5866490227775613,-0.354644229017953
拆掉現金流閘(併回「只不過現金流閘」組),1916,0.43580375782881003,-0.0765640153748055,0.01310372450068777,-0.021556093121927588,0.4352818371607516,0.0255741127348643,-0.2821939915385442,490.0,-1.7435147745049617,1.5055178653517878,5.169137432765202
