組合,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比
不過 負債+現金流(市值過),1m,434,11,1,241,-0.11466290042603786,0.059907834101382486,0.0,0.020737327188940093,0.8179413185116333,高,0.45852534562211983,-0.01304224231966435,0.0013516459696060032,-0.09224869691554916,0.08970427394173171,1.2073697977153457,1.1633518876891915,5,5.374755826525066,22,16.30120760312405,-0.0059820385760487454,-0.02178618438034085,351,0.06912442396313365
不過 負債+現金流(市值過),3m,421,24,1,235,-0.18400941048351,0.20190023752969122,0.0,0.07125890736342043,1.818618773441849,高,0.4584323040380047,-0.0242441548408021,0.018015895213411463,-0.1682665336801383,0.1555450756939758,1.3948629274959576,1.1318491224535336,5,0.9172564646382185,22,2.6511861459714856,0.001508615916302845,-0.03138781494165526,340,0.07125890736342043
不過 負債+現金流(市值過),6m,401,44,1,229,-0.2481852827319614,0.34413965087281795,0.017456359102244388,0.16209476309226933,2.063681407749948,高,0.46633416458852867,-0.0248180176559651,0.017790239364936213,-0.2521842677603463,0.19821230610117,1.2796852793626017,0.985387995815186,5,1.080517344819829,21,3.4579377833154608,-0.0014505089843104234,-0.046143810276922104,323,0.07481296758104738
不過 負債+現金流(市值過),12m,364,81,1,210,-0.32921476571707864,0.49725274725274726,0.04945054945054945,0.28846153846153844,8.614873204074891,高,0.45054945054945056,-0.0448415553964055,0.043479892200306194,-0.3864993836321992,0.29237879174375675,1.4898493087953046,0.9786738956444712,4,0.9580671674649965,19,2.30571925459586,0.0018434932053674104,-0.05989913566917081,295,0.08241758241758242
不過 負債+市值(現金流過),1m,263,4,0,169,-0.1212624620243163,0.08745247148288973,0.0038022813688212928,0.022813688212927757,1.089748185491774,高,0.4828897338403042,-0.0121881636211084,0.009114425797615433,-0.10754662114594554,0.08798620175178455,1.2152005918223978,0.9136086283007063,3,1.0337394615556452,14,3.3896893572254188,-0.0003110640782481347,-0.023005260978637632,235,0.19391634980988592
不過 負債+市值(現金流過),3m,254,13,0,163,-0.1715330728513334,0.17716535433070865,0.003937007874015748,0.05905511811023622,2.4951494421607667,高,0.5393700787401575,0.013929040681919198,0.11019907013937534,-0.13906076944513399,0.235457053147884,1.9602120389267153,1.4393715671710454,3,0.220986017869153,13,0.6715666725038167,0.0868726716331609,0.03814536934600214,228,0.20078740157480315
不過 負債+市值(現金流過),6m,227,40,0,146,-0.2244275426009595,0.29515418502202645,0.004405286343612335,0.13656387665198239,5.019270057208198,高,0.5682819383259912,0.0605588185486523,0.17236298088829696,-0.2125980503098303,0.3588273944330307,1.9243263208069066,1.26647225288158,3,0.2864511347971675,12,0.6232785290972707,0.12463658900621226,0.06855699396045559,206,0.22466960352422907
不過 負債+市值(現金流過),12m,213,54,0,135,-0.2678898808851988,0.40375586854460094,0.014084507042253521,0.19248826291079812,5.775229567038752,高,0.5633802816901409,0.070398968831391,0.31705496384517334,-0.2021759913786308,0.6261876846012842,2.7528497628017123,2.213301950215034,3,0.19308336424477857,11,0.4682983526984652,0.2594917379865183,0.17775867186941743,193,0.23943661971830985
不過 現金流+市值(負債過),1m,311,7,1,184,-0.1452145378991636,0.08681672025723473,0.0,0.012861736334405145,1.6731830654544644,高,0.4340836012861736,-0.0361746318810507,0.027877324220648855,-0.13088788541329605,0.11459878857841471,1.757154048055119,1.5148721210165552,4,0.5955374591699149,16,1.5792784808749942,0.011422243267076278,-0.017024597565757662,214,0.05787781350482315
不過 現金流+市值(負債過),3m,290,28,1,168,-0.2507512848554768,0.33793103448275863,0.006896551724137931,0.0896551724137931,8.563105696593869,高,0.4206896551724138,-0.08824209952626211,0.07889861487867478,-0.2509814652801043,0.2599857106512477,2.1147936407962633,1.396243755087758,3,0.579071231717886,15,1.2937695523316828,0.03355784692060347,-0.024442265905543496,202,0.06206896551724138
不過 現金流+市值(負債過),6m,268,50,1,157,-0.3270357638824555,0.5,0.011194029850746268,0.23134328358208955,4.688785398820206,高,0.39925373134328357,-0.11939518744230596,0.07273416837212923,-0.358907247053734,0.2797142296938117,2.0499862241955844,1.3832280978511962,3,0.4971773644346467,14,1.531161872382971,0.03698641325052665,-0.04076302902262701,191,0.06716417910447761
不過 現金流+市值(負債過),12m,220,98,1,135,-0.4311622384868842,0.6318181818181818,0.06818181818181818,0.39090909090909093,7.686057820004676,高,0.39545454545454545,-0.18267249914843145,0.09251445786381542,-0.5356821890966409,0.3145640006552496,2.045097969378243,1.0115238975970793,3,0.858872414071018,11,1.8394607185075482,0.01323684452721997,-0.08174974028494188,164,0.08181818181818182
