entity_id,ticker,trigger_date,月,日,close,adj_close,成交股數,該列代號
0001463101,ENPH,2019-10-30,2019-07,2019-07-31,28.149999618530273,28.149999618530273,22313400.0,ENPH
0001463101,ENPH,2019-10-30,2019-08,2019-08-30,29.670000076293945,29.670000076293945,7036900.0,ENPH
0001463101,ENPH,2019-10-30,2019-09,2019-09-30,22.229999542236328,22.229999542236328,5048900.0,ENPH
0001463101,ENPH,2019-10-30,2019-10,2019-10-31,19.43000030517578,19.43000030517578,9056000.0,ENPH
0001463101,ENPH,2019-10-30,2019-11,2019-11-29,21.8700008392334,21.8700008392334,4225900.0,ENPH
0001463101,ENPH,2019-10-30,2019-12,2019-12-31,26.1299991607666,26.1299991607666,3590100.0,ENPH
0001463101,ENPH,2019-10-30,2020-01,2020-01-31,31.520000457763672,31.520000457763672,5097900.0,ENPH
0001463101,ENPH,2019-10-30,2020-02,2020-02-28,48.970001220703125,48.970001220703125,7388200.0,ENPH
0001463101,ENPH,2019-10-30,2020-03,2020-03-31,32.290000915527344,32.290000915527344,4890800.0,ENPH
0001463101,ENPH,2019-10-30,2020-04,2020-04-30,46.83000183105469,46.83000183105469,18043400.0,ENPH
0001463101,ENPH,2019-10-30,2020-05,2020-05-29,58.189998626708984,58.189998626708984,3776300.0,ENPH
0001463101,ENPH,2019-10-30,2020-06,2020-06-30,47.56999969482422,47.56999969482422,2940200.0,ENPH
0001463101,ENPH,2019-10-30,2020-07,2020-07-31,60.36000061035156,60.36000061035156,2454400.0,ENPH
0001463101,ENPH,2019-10-30,2020-08,2020-08-31,77.2300033569336,77.2300033569336,2767300.0,ENPH
0001463101,ENPH,2019-10-30,2020-09,2020-09-30,82.58999633789062,82.58999633789062,3352600.0,ENPH
0001463101,ENPH,2019-10-30,2020-10,2020-10-30,98.08999633789062,98.08999633789062,3046800.0,ENPH
0000910638,DDD,2020-09-30,2020-06,2020-06-30,6.989999771118164,6.989999771118164,1754100.0,DDD
0000910638,DDD,2020-09-30,2020-07,2020-07-31,6.590000152587891,6.590000152587891,1684600.0,DDD
0000910638,DDD,2020-09-30,2020-08,2020-08-31,5.489999771118164,5.489999771118164,2406700.0,DDD
0000910638,DDD,2020-09-30,2020-09,2020-09-30,4.909999847412109,4.909999847412109,2021800.0,DDD
0000910638,DDD,2020-09-30,2020-10,2020-10-30,5.690000057220459,5.690000057220459,3532700.0,DDD
0000910638,DDD,2020-09-30,2020-11,2020-11-30,9.149999618530273,9.149999618530273,6637300.0,DDD
0000910638,DDD,2020-09-30,2020-12,2020-12-31,10.479999542236328,10.479999542236328,2201400.0,DDD
0000910638,DDD,2020-09-30,2021-01,2021-01-29,35.540000915527344,35.540000915527344,6920800.0,DDD
0000910638,DDD,2020-09-30,2021-02,2021-02-26,35.84000015258789,35.84000015258789,3804500.0,DDD
0000910638,DDD,2020-09-30,2021-03,2021-03-31,27.440000534057617,27.440000534057617,3238200.0,DDD
0000910638,DDD,2020-09-30,2021-04,2021-04-30,21.540000915527344,21.540000915527344,2158500.0,DDD
0000910638,DDD,2020-09-30,2021-05,2021-05-28,29.40999984741211,29.40999984741211,6970700.0,DDD
0000910638,DDD,2020-09-30,2021-06,2021-06-30,39.970001220703125,39.970001220703125,4597900.0,DDD
0000910638,DDD,2020-09-30,2021-07,2021-07-30,27.540000915527344,27.540000915527344,2366700.0,DDD
0000910638,DDD,2020-09-30,2021-08,2021-08-31,30.440000534057617,30.440000534057617,1994500.0,DDD
0000910638,DDD,2020-09-30,2021-09,2021-09-30,27.56999969482422,27.56999969482422,1242600.0,DDD
0000910638,DDD,2020-09-30,2021-10,2021-10-01,27.670000076293945,27.670000076293945,1425800.0,DDD
