代號,公司,觸發日,相對SPY60日,過負債閘A(N2),總債務欄缺標籤,過負債閘B(債務比),過現金流閘,過市值閘,行業殺格,200日線格,250日線格,進場格,期,本次進場日,本次等待交易日,本次結果狀態,對照基準率版本,軸一格 樣本N,軸一格 勝率,軸一格 賠率,軸一格 中位超額,軸二格 樣本N,軸二格 勝率,軸二格 賠率,軸二格 中位超額
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,買方回來,1m,,,無進場點,B(總債務/四季經營現金流<=3),342,0.5350877192982456,0.9045001503692646,0.0099023741716948,141,0.5531914893617021,0.7280806653137925,0.0141054103168258
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,買方回來,3m,,,無進場點,B(總債務/四季經營現金流<=3),306,0.4836601307189542,1.3317927870583226,-0.0063351720548763,118,0.4152542372881356,1.1522662309335816,-0.0506998209712286
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,買方回來,6m,,,無進場點,B(總債務/四季經營現金流<=3),278,0.5,1.1787671796595227,-4.33989683042e-05,108,0.4351851851851852,0.8332797585177373,-0.0640587310798647
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,買方回來,12m,,,無進場點,B(總債務/四季經營現金流<=3),267,0.5430711610486891,1.6969219327138223,0.0560679037315217,100,0.31,1.5621848269007983,-0.13214385154732
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,1m,2026-03-30,1.0,已成熟,"A2(N2,缺債務標籤當零負債)",2517,0.4942391736193882,1.014704861063539,-0.0015539014555955,2244,0.5075757575757576,1.0403289000825875,0.0016471645547769
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,3m,2026-03-30,1.0,已成熟,"A2(N2,缺債務標籤當零負債)",2452,0.4857259380097879,0.965805326847586,-0.0067514750687227,2210,0.5063348416289593,1.0514794945352604,0.003108753893878
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,6m,2026-03-30,1.0,未成熟,"A2(N2,缺債務標籤當零負債)",2324,0.4401893287435456,0.9818399188432888,-0.0400722266597944,2098,0.4528122020972354,1.0319100340272946,-0.033518934811347
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,12m,2026-03-30,1.0,未成熟,"A2(N2,缺債務標籤當零負債)",2154,0.4312906220984215,0.9748043176704176,-0.0709173185443386,1931,0.4764370792335577,1.096580663263398,-0.0252797440947381
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,1m,2026-04-15,12.0,已成熟,"A2(N2,缺債務標籤當零負債)",2484,0.499194847020934,0.9949974103092076,-0.0001742421461735,2228,0.5035906642728905,1.0250681460738664,0.0011042921906494
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,3m,2026-04-15,12.0,已成熟,"A2(N2,缺債務標籤當零負債)",2415,0.4836438923395445,0.901556215387238,-0.006623854886029,2187,0.4947416552354824,0.927542794244635,-0.0019702141549525
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,6m,2026-04-15,12.0,未成熟,"A2(N2,缺債務標籤當零負債)",2301,0.4324206866579748,0.9622001531216507,-0.0443549147637739,2065,0.4619854721549636,1.0059902967705767,-0.0268680736898936
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,12m,2026-04-15,12.0,未成熟,"A2(N2,缺債務標籤當零負債)",2134,0.4259606373008435,0.960027629857889,-0.0697441580573865,1919,0.4674309536216779,1.0988718174031735,-0.0271830827791743
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,1m,2026-07-29,84.0,已成熟,"A2(N2,缺債務標籤當零負債)",2465,0.4795131845841785,0.9088011588033044,-0.0058209826150661,2215,0.4794582392776523,0.9938763784595432,-0.0054718199475517
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,3m,2026-07-29,84.0,未成熟,"A2(N2,缺債務標籤當零負債)",2373,0.4584913611462284,0.91807729184896,-0.0192146675563342,2151,0.4783821478382148,1.017371489848286,-0.0095305475605927
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,6m,2026-07-29,84.0,未成熟,"A2(N2,缺債務標籤當零負債)",2269,0.4327897752313794,0.8908176248964037,-0.0504782507127983,2029,0.4519467718087728,0.960608327325501,-0.0329282042143758
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,12m,2026-07-29,84.0,未成熟,"A2(N2,缺債務標籤當零負債)",2097,0.4177396280400572,0.9707369975553856,-0.0743375757175622,1890,0.4555555555555555,1.0734719517958653,-0.0419355893326904
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,1m,2026-08-13,1.0,未成熟,B(總債務/四季經營現金流<=3),1221,0.4963144963144963,0.949975955098588,-0.0005675852175576,157,0.4713375796178344,1.3504773222622168,-0.0046708288583005
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,3m,2026-08-13,1.0,未成熟,B(總債務/四季經營現金流<=3),1193,0.4886839899413244,1.066367944055115,-0.0044087109980759,123,0.4634146341463415,1.471060729382913,-0.0185696245256989
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,6m,2026-08-13,1.0,未成熟,B(總債務/四季經營現金流<=3),1112,0.4433453237410072,1.0484790568975586,-0.0324007540281601,112,0.5089285714285714,1.2321826733005303,0.0274118803189351
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,12m,2026-08-13,1.0,未成熟,B(總債務/四季經營現金流<=3),1040,0.4375,1.050714966659359,-0.0523270751876479,100,0.37,0.941483183783111,-0.1083345634387344
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,跌勢衰竭,1m,,,無進場點,B(總債務/四季經營現金流<=3),1212,0.4851485148514851,0.9942862617438016,-0.0041888360190606,147,0.5510204081632653,0.912801178908348,0.0096382033651678
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,跌勢衰竭,3m,,,無進場點,B(總債務/四季經營現金流<=3),1169,0.4807527801539777,1.0901505329710817,-0.0092203448494426,121,0.4462809917355372,1.1842029057150143,-0.0166236201252785
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,跌勢衰竭,6m,,,無進場點,B(總債務/四季經營現金流<=3),1099,0.4358507734303912,0.9190747245839692,-0.0356331268274201,108,0.4537037037037037,0.8163037363071505,-0.0246688105099779
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,跌勢衰竭,12m,,,無進場點,B(總債務/四季經營現金流<=3),1035,0.4521739130434782,0.9844575201644808,-0.0508760624279103,100,0.35,1.4545280263844285,-0.1000395841858434
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,買方回來,1m,,,無進場點,B(總債務/四季經營現金流<=3),1197,0.4720133667502088,0.8671083512592258,-0.0070887329322593,141,0.5531914893617021,0.7280806653137925,0.0141054103168258
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,買方回來,3m,,,無進場點,B(總債務/四季經營現金流<=3),1138,0.4648506151142355,0.9904516032336604,-0.0163120713460708,118,0.4152542372881356,1.1522662309335816,-0.0506998209712286
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,買方回來,6m,,,無進場點,B(總債務/四季經營現金流<=3),1087,0.4452621895124195,0.9036821858557852,-0.0413123832650991,108,0.4351851851851852,0.8332797585177373,-0.0640587310798647
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,買方回來,12m,,,無進場點,B(總債務/四季經營現金流<=3),1013,0.4215202369200395,0.9598109684993996,-0.0711744606459816,100,0.31,1.5621848269007983,-0.13214385154732
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,觸發日即買,1m,2026-08-25,1.0,未成熟,"A2(N2,缺債務標籤當零負債)",694,0.5144092219020173,1.1313203368263935,0.0031601659426603,376,0.4601063829787234,1.0468846947791446,-0.0121280286611411
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,觸發日即買,3m,2026-08-25,1.0,未成熟,"A2(N2,缺債務標籤當零負債)",651,0.5253456221198156,1.279674734896307,0.0106134152284833,328,0.4451219512195122,1.220321180044899,-0.0273128815776641
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,觸發日即買,6m,2026-08-25,1.0,未成熟,"A2(N2,缺債務標籤當零負債)",581,0.4733218588640275,1.3000918268893096,-0.0217446870511073,294,0.4285714285714285,1.081448625332937,-0.0534031121965481
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,觸發日即買,12m,2026-08-25,1.0,未成熟,"A2(N2,缺債務標籤當零負債)",529,0.5406427221172023,1.2892619123667706,0.0453408906726509,270,0.3481481481481481,0.9352971642686518,-0.1622321795397994
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,跌勢衰竭,1m,,,無進場點,"A2(N2,缺債務標籤當零負債)",677,0.5361890694239291,1.2261168134262224,0.0067965761591466,357,0.5210084033613446,0.9286460913204304,0.0094199060146786
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,跌勢衰竭,3m,,,無進場點,"A2(N2,缺債務標籤當零負債)",636,0.4937106918238994,1.1182005317253292,-0.0045671054907325,313,0.4408945686900958,0.9139730380857668,-0.0397375147454234
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,跌勢衰竭,6m,,,無進場點,"A2(N2,缺債務標籤當零負債)",563,0.5044404973357016,1.0714568325619498,0.0037814676309586,290,0.3862068965517241,0.859297076643969,-0.0950603265982223
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,跌勢衰竭,12m,,,無進場點,"A2(N2,缺債務標籤當零負債)",529,0.5141776937618148,1.5548582464523948,0.0152865697223512,266,0.3496240601503759,0.948796367356288,-0.1512878857481523
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,買方回來,1m,,,無進場點,"A2(N2,缺債務標籤當零負債)",671,0.4664679582712369,1.1625415799049337,-0.0067080879601448,349,0.5100286532951289,0.8895128792188314,0.0027579705338884
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,買方回來,3m,,,無進場點,"A2(N2,缺債務標籤當零負債)",629,0.4801271860095389,1.2012011467835029,-0.0087736379620426,312,0.3974358974358974,1.0047673360517315,-0.06612864837771
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,買方回來,6m,,,無進場點,"A2(N2,缺債務標籤當零負債)",548,0.4616788321167883,1.1430318026050157,-0.0213988308450263,286,0.3776223776223776,0.8976758556171809,-0.0977346067822046
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,False,True,False,True,True,行業殺,線之上,線之上,買方回來,12m,,,無進場點,"A2(N2,缺債務標籤當零負債)",525,0.4933333333333333,1.4600074657411302,-0.0090392766591035,262,0.3282442748091603,0.9247060871757776,-0.1797496639128906
